GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,total_local_governments,total_local_gov_in_areas,areas_with_100ormore,areas_with_50to99,areas_with_25to49,areas_with_10to24,areas_with_5to9,areas_with_lessthan5,average_number_units
0100000US,,United States,0100000US,,United States,United States,90056,3139,95,387,810,1079,571,197,28.7
0100000US,,United States,0400000US01,1,United States - Alabama,Alabama,1208,67,-,1,10,54,2,-,18
0100000US,,United States,0400000US02,2,United States - Alaska,Alaska,177,29,-,-,-,5,9,15,6.1
0100000US,,United States,0400000US04,4,United States - Arizona,Arizona,674,15,1,3,7,4,-,-,44.9
0100000US,,United States,0400000US05,5,United States - Arkansas,Arkansas,1556,75,1,2,14,48,10,-,20.7
0100000US,,United States,0400000US06,6,United States - California,California,4425,58,15,23,15,3,2,-,76.3
0100000US,,United States,0400000US08,8,United States - Colorado,Colorado,2905,64,7,5,24,20,7,1,45.4
0100000US,,United States,0400000US09,9,United States - Connecticut,Connecticut,643,8,2,5,1,-,-,-,80.4
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,339,3,2,1,-,-,-,-,113
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,2,1,-,-,-,-,-,1,2
0100000US,,United States,0400000US12,12,United States - Florida,Florida,1650,67,2,7,10,28,17,3,24.6
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,1378,159,-,-,2,47,95,15,8.7
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,21,5,-,-,-,-,3,2,4.2
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,1168,44,-,2,18,22,2,-,26.5
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,6963,102,20,36,33,12,1,-,68.3
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,2709,92,-,2,62,27,1,-,29.4
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,1947,99,-,1,20,75,3,-,19.7
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,3826,105,-,21,50,27,7,-,36.4
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,1338,120,1,-,3,58,57,1,11.2
0100000US,,United States,0400000US22,22,United States - Louisiana,Louisiana,529,64,-,-,-,20,34,10,8.3
0100000US,,United States,0400000US23,23,United States - Maine,Maine,840,16,1,8,6,1,-,-,52.5
0100000US,,United States,0400000US24,24,United States - Maryland,Maryland,347,24,-,1,3,9,7,4,14.5
0100000US,,United States,0400000US25,25,United States - Massachusetts,Massachusetts,857,14,2,8,1,1,2,-,61.2
0100000US,,United States,0400000US26,26,United States - Michigan,Michigan,2875,83,2,12,45,22,2,-,34.6
0100000US,,United States,0400000US27,27,United States - Minnesota,Minnesota,3672,87,3,20,56,7,1,-,42.2
0100000US,,United States,0400000US28,28,United States - Mississippi,Mississippi,983,82,-,-,2,46,31,3,12
0100000US,,United States,0400000US29,29,United States - Missouri,Missouri,3768,115,1,16,55,41,2,-,32.8
0100000US,,United States,0400000US30,30,United States - Montana,Montana,1265,56,-,3,14,31,8,-,22.6
0100000US,,United States,0400000US31,31,United States - Nebraska,Nebraska,2581,93,2,8,28,37,15,3,27.8
0100000US,,United States,0400000US32,32,United States - Nevada,Nevada,191,17,-,-,1,7,6,3,11.2
0100000US,,United States,0400000US33,33,United States - New Hampshire,New Hampshire,541,10,-,4,6,-,-,-,54.1
0100000US,,United States,0400000US34,34,United States - New Jersey,New Jersey,1344,21,3,8,9,1,-,-,64
0100000US,,United States,0400000US35,35,United States - New Mexico,New Mexico,863,33,1,4,5,15,7,1,26.2
0100000US,,United States,0400000US36,36,United States - New York,New York,3453,58,5,25,21,6,-,1,59.5
0100000US,,United States,0400000US37,37,United States - North Carolina,North Carolina,973,100,-,-,1,44,42,13,9.7
0100000US,,United States,0400000US38,38,United States - North Dakota,North Dakota,2685,53,2,23,21,5,2,-,50.7
0100000US,,United States,0400000US39,39,United States - Ohio,Ohio,3842,88,1,19,65,3,-,-,43.7
0100000US,,United States,0400000US40,40,United States - Oklahoma,Oklahoma,1852,77,-,-,32,43,2,-,24.1
0100000US,,United States,0400000US41,41,United States - Oregon,Oregon,1542,36,-,11,16,8,1,-,42.8
0100000US,,United States,0400000US42,42,United States - Pennsylvania,Pennsylvania,4897,67,14,31,15,6,1,-,73.1
0100000US,,United States,0400000US44,44,United States - Rhode Island,Rhode Island,133,5,-,1,1,2,1,-,26.6
0100000US,,United States,0400000US45,45,United States - South Carolina,South Carolina,678,46,-,1,5,26,14,-,14.7
0100000US,,United States,0400000US46,46,United States - South Dakota,South Dakota,1983,66,1,10,28,14,9,4,30
0100000US,,United States,0400000US47,47,United States - Tennessee,Tennessee,916,95,-,-,-,48,40,7,9.6
0100000US,,United States,0400000US48,48,United States - Texas,Texas,5147,254,4,13,22,132,73,10,20.3
0100000US,,United States,0400000US49,49,United States - Utah,Utah,622,29,-,2,6,16,5,-,21.4
0100000US,,United States,0400000US50,50,United States - Vermont,Vermont,738,14,-,8,5,1,-,-,52.7
0100000US,,United States,0400000US51,51,United States - Virginia,Virginia,518,134,-,-,-,7,31,96,3.9
0100000US,,United States,0400000US53,53,United States - Washington,Washington,1900,39,1,14,18,5,1,-,48.7
0100000US,,United States,0400000US54,54,United States - West Virginia,West Virginia,659,55,-,-,3,31,18,3,12
0100000US,,United States,0400000US55,55,United States - Wisconsin,Wisconsin,3128,72,1,23,41,6,-,1,43.4
0100000US,,United States,0400000US56,56,United States - Wyoming,Wyoming,805,23,-,5,10,8,-,-,35
