FIPS,StateFIPS,CountyName,StateAbbrev,Year,CCAP_ClassID,LCName,SquareMiles
01003,01,Baldwin,AL,2006,1,Unclassified,0.0000000
01003,01,Baldwin,AL,2006,2,High Intensity Developed,4.1111772
01003,01,Baldwin,AL,2006,3,Medium Intensity Developed,9.9229799
01003,01,Baldwin,AL,2006,4,Low Intensity Developed,51.2748671
01003,01,Baldwin,AL,2006,5,Open Space Developed,24.5485683
01003,01,Baldwin,AL,2006,6,Cultivated,164.9790927
01003,01,Baldwin,AL,2006,7,Pasture-Hay,98.8750115
01003,01,Baldwin,AL,2006,8,Grassland,97.8478254
01003,01,Baldwin,AL,2006,9,Deciduous Forest,6.6308413
01003,01,Baldwin,AL,2006,10,Evergreen Forest,379.3301866
01003,01,Baldwin,AL,2006,11,Mixed Forest,31.0223448
01003,01,Baldwin,AL,2006,12,Scrub-Shrub,243.1592324
01003,01,Baldwin,AL,2006,13,Palustrine Forested Wetlands,386.5479618
01003,01,Baldwin,AL,2006,14,Palustrine Scrub-Shrub Wetlands,47.2498695
01003,01,Baldwin,AL,2006,15,Palustrine Emergent Wetlands,12.8676267
01003,01,Baldwin,AL,2006,16,Estuarine Forested Wetlands,0.0000000
01003,01,Baldwin,AL,2006,17,Estuarine Scrub-Shrub Wetlands,0.6998488
01003,01,Baldwin,AL,2006,18,Estuarine Emergent Wetlands,26.8993513
01003,01,Baldwin,AL,2006,19,Unconsolidated Shore,7.1649364
01003,01,Baldwin,AL,2006,20,Bare Land,9.3690778
01003,01,Baldwin,AL,2006,21,Open Water,419.2883129
01003,01,Baldwin,AL,2006,22,Palustrine Aquatic Bed,0.0246719
01003,01,Baldwin,AL,2006,23,Estuarine Aquatic Bed,0.1219697
01003,01,Baldwin,AL,2006,25,Snow-Ice,0.0000000
01005,01,Barbour,AL,2006,1,Unclassified,0.0000000
01005,01,Barbour,AL,2006,2,High Intensity Developed,0.9170312
01005,01,Barbour,AL,2006,3,Medium Intensity Developed,1.8931361
01005,01,Barbour,AL,2006,4,Low Intensity Developed,13.5528808
01005,01,Barbour,AL,2006,5,Open Space Developed,5.2214139
01005,01,Barbour,AL,2006,6,Cultivated,47.3065091
01005,01,Barbour,AL,2006,7,Pasture-Hay,48.8910724
01005,01,Barbour,AL,2006,8,Grassland,66.2691475
01005,01,Barbour,AL,2006,9,Deciduous Forest,47.6029213
01005,01,Barbour,AL,2006,10,Evergreen Forest,199.6699083
01005,01,Barbour,AL,2006,11,Mixed Forest,137.1018990
01005,01,Barbour,AL,2006,12,Scrub-Shrub,184.9327781
01005,01,Barbour,AL,2006,13,Palustrine Forested Wetlands,107.2238561
01005,01,Barbour,AL,2006,14,Palustrine Scrub-Shrub Wetlands,10.9529460
01005,01,Barbour,AL,2006,15,Palustrine Emergent Wetlands,7.4203430
01005,01,Barbour,AL,2006,16,Estuarine Forested Wetlands,0.0000000
