GeoFips,GeoName,LineCode,Description,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
48001,Anderson,1,Personal income (thousands of dollars),75205,81403,89124,95861,111135,127972,151038,168120,188200,217824,246768,287401,349654,410599,431643,457836,477378,485017,493364,521071,560134,578369,607337,644929,671114,723333,776303,818473,857585,908892,930839,1003625,1049180,1063864,1093975,1143843,1206032,1285508,1390812,1503877,1480682,1549368,1589090,1716020,1741904
48001,Anderson,2,Population (persons) 1/,28708,28012,29457,30684,30649,30901,32149,33462,34760,36546,37968,38874,40730,41873,44378,45215,46020,46495,46256,48084,48602,47980,48284,48618,49763,50729,53094,53510,54051,54290,54876,55062,54263,54740,56068,56245,56873,57386,57870,57963,58410,58477,58404,58080,57938
48001,Anderson,3,Per capita personal income (dollars) 2/,2620,2906,3026,3124,3626,4141,4698,5024,5414,5960,6499,7393,8585,9806,9727,10126,10373,10432,10666,10837,11525,12054,12578,13265,13486,14259,14621,15296,15866,16741,16963,18227,19335,19435,19512,20337,21206,22401,24033,25945,25350,26495,27209,29546,30065
48003,Andrews,1,Personal income (thousands of dollars),37170,40437,47683,43156,50414,59444,71924,81911,94576,103385,114586,131143,173654,202491,208337,219631,223050,200886,192914,187188,197333,205867,207708,218323,224388,229662,229691,234854,251650,249831,246934,269373,294263,290398,318972,341568,375751,422385,454860,549682,502778,560238,692623,787502,839895
48003,Andrews,2,Population (persons) 1/,9307,10450,10993,11146,10582,10751,11676,11885,12021,12418,12792,13482,14076,15142,15742,15752,16345,16509,15329,14968,14476,14270,14404,14324,13963,13953,13723,13583,13563,13594,13225,12949,12856,13022,12976,13006,13016,13195,13513,14099,14601,14835,15397,16137,16799
48003,Andrews,3,Per capita personal income (dollars) 2/,3994,3870,4338,3872,4764,5529,6160,6892,7868,8325,8958,9727,12337,13373,13234,13943,13646,12168,12585,12506,13632,14427,14420,15242,16070,16460,16738,17290,18554,18378,18672,20803,22889,22301,24582,26262,28868,32011,33661,38987,34434,37765,44984,48801,49997
48005,Angelina,1,Personal income (thousands of dollars),147002,162182,179458,204792,227269,259040,296324,334357,376865,443373,503510,556609,636205,699132,720697,784469,831507,863672,857849,921478,984837,1041715,1112731,1170335,1231975,1308413,1391441,1470866,1550836,1654220,1704451,1831453,2016605,2030026,2132395,2245976,2366919,2556534,2695887,2761827,2709560,2775539,2955861,3197538,3157642
48005,Angelina,2,Population (persons) 1/,48122,49644,51541,53112,54248,54634,55932,57360,58449,60444,61997,64558,65914,67879,68337,68314,68500,69088,68311,68777,69589,70037,70924,72300,73774,75060,75896,76852,78051,79248,79611,80270,80273,80803,81510,82070,82553,83810,84518,84961,86029,86934,87320,87488,87441
48005,Angelina,3,Per capita personal income (dollars) 2/,3055,3267,3482,3856,4189,4741,5298,5829,6448,7335,8122,8622,9652,10300,10546,11483,12139,12501,12558,13398,14152,14874,15689,16187,16699,17432,18334,19139,19870,20874,21410,22816,25122,25123,26161,27367,28672,30504,31897,32507,31496,31927,33851,36548,36112
48007,Aransas,1,Personal income (thousands of dollars),29594,34022,40540,43902,50178,59332,68494,81291,95731,110243,128371,141949,158898,181879,193800,209487,227854,226357,223068,231004,252285,262066,283781,301293,334490,347728,386482,422667,465554,512065,517676,556186,574296,588222,619429,669148,743900,816280,879174,946885,920811,933207,991759,1115978,1146565
48007,Aransas,2,Population (persons) 1/,8661,9016,9733,10356,10586,10840,11300,11695,12285,13183,13985,14398,14908,16105,16519,17259,17707,18128,17972,18060,17954,17863,18322,18936,19378,20413,20664,21239,21888,22135,22417,22452,22287,22616,22843,23067,23561,23395,23172,23225,23291,23160,23481,23847,24356
