GEO.id,GEO.id2,GEO.display-label,HC01_VC01,HC02_VC01
Id,Id2,Geography,Number; Total population,Percent; Total population
0500000US01001,01001,"Autauga County, Alabama",43671,100.0
0500000US01003,01003,"Baldwin County, Alabama",140415,100.0
0500000US01005,01005,"Barbour County, Alabama",29038,100.0
0500000US01007,01007,"Bibb County, Alabama",20826,100.0
0500000US01009,01009,"Blount County, Alabama",51024,100.0
0500000US01011,01011,"Bullock County, Alabama",11714,100.0
0500000US01013,01013,"Butler County, Alabama",21399,100.0
0500000US01015,01015,"Calhoun County, Alabama",112249,100.0
0500000US01017,01017,"Chambers County, Alabama",36583,100.0
0500000US01019,01019,"Cherokee County, Alabama",23988,100.0
0500000US01021,01021,"Chilton County, Alabama",39593,100.0
0500000US01023,01023,"Choctaw County, Alabama",15922,100.0
0500000US01025,01025,"Clarke County, Alabama",27867,100.0
0500000US01027,01027,"Clay County, Alabama",14254,100.0
0500000US01029,01029,"Cleburne County, Alabama",14123,100.0
0500000US01031,01031,"Coffee County, Alabama",43615,100.0
0500000US01033,01033,"Colbert County, Alabama",54984,100.0
0500000US01035,01035,"Conecuh County, Alabama",14089,100.0
0500000US01037,01037,"Coosa County, Alabama",12202,100.0
0500000US01039,01039,"Covington County, Alabama",37631,100.0
0500000US01041,01041,"Crenshaw County, Alabama",13665,100.0
0500000US01043,01043,"Cullman County, Alabama",77483,100.0
0500000US01045,01045,"Dale County, Alabama",49129,100.0
0500000US01047,01047,"Dallas County, Alabama",46365,100.0
0500000US01049,01049,"DeKalb County, Alabama",64452,100.0
0500000US01051,01051,"Elmore County, Alabama",65874,100.0
0500000US01053,01053,"Escambia County, Alabama",38440,100.0
0500000US01055,01055,"Etowah County, Alabama",103459,100.0
0500000US01057,01057,"Fayette County, Alabama",18495,100.0
0500000US01059,01059,"Franklin County, Alabama",31223,100.0
0500000US01061,01061,"Geneva County, Alabama",25764,100.0
0500000US01063,01063,"Greene County, Alabama",9974,100.0
0500000US01065,01065,"Hale County, Alabama",17185,100.0
0500000US01067,01067,"Henry County, Alabama",16310,100.0
0500000US01069,01069,"Houston County, Alabama",88787,100.0
0500000US01071,01071,"Jackson County, Alabama",53926,100.0
0500000US01073,01073,"Jefferson County, Alabama",662047,100.0
0500000US01075,01075,"Lamar County, Alabama",15904,100.0
0500000US01077,01077,"Lauderdale County, Alabama",87966,100.0
0500000US01079,01079,"Lawrence County, Alabama",34803,100.0
0500000US01081,01081,"Lee County, Alabama",115092,100.0
0500000US01083,01083,"Limestone County, Alabama",65676,100.0
0500000US01085,01085,"Lowndes County, Alabama",13473,100.0
0500000US01087,01087,"Macon County, Alabama",24105,100.0
0500000US01089,01089,"Madison County, Alabama",276700,100.0
0500000US01091,01091,"Marengo County, Alabama",22539,100.0
0500000US01093,01093,"Marion County, Alabama",31214,100.0
0500000US01095,01095,"Marshall County, Alabama",82231,100.0
0500000US01097,01097,"Mobile County, Alabama",399843,100.0
0500000US01099,01099,"Monroe County, Alabama",24324,100.0
0500000US01101,01101,"Montgomery County, Alabama",223510,100.0
0500000US01103,01103,"Morgan County, Alabama",111064,100.0
0500000US01105,01105,"Perry County, Alabama",11861,100.0
0500000US01107,01107,"Pickens County, Alabama",20949,100.0
0500000US01109,01109,"Pike County, Alabama",29605,100.0
0500000US01111,01111,"Randolph County, Alabama",22380,100.0
0500000US01113,01113,"Russell County, Alabama",49756,100.0
0500000US01115,01115,"St. Clair County, Alabama",64742,100.0
0500000US01117,01117,"Shelby County, Alabama",143293,100.0
0500000US01119,01119,"Sumter County, Alabama",14798,100.0
0500000US01121,01121,"Talladega County, Alabama",80321,100.0
0500000US01123,01123,"Tallapoosa County, Alabama",41475,100.0
0500000US01125,01125,"Tuscaloosa County, Alabama",164875,100.0
0500000US01127,01127,"Walker County, Alabama",70713,100.0
0500000US01129,01129,"Washington County, Alabama",18097,100.0
0500000US01131,01131,"Wilcox County, Alabama",13183,100.0
0500000US01133,01133,"Winston County, Alabama",24843,100.0
0500000US02013,02013,"Aleutians East Borough, Alaska",2697,100.0
0500000US02016,02016,"Aleutians West Census Area, Alaska",5465,100.0
0500000US02020,02020,"Anchorage Municipality, Alaska",260283,100.0
0500000US02050,02050,"Bethel Census Area, Alaska",16006,100.0
0500000US02060,02060,"Bristol Bay Borough, Alaska",1258,100.0
0500000US02068,02068,"Denali Borough, Alaska",1893,100.0
0500000US02070,02070,"Dillingham Census Area, Alaska",4922,100.0
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",82840,100.0
0500000US02100,02100,"Haines Borough, Alaska",2392,100.0
0500000US02110,02110,"Juneau City and Borough, Alaska",30711,100.0
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",49691,100.0
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",14070,100.0
0500000US02150,02150,"Kodiak Island Borough, Alaska",13913,100.0
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1823,100.0
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",59322,100.0
0500000US02180,02180,"Nome Census Area, Alaska",9196,100.0
0500000US02185,02185,"North Slope Borough, Alaska",7385,100.0
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7208,100.0
0500000US02201,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",6146,100.0
0500000US02220,02220,"Sitka City and Borough, Alaska",8835,100.0
0500000US02232,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",3436,100.0
