"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"acefcnut  ","P",01/07/2009 9:00,1,1,1         ,1         ,<0> 0.09 0,0.09,<0>  ,0.046,<0>  ,"","","","",0.032,<0>  ,"",<-2> [GDM] ,
"acefcnut  ","P",01/07/2009 9:01,1,1,1         ,2         ,<0> 0.092 0,0.092,<0>  ,0.038,<0>  ,"","","","",0.03,<0>  ,"",<-2> [GDM] ,
"acefcnut  ","P",02/05/2009 9:01,1,1,1         ,1         ,<0> 0.101 0,0.101,<0>  ,0.067,<0>  ,"","","","",0.094,<0>  ,2.35,<0>  ,
"acefcnut  ","P",02/05/2009 9:02,1,1,1         ,2         ,<0> 0.105 0,0.105,<0>  ,0.077,<0>  ,"","","","",0.093,<0>  ,2.03,<0>  ,
"acefcnut  ","P",03/11/2009 13:30,1,1,1         ,1         ,<0> 0.061 0,0.061,<0>  ,0.056,<0>  ,"","","","",0.02,<0>  ,7.55,<0>  ,
"acefcnut  ","P",03/11/2009 13:31,1,1,1         ,2         ,<0> 0.071 0,0.071,<0>  ,0.061,<0>  ,"","","","",0.02,<0>  ,7.35,<0>  ,
"acefcnut  ","P",04/08/2009 12:00,1,1,1         ,1         ,<0> 0.096 0,0.096,<0>  ,0.109,<0>  ,"","","","",0.029,<0>  ,3.96,<0>  ,
"acefcnut  ","P",04/08/2009 12:01,1,1,1         ,2         ,<0> 0.092 0,0.092,<0>  ,0.114,<0>  ,"","","","",0.027,<0>  ,5.03,<0>  ,
"acefcnut  ","P",05/05/2009 9:00,1,1,1         ,1         ,<0> 0.153 0,0.153,<0>  ,0.244,<0>  ,"","","","",0.026,<0>  ,8.56,<0>  ,
"acefcnut  ","P",05/05/2009 9:01,1,1,1         ,2         ,<0> 0.147 0,0.147,<0>  ,0.24,<0>  ,"","","","",0.026,<0>  ,5.68,<0>  ,
"acefcnut  ","P",06/03/2009 9:30,1,1,1         ,1         ,<0> 0.095 0,0.095,<0>  ,0.089,<0>  ,"","","","",0.044,<0>  ,11.94,<0> (CSM) ,
"acefcnut  ","P",06/03/2009 9:31,1,1,1         ,2         ,<0> 0.097 0,0.097,<0>  ,0.09,<0>  ,"","","","",0.044,<0>  ,10.95,<0> (CSM) ,
"acefcnut  ","P",07/06/2009 12:30,1,1,1         ,1         ,<0> 0.12 0,0.12,<0>  ,0.08,<0>  ,"","","","",0.04,<0>  ,9.08,<0>  ,
"acefcnut  ","P",07/06/2009 12:31,1,1,1         ,2         ,<0> 0.104 0,0.104,<0>  ,0.084,<0>  ,"","","","",0.044,<0>  ,8.69,<0>  ,
"acefcnut  ","P",08/04/2009 11:15,1,1,1         ,1         ,<0> 0.106 0,0.106,<0>  ,0.0020,<0>  ,"","","","",0.117,<0>  ,8.87,<0> (CSM) ,
"acefcnut  ","P",08/04/2009 11:16,1,1,1         ,2         ,<0> 0.111 0,0.111,<0>  ,0.0010,<0>  ,"","","","",0.077,<0>  ,3.62,<0> (CSM) ,
"acefcnut  ","P",09/15/2009 10:00,1,1,1         ,1         ,<0> 0.047 0,0.047,<0>  ,0.058,<0>  ,"","","","",0.033,<0>  ,7.66,<0> (CSM) ,
"acefcnut  ","P",09/15/2009 10:01,1,1,1         ,2         ,<0> 0.052 0,0.052,<0>  ,0.062,<0>  ,"","","","",0.03,<0>  ,8.46,<0> (CSM) ,
"acefcnut  ","P",10/13/2009 8:30,1,1,1         ,1         ,<0> 0.101 0,0.101,<0>  ,0.066,<0>  ,"","","","",0.079,<0>  ,7.36,<0>  ,
"acefcnut  ","P",10/13/2009 8:31,1,1,1         ,2         ,<0> 0.102 0,0.102,<0>  ,0.07,<0>  ,"","","","",0.067,<0>  ,6.97,<0>  ,
"acefcnut  ","P",11/12/2009 8:45,1,1,1         ,1         ,<0> 0.109 0,0.109,<0>  ,0.047,<0>  ,"","","","",0.036,<0>  ,7.81,<0>  ,
"acefcnut  ","P",11/12/2009 8:46,1,1,1         ,2         ,<0> 0.067 0,0.067,<0>  ,0.043,<0>  ,"","","","",0.031,<0>  ,7.36,<0>  ,
"acefcnut  ","P",12/14/2009 11:40,1,1,1         ,1         ,<0> 0.045 0,0.045,<0>  ,0.052,<0>  ,"","","","",0.024,<0>  ,3.42,<0>  ,
"acefcnut  ","P",12/14/2009 11:41,1,1,1         ,2         ,<0> 0.049 0,0.049,<0>  ,0.051,<0>  ,"","","","",0.018,<0>  ,2.88,<0>  ,

