"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"acegpwq   ","S",01/01/2015 0:00,0,1,"",11.6,<0> (CND),0.09,<0> (CND),0.0,<0> (CND),76.9,<0> (CND),8.4,<0> (CND),1.36,<0> (CND),1.21,<3> ,"",<-1> ,"","",6.2,<0> (CND),10,<0> (CND),"",<-1> ,
"acegpwq   ","S",01/01/2015 0:15,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,76.9,<0> ,8.4,<0> ,1.32,<0> ,1.17,<3> ,"",<-1> ,"","",6.2,<0> ,10,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 0:30,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.0,<0> ,8.4,<0> ,1.32,<0> ,1.17,<3> ,"",<-1> ,"","",6.2,<0> ,9,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 0:45,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.1,<0> ,8.4,<0> ,1.38,<0> ,1.23,<3> ,"",<-1> ,"","",6.2,<0> ,9,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 1:00,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,76.8,<0> ,8.4,<0> ,1.52,<0> ,1.38,<3> ,"",<-1> ,"","",6.2,<0> ,7,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 1:15,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.2,<0> ,8.4,<0> ,1.68,<0> ,1.54,<3> ,"",<-1> ,"","",6.2,<0> ,7,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 1:30,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.4,<0> ,8.4,<0> ,1.84,<0> ,1.70,<3> ,"",<-1> ,"","",6.2,<0> ,8,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 1:45,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.5,<0> ,8.5,<0> ,1.99,<0> ,1.85,<3> ,"",<-1> ,"","",6.2,<0> ,9,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 2:00,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.4,<0> ,8.4,<0> ,2.15,<0> ,2.00,<3> ,"",<-1> ,"","",6.2,<0> ,11,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 2:15,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.3,<0> ,8.4,<0> ,2.30,<0> ,2.15,<3> ,"",<-1> ,"","",6.2,<0> ,12,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 2:30,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.3,<0> ,8.4,<0> ,2.44,<0> ,2.29,<3> ,"",<-1> ,"","",6.2,<0> ,12,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 2:45,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.3,<0> ,8.4,<0> ,2.59,<0> ,2.45,<3> ,"",<-1> ,"","",6.2,<0> ,11,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 3:00,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,77.0,<0> ,8.4,<0> ,2.73,<0> ,2.58,<3> ,"",<-1> ,"","",6.2,<0> ,17,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 3:15,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,76.8,<0> ,8.4,<0> ,2.85,<0> ,2.71,<3> ,"",<-1> ,"","",6.2,<0> ,23,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 3:30,0,1,"",11.5,<0> ,0.09,<0> ,0.0,<0> ,76.7,<0> ,8.4,<0> ,2.97,<0> ,2.83,<3> ,"",<-1> ,"","",6.2,<0> ,19,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 3:45,0,1,"",11.6,<0> ,0.10,<0> ,0.1,<0> ,76.8,<0> ,8.4,<0> ,3.07,<0> ,2.93,<3> ,"",<-1> ,"","",6.2,<0> ,21,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 4:00,0,1,"",11.7,<0> ,0.10,<0> ,0.1,<0> ,76.8,<0> ,8.3,<0> ,3.13,<0> ,2.99,<3> ,"",<-1> ,"","",6.2,<0> ,23,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 4:15,0,1,"",11.7,<0> ,0.11,<0> ,0.1,<0> ,76.8,<0> ,8.3,<0> ,3.18,<0> ,3.04,<3> ,"",<-1> ,"","",6.2,<0> ,23,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 4:30,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,76.7,<0> ,8.3,<0> ,3.22,<0> ,3.08,<3> ,"",<-1> ,"","",6.2,<0> ,20,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 4:45,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,76.8,<0> ,8.3,<0> ,3.26,<0> ,3.12,<3> ,"",<-1> ,"","",6.2,<0> ,18,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 5:00,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,76.9,<0> ,8.4,<0> ,3.29,<0> ,3.15,<3> ,"",<-1> ,"","",6.2,<0> ,18,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 5:15,0,1,"",11.6,<0> ,0.13,<0> ,0.1,<0> ,77.1,<0> ,8.4,<0> ,3.32,<0> ,3.18,<3> ,"",<-1> ,"","",6.2,<0> ,16,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 5:30,0,1,"",11.6,<0> ,0.13,<0> ,0.1,<0> ,77.2,<0> ,8.4,<0> ,3.35,<0> ,3.21,<3> ,"",<-1> ,"","",6.3,<0> ,16,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 5:45,0,1,"",11.6,<0> ,0.13,<0> ,0.1,<0> ,77.2,<0> ,8.4,<0> ,3.37,<0> ,3.23,<3> ,"",<-1> ,"","",6.3,<0> ,14,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 6:00,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,77.3,<0> ,8.4,<0> ,3.39,<0> ,3.25,<3> ,"",<-1> ,"","",6.3,<0> ,14,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 6:15,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,77.2,<0> ,8.4,<0> ,3.41,<0> ,3.27,<3> ,"",<-1> ,"","",6.3,<0> ,13,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 6:30,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,77.2,<0> ,8.4,<0> ,3.42,<0> ,3.28,<3> ,"",<-1> ,"","",6.2,<0> ,12,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 6:45,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,77.1,<0> ,8.4,<0> ,3.42,<0> ,3.28,<3> ,"",<-1> ,"","",6.3,<0> ,12,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 7:00,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,76.8,<0> ,8.3,<0> ,3.40,<0> ,3.25,<3> ,"",<-1> ,"","",6.3,<0> ,11,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 7:15,0,1,"",11.7,<0> ,0.12,<0> ,0.1,<0> ,76.8,<0> ,8.3,<0> ,3.35,<0> ,3.20,<3> ,"",<-1> ,"","",6.2,<0> ,11,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 7:30,0,1,"",11.6,<0> ,0.12,<0> ,0.1,<0> ,77.0,<0> ,8.4,<0> ,3.31,<0> ,3.16,<3> ,"",<-1> ,"","",6.2,<0> ,12,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 7:45,0,1,"",11.5,<0> ,0.12,<0> ,0.1,<0> ,77.0,<0> ,8.4,<0> ,3.24,<0> ,3.09,<3> ,"",<-1> ,"","",6.2,<0> ,13,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 8:00,0,1,"",11.4,<0> ,0.12,<0> ,0.1,<0> ,76.6,<0> ,8.4,<0> ,3.17,<0> ,3.02,<3> ,"",<-1> ,"","",6.2,<0> ,16,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 8:15,0,1,"",11.3,<0> ,0.12,<0> ,0.1,<0> ,76.5,<0> ,8.4,<0> ,3.10,<0> ,2.95,<3> ,"",<-1> ,"","",6.2,<0> ,24,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 8:30,0,1,"",11.1,<0> ,0.12,<0> ,0.1,<0> ,76.2,<0> ,8.4,<0> ,3.03,<0> ,2.88,<3> ,"",<-1> ,"","",6.2,<0> ,24,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 8:45,0,1,"",11.2,<0> ,0.12,<0> ,0.1,<0> ,76.4,<0> ,8.4,<0> ,2.95,<0> ,2.80,<3> ,"",<-1> ,"","",6.2,<0> ,20,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 9:00,0,1,"",11.1,<0> ,0.12,<0> ,0.1,<0> ,76.5,<0> ,8.4,<0> ,2.87,<0> ,2.72,<3> ,"",<-1> ,"","",6.2,<0> ,34,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 9:15,0,1,"",11.1,<0> ,0.11,<0> ,0.1,<0> ,76.5,<0> ,8.4,<0> ,2.77,<0> ,2.62,<3> ,"",<-1> ,"","",6.2,<0> ,24,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 9:30,0,1,"",11.1,<0> ,0.11,<0> ,0.1,<0> ,76.6,<0> ,8.4,<0> ,2.68,<0> ,2.53,<3> ,"",<-1> ,"","",6.2,<0> ,25,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 9:45,0,1,"",11.2,<0> ,0.11,<0> ,0.1,<0> ,76.4,<0> ,8.4,<0> ,2.59,<0> ,2.43,<3> ,"",<-1> ,"","",6.2,<0> ,25,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 10:00,0,1,"",11.2,<0> ,0.11,<0> ,0.1,<0> ,76.6,<0> ,8.4,<0> ,2.50,<0> ,2.34,<3> ,"",<-1> ,"","",6.2,<0> ,25,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 10:15,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,76.6,<0> ,8.4,<0> ,2.39,<0> ,2.23,<3> ,"",<-1> ,"","",6.2,<0> ,24,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 10:30,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,76.7,<0> ,8.4,<0> ,2.29,<0> ,2.13,<3> ,"",<-1> ,"","",6.2,<0> ,21,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 10:45,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,76.7,<0> ,8.4,<0> ,2.20,<0> ,2.05,<3> ,"",<-1> ,"","",6.2,<0> ,20,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 11:00,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,76.9,<0> ,8.4,<0> ,2.10,<0> ,1.95,<3> ,"",<-1> ,"","",6.2,<0> ,21,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 11:15,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,76.9,<0> ,8.4,<0> ,2.01,<0> ,1.86,<3> ,"",<-1> ,"","",6.2,<0> ,17,<0> ,"",<-1> ,
"acegpwq   ","S",01/01/2015 11:30,0,1,"",11.3,<0> ,0.10,<0> ,0.1,<0> ,77.2,<0> ,8.4,<0> ,1.92,<0> ,1.77,<3> ,"",<-1> ,"","",6.2,<0> ,22,<0> ,"",<-1> ,
