"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaegnut  ","S",01/04/2005 10:30,1,1,1         ,1         ,"",0.046,<4>  ,0.039,<4>  ,0.0050,<4>  ,0.081,<4>  C                   ,0.086,<4>  ,0.64,<4>  ,
"apaegnut  ","S",01/04/2005 10:33,1,1,1         ,2         ,"",0.043,<4>  ,0.044,<4>  ,0.0040,<4>  ,0.097,<4>  C                   ,0.101,<4>  ,0.64,<4>  ,
"apaegnut  ","S",02/07/2005 11:00,1,1,1         ,1         ,"",0.0030,<4>  ,0.03,<4>  ,0.0040,<4>  ,0.076,<4>  C                   ,0.08,<4>  ,4.49,<4>  ,
"apaegnut  ","S",02/07/2005 11:03,1,1,1         ,2         ,"",0.0040,<4>  ,0.029,<4>  ,0.0040,<4>  ,0.073,<4>  C                   ,0.077,<4>  ,4.49,<4>  ,
"apaegnut  ","S",03/02/2005 12:00,1,1,1         ,1         ,"",0.0010,<4>  ,0.0040,<4>  B                   ,0.035,<4>  ,0.255,<4>  C                   ,0.29,<4>  ,0.98,<4>  ,
"apaegnut  ","S",03/02/2005 12:03,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0070,<4>  ,0.037,<4>  ,0.277,<4>  C                   ,0.314,<4>  ,0.5,<4>  B                   ,
"apaegnut  ","S",04/04/2005 11:35,1,1,1         ,1         ,"",0.0060,<4>  ,0.072,<4>  ,0.028,<4>  ,0.67,<4>  C                   ,0.698,<4>  ,0.98,<4>  ,
"apaegnut  ","S",04/04/2005 11:37,1,1,1         ,2         ,"",0.0060,<4>  ,0.071,<4>  ,0.027,<4>  ,0.682,<4>  C                   ,0.709,<4>  ,2.44,<4>  ,
"apaegnut  ","S",05/02/2005 10:30,1,1,1         ,1         ,"",0.0030,<4>  ,0.068,<4>  ,0.0030,<4>  ,0.36,<4>  C                   ,0.363,<4>  ,3.4,<4>  ,
"apaegnut  ","S",05/02/2005 10:32,1,1,1         ,2         ,"",0.0040,<4>  ,0.065,<4>  ,0.0030,<4>  ,0.358,<4>  C                   ,0.361,<4>  ,3.52,<4>  ,
"apaegnut  ","S",06/06/2005 9:05,1,1,1         ,1         ,"",0.0010,<4>  ,0.056,<4>  ,0.0030,<4>  ,0.377,<4>  C                   ,0.38,<4>  ,5.98,<4>  ,
"apaegnut  ","S",06/06/2005 9:07,1,1,1         ,2         ,"",0.0010,<4>  ,0.057,<4>  ,0.0040,<4>  ,0.404,<4>  C                   ,0.408,<4>  ,4.7,<4>  ,
"apaegnut  ","S",07/07/2005 8:42,1,1,1         ,1         ,"",0.0010,<4>  ,0.069,<4>  ,0.0030,<4>  ,0.415,<4>  C                   ,0.418,<4>  ,3.84,<4>  ,
"apaegnut  ","S",07/07/2005 8:44,1,1,1         ,2         ,"",0.0010,<4>  ,0.068,<4>  ,0.0040,<4>  ,0.43,<4>  C                   ,0.434,<4>  ,4.49,<4>  ,
"apaegnut  ","S",08/09/2005 9:13,1,1,1         ,1         ,"",0.0050,<4>  ,0.019,<4>  ,0.0020,<4>  ,0.327,<4>  C                   ,0.329,<4>  ,1.28,<4>  ,
"apaegnut  ","S",08/09/2005 9:16,1,1,1         ,2         ,"",0.0060,<4>  ,0.018,<4>  ,0.0030,<4>  ,0.325,<4>  C                   ,0.328,<4>  ,1.71,<4>  ,
"apaegnut  ","S",09/08/2005 9:50,1,1,1         ,1         ,"",0.0030,<4>  ,0.02,<4>  ,0.0040,<4>  ,0.296,<4>  C                   ,0.3,<4>  ,2.56,<4>  ,
"apaegnut  ","S",09/08/2005 9:52,1,1,1         ,2         ,"",0.0030,<4>  ,0.021,<4>  ,0.0040,<4>  ,0.307,<4>  C                   ,0.311,<4>  ,2.56,<4>  ,
"apaegnut  ","S",10/03/2005 9:05,1,1,1         ,1         ,"",0.0020,<4>  ,0.012,<4>  ,0.0040,<4>  ,0.382,<4>  C                   ,0.386,<4>  ,2.56,<4>  ,
"apaegnut  ","S",10/03/2005 9:08,1,1,1         ,2         ,"",0.0020,<4>  ,0.013,<4>  ,0.0040,<4>  ,0.335,<4>  C                   ,0.339,<4>  ,2.56,<4>  ,
"apaegnut  ","S",11/08/2005 10:46,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.016,<4>  ,0.0020,<4>  ,0.463,<4>  C                   ,0.465,<4>  ,1.92,<4>  ,
"apaegnut  ","S",11/08/2005 10:48,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.017,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.456,<4>  ,1.92,<4>  ,
"apaegnut  ","S",11/29/2005 13:41,1,1,1         ,1         ,"",0.0020,<4>  ,0.04,<4>  ,0.0040,<4>  ,0.179,<4>  C                   ,0.183,<4>  ,1.28,<4>  ,
"apaegnut  ","S",11/29/2005 13:43,1,1,1         ,2         ,"",0.0020,<4>  ,0.039,<4>  ,0.0040,<4>  ,0.175,<4>  C                   ,0.179,<4>  ,1.28,<4>  ,

