"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaesnut  ","P",01/08/2013 11:53,0,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.021,<0>  ,"","","","",0.0050,<0>  ,9.83,<0>  ,
"apaesnut  ","P",01/08/2013 12:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.0060,<0>  ,6.48,<0>  ,
"apaesnut  ","P",01/08/2013 14:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.015,<0>  ,"","","","",0.0030,<0>  ,4.92,<0>  ,
"apaesnut  ","P",01/08/2013 17:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.0050,<0>  ,4.47,<0>  ,
"apaesnut  ","P",01/08/2013 19:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.013,<0>  ,5.14,<0>  ,
"apaesnut  ","P",01/08/2013 22:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.013,<0>  ,5.59,<0>  ,
"apaesnut  ","P",01/09/2013 0:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.019,<0>  ,"","","","",0.012,<0>  ,4.92,<0>  ,
"apaesnut  ","P",01/09/2013 3:00,0,1,2         ,1         ,"",0.016,<0>  ,0.024,<0>  ,"","","","",0.0020,<-4> [SBL] ,6.48,<0>  ,
"apaesnut  ","P",01/09/2013 5:30,0,1,2         ,1         ,"",0.011,<0>  ,0.013,<-4> [SBL] ,"","","","",0.0020,<-4> [SBL] ,8.04,<0>  ,
"apaesnut  ","P",01/09/2013 8:00,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.0020,<-4> [SBL] ,9.83,<0>  ,
"apaesnut  ","P",01/09/2013 10:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.0020,<-4> [SBL] ,8.49,<0>  ,
"apaesnut  ","P",01/09/2013 13:00,0,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
"apaesnut  ","P",02/05/2013 10:56,0,1,1         ,1         ,"",0.0060,<0>  ,0.019,<0>  ,"","","","",0.017,<0>  ,12.29,<0>  ,
"apaesnut  ","P",03/04/2013 10:07,0,1,1         ,1         ,"",0.0050,<0>  ,0.024,<0>  ,"","","","",0.017,<0>  ,5.36,<0>  ,
"apaesnut  ","P",03/04/2013 10:15,0,1,2         ,1         ,"",0.012,<0>  ,0.013,<-4> [SBL] ,"","","","",0.021,<0>  ,3.13,<0>  ,
"apaesnut  ","P",03/04/2013 12:45,0,1,2         ,1         ,"",0.0060,<0>  ,0.013,<-4> [SBL] ,"","","","",0.014,<0>  ,4.24,<0>  ,
"apaesnut  ","P",03/04/2013 15:15,0,1,2         ,1         ,"",0.0050,<0>  ,0.013,<-4> [SBL] ,"","","","",0.014,<0>  ,3.8,<0>  ,
"apaesnut  ","P",03/04/2013 17:45,0,1,2         ,1         ,"",0.0040,<0>  ,0.013,<-4> [SBL] ,"","","","",0.014,<0>  ,4.02,<0>  ,
"apaesnut  ","P",03/04/2013 20:15,0,1,2         ,1         ,"",0.0030,<0>  ,0.013,<-4> [SBL] ,"","","","",0.013,<0>  ,4.47,<0>  ,
"apaesnut  ","P",03/04/2013 22:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.013,<0>  ,4.02,<0>  ,
"apaesnut  ","P",03/05/2013 1:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.011,<0>  ,3.35,<0>  ,
"apaesnut  ","P",03/05/2013 3:45,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.012,<0>  ,2.9,<0>  ,
"apaesnut  ","P",03/05/2013 6:15,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.012,<0>  ,2.68,<0>  ,
"apaesnut  ","P",03/05/2013 8:45,0,1,2         ,1         ,"",0.0080,<0>  ,0.013,<-4> [SBL] ,"","","","",0.014,<0>  ,2.68,<0>  ,
"apaesnut  ","P",03/05/2013 11:15,0,1,2         ,1         ,"","",<-2> [GDM] ,"",<-2> [GDM] ,"","","","","",<-2> [GDM] ,"",<-2> [GDM] ,
"apaesnut  ","P",04/01/2013 9:30,0,1,2         ,1         ,"",0.0030,<0>  ,0.035,<0>  ,"","","","",0.098,<0>  ,16.76,<0>  ,
"apaesnut  ","P",04/01/2013 12:00,0,1,2         ,1         ,"",0.0030,<0>  ,0.026,<0>  ,"","","","",0.053,<0>  ,21.9,<0>  ,
"apaesnut  ","P",04/01/2013 14:30,0,1,2         ,1         ,"",0.0030,<-4> [SBL] ,0.013,<-4> [SBL] ,"","","","",0.025,<0>  ,22.57,<0>  ,
"apaesnut  ","P",04/01/2013 17:00,0,1,2         ,1         ,"",0.0060,<0>  ,0.015,<0>  ,"","","","",0.018,<0>  ,23.68,<0>  ,
