"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apanhnut  ","S",01/08/2004 11:10,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  ,0.025,<4>  C                   ,0.027,<4>  ,1.7,<4>  ,
"apanhnut  ","S",01/08/2004 11:12,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0030,<4>  ,0.029,<4>  C                   ,0.032,<4>  ,1.7,<4>  ,
"apanhnut  ","S",02/09/2004 12:15,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  ,0.154,<4>  C                   ,0.156,<4>  ,2.6,<4>  ,
"apanhnut  ","S",02/09/2004 12:18,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  ,0.151,<4>  C                   ,0.153,<4>  ,1.9,<4>  ,
"apanhnut  ","S",03/09/2004 10:54,1,1,1         ,1         ,"",0.0010,<4>  ,0.0040,<4>  B                   ,0.0020,<4>  ,0.179,<4>  C                   ,0.181,<4>  ,9.4,<4>  ,
"apanhnut  ","S",03/09/2004 10:57,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  ,0.181,<4>  C                   ,0.183,<4>  ,9.0,<4>  ,
"apanhnut  ","S",04/05/2004 10:01,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.02,<4>  ,4.7,<4>  ,
"apanhnut  ","S",04/05/2004 10:06,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.017,<4>  ,4.3,<4>  ,
"apanhnut  ","S",05/04/2004 9:45,1,1,1         ,1         ,"",0.0010,<4>  ,0.012,<4>  ,0.0020,<4>  ,0.075,<4>  C                   ,0.077,<4>  ,9.0,<4>  ,
"apanhnut  ","S",05/04/2004 9:50,1,1,1         ,2         ,"",0.0010,<4>  ,0.014,<4>  ,0.0020,<4>  ,0.07,<4>  C                   ,0.072,<4>  ,9.0,<4>  ,
"apanhnut  ","S",06/07/2004 9:30,1,1,1         ,1         ,"",0.0090,<4>  ,0.014,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.042,<4>  ,3.4,<4>  ,
"apanhnut  ","S",06/07/2004 9:35,1,1,1         ,2         ,"",0.0060,<4>  ,0.013,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.039,<4>  ,2.6,<4>  ,
"apanhnut  ","S",07/06/2004 9:20,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.01,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.075,<4>  ,5.1,<4>  ,
"apanhnut  ","S",07/06/2004 9:25,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0070,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.073,<4>  ,6.4,<4>  ,
"apanhnut  ","S",08/02/2004 12:17,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0090,<4>  ,11.5,<4>  ,
"apanhnut  ","S",08/02/2004 12:20,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  B                   ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  ,9.6,<4>  ,
"apanhnut  ","S",09/08/2004 13:35,1,1,1         ,1         ,"",0.0010,<4>  ,0.014,<4>  ,0.0060,<4>  ,0.047,<4>  C                   ,0.053,<4>  ,9.6,<4>  ,
"apanhnut  ","S",09/08/2004 13:37,1,1,1         ,2         ,"",0.0010,<4>  ,0.016,<4>  ,0.0060,<4>  ,0.063,<4>  C                   ,0.069,<4>  ,3.8,<4>  ,
"apanhnut  ","S",10/04/2004 10:20,1,1,1         ,1         ,"","",<4>  D                   ,0.026,<4>  ,0.0030,<4>  ,0.067,<4>  C                   ,0.07,<4>  ,3.8,<4>  ,
"apanhnut  ","S",10/04/2004 10:24,1,1,1         ,2         ,"","",<4>  D                   ,0.021,<4>  ,0.0020,<4>  ,0.066,<4>  C                   ,0.068,<4>  ,3.4,<4>  ,
"apanhnut  ","S",11/08/2004 10:30,1,1,1         ,1         ,"",0.0030,<4>  ,0.011,<4>  ,0.0090,<4>  ,0.157,<4>  C                   ,0.166,<4>  ,1.3,<4>  ,
"apanhnut  ","S",11/08/2004 10:33,1,1,1         ,2         ,"",0.0020,<4>  ,0.01,<4>  ,0.0090,<4>  ,0.157,<4>  C                   ,0.166,<4>  ,0.8,<4>  ,
"apanhnut  ","S",11/30/2004 12:20,1,1,1         ,1         ,"",0.0070,<4>  ,0.014,<4>  ,0.0020,<4>  ,0.013,<4>  C                   ,0.015,<4>  ,1.7,<4>  ,
"apanhnut  ","S",11/30/2004 12:23,1,1,1         ,2         ,"",0.0070,<4>  ,0.013,<4>  ,0.0030,<4>  ,0.013,<4>  C                   ,0.016,<4>  ,1.7,<4>  ,

