"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apapcnut  ","S",01/04/2006 10:00,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.019,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.068,<4>  ,2.99,<4>  ,
"apapcnut  ","S",01/04/2006 10:13,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.02,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.059,<4>  ,2.9,<4>  ,
"apapcnut  ","S",02/01/2006 12:05,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.022,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.224,<4>  ,3.63,<4>  ,
"apapcnut  ","S",02/01/2006 12:07,1,1,1         ,2         ,"",0.0010,<4>  ,0.022,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.214,<4>  ,3.8,<4>  ,
"apapcnut  ","S",03/01/2006 11:08,1,1,1         ,1         ,"",0.0010,<4>  ,0.02,<4>  ,0.0040,<4>  ,0.226,<4>  C                   ,0.23,<4>  ,5.64,<4>  ,
"apapcnut  ","S",03/01/2006 11:09,1,1,1         ,2         ,"",0.0010,<4>  ,0.021,<4>  ,0.0020,<4>  ,0.243,<4>  C                   ,0.245,<4>  ,5.3,<4>  ,
"apapcnut  ","S",04/04/2006 10:33,1,1,1         ,1         ,"",0.0010,<4>  ,0.071,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.017,<4>  ,4.7,<4>  ,
"apapcnut  ","S",04/04/2006 10:35,1,1,1         ,2         ,"",0.0010,<4>  ,0.072,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0090,<4>  ,4.66,<4>  ,
"apapcnut  ","S",05/03/2006 8:51,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",05/03/2006 8:53,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",06/07/2006 10:14,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",06/07/2006 10:17,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",07/05/2006 10:26,1,1,1         ,1         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",07/05/2006 10:28,1,1,1         ,2         ,"","",<4>  M                   ,"",<4>  M                   ,"",<4>  K                   ,"",<4>  C - K               ,"",<4>  M                   ,"",<4>  M                   ,
"apapcnut  ","S",08/08/2006 10:51,1,1,1         ,1         ,"",0.0020,<4>  ,0.0040,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,7.3,<4>  ,
"apapcnut  ","S",08/08/2006 10:53,1,1,1         ,2         ,"",0.0020,<4>  ,0.0040,<4>  B                   ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,10.51,<4>  ,
"apapcnut  ","S",09/06/2006 10:34,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.021,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,7.3,<4>  ,
"apapcnut  ","S",09/06/2006 10:36,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.011,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,4.44,<4>  ,
"apapcnut  ","S",10/03/2006 11:21,1,1,1         ,1         ,"",0.0020,<4>  ,0.0040,<4>  B                   ,"",<4>  K                   ,"",<4>  C - K               ,0.016,<4>  ,6.36,<4>  ,
"apapcnut  ","S",10/03/2006 11:23,1,1,1         ,2         ,"",0.0010,<4>  ,0.0040,<4>  B                   ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,6.41,<4>  ,
"apapcnut  ","S",11/01/2006 10:43,1,1,1         ,1         ,"",0.0010,<4>  ,0.0060,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,3.84,<4>  ,
"apapcnut  ","S",11/01/2006 10:47,1,1,1         ,2         ,"",0.0010,<4>  ,0.0070,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,3.6,<4>  ,
"apapcnut  ","S",11/29/2006 9:45,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,4.27,<4>  ,
"apapcnut  ","S",11/29/2006 9:48,1,1,1         ,2         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,"",<4>  K                   ,"",<4>  C - K               ,0.0070,<4>  B                   ,4.61,<4>  ,

