"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apascnut  ","S",01/04/2005 13:21,1,1,1         ,1         ,"",0.0050,<4>  ,0.019,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.014,<4>  ,0.64,<4>  ,
"apascnut  ","S",01/04/2005 13:24,1,1,1         ,2         ,"",0.0060,<4>  ,0.016,<4>  ,0.0030,<4>  ,0.01,<4>  C                   ,0.013,<4>  ,1.28,<4>  ,
"apascnut  ","S",02/07/2005 11:57,1,1,1         ,1         ,"",0.0020,<4>  ,0.01,<4>  ,0.0030,<4>  ,0.011,<4>  C                   ,0.014,<4>  ,3.42,<4>  ,
"apascnut  ","S",02/07/2005 11:59,1,1,1         ,2         ,"",0.0020,<4>  ,0.011,<4>  ,0.0030,<4>  ,0.0090,<4>  C                   ,0.012,<4>  ,1.71,<4>  ,
"apascnut  ","S",03/02/2005 13:23,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,0.0040,<4>  ,0.023,<4>  C                   ,0.027,<4>  ,0.9,<4>  ,
"apascnut  ","S",03/02/2005 13:25,1,1,1         ,2         ,"",0.0010,<4>  ,0.0090,<4>  ,0.0040,<4>  ,0.021,<4>  C                   ,0.025,<4>  ,1.02,<4>  ,
"apascnut  ","S",04/04/2005 12:25,1,1,1         ,1         ,"",0.0050,<4>  ,0.022,<4>  ,0.0040,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.7,<4>  ,
"apascnut  ","S",04/04/2005 12:27,1,1,1         ,2         ,"",0.0050,<4>  ,0.021,<4>  ,0.0040,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.02,<4>  ,
"apascnut  ","S",05/02/2005 11:40,1,1,1         ,1         ,"",0.0030,<4>  ,0.0040,<4>  B                   ,0.0020,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.51,<4>  ,
"apascnut  ","S",05/02/2005 11:42,1,1,1         ,2         ,"",0.0020,<4>  ,0.0040,<4>  B                   ,0.0020,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.6,<4>  ,
"apascnut  ","S",06/06/2005 10:40,1,1,1         ,1         ,"",0.0020,<4>  ,0.022,<4>  ,0.0020,<4>  ,0.04,<4>  C                   ,0.042,<4>  ,1.28,<4>  ,
"apascnut  ","S",06/06/2005 10:42,1,1,1         ,2         ,"",0.0030,<4>  ,0.021,<4>  ,0.0020,<4>  ,0.038,<4>  C                   ,0.04,<4>  ,0.85,<4>  ,
"apascnut  ","S",08/09/2005 10:20,1,1,1         ,1         ,"",0.0010,<4>  ,0.091,<4>  ,0.0030,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.71,<4>  ,
"apascnut  ","S",08/09/2005 10:23,1,1,1         ,2         ,"",0.0010,<4>  ,0.092,<4>  ,0.0030,<4>  ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.85,<4>  ,
"apascnut  ","S",11/08/2005 11:50,1,1,1         ,1         ,"",0.0010,<4>  ,0.036,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.85,<4>  ,
"apascnut  ","S",11/08/2005 11:52,1,1,1         ,2         ,"",0.0010,<4>  ,0.037,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,0.85,<4>  ,
"apascnut  ","S",11/30/2005 9:02,1,1,1         ,1         ,"",0.0010,<4>  B                   ,0.0040,<4>  ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.28,<4>  ,
"apascnut  ","S",11/30/2005 9:04,1,1,1         ,2         ,"",0.0010,<4>  ,0.0040,<4>  B                   ,0.0020,<4>  B                   ,"",<4>  B - C               ,0.0070,<4>  B                   ,1.71,<4>  ,

