"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmipnut  ","P",01/09/2013 7:45,0,1,2         ,1         ,"",0.0299,<0>  ,0.077,<0>  ,0.0061,<0>  ,0.1509,<0>  ,0.157,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/09/2013 10:15,0,1,2         ,1         ,"",0.0301,<0>  ,0.081,<0>  ,0.0090,<0>  ,0.139,<0>  ,0.148,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/09/2013 12:45,0,1,2         ,1         ,"",0.0308,<0>  ,0.078,<0>  ,0.0092,<0>  ,0.1378,<0>  ,0.147,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/09/2013 15:15,0,1,2         ,1         ,"",0.0339,<0>  ,0.078,<0>  ,0.0099,<0>  ,0.1301,<0>  ,0.14,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/09/2013 17:45,0,1,2         ,1         ,"",0.0364,<0>  ,0.099,<0>  ,0.0185,<0>  ,0.1935,<0>  ,0.212,<0>  ,0.8,<0>  ,
"cbmipnut  ","P",01/09/2013 20:15,0,1,2         ,1         ,"",0.0198,<0>  ,0.086,<0>  ,0.0141,<0>  ,0.2349,<0>  ,0.249,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/09/2013 22:45,0,1,2         ,1         ,"",0.0159,<0>  ,0.083,<0>  ,0.0082,<0>  ,0.2478,<0>  ,0.256,<0>  ,1.6,<0>  ,
"cbmipnut  ","P",01/10/2013 1:15,0,1,2         ,1         ,"",0.0156,<0>  ,0.082,<0>  ,0.0078,<0>  ,0.2502,<0>  ,0.258,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/10/2013 3:45,0,1,2         ,1         ,"",0.0254,<0>  ,0.09,<0>  ,0.0080,<0>  ,0.242,<0>  ,0.25,<0>  ,0.8,<0>  ,
"cbmipnut  ","P",01/10/2013 6:15,0,1,2         ,1         ,"",0.0308,<0>  ,0.086,<0>  ,0.0092,<0>  ,0.3098,<0>  ,0.319,<0>  ,0.8,<0>  ,
"cbmipnut  ","P",01/10/2013 8:45,0,1,2         ,1         ,"",0.0236,<0>  ,0.077,<0>  ,0.0087,<0>  ,0.3773,<0>  ,0.386,<0>  ,1.34,<0>  ,
"cbmipnut  ","P",01/10/2013 9:00,0,1,1         ,1         ,"",0.0266,<0>  ,0.088,<0>  ,0.0086,<0>  ,0.3664,<0>  ,0.375,<0>  ,1.28,<0>  ,
"cbmipnut  ","P",01/10/2013 9:01,0,1,1         ,2         ,"",0.0241,<0>  ,0.086,<0>  ,0.0079,<0>  ,0.3711,<0>  ,0.379,<0>  ,1.07,<0>  ,
"cbmipnut  ","P",02/13/2013 8:00,0,1,2         ,1         ,"",0.0134,<0>  ,0.086,<0>  ,0.0045,<0>  ,0.3705,<0>  ,0.375,<0>  ,3.2,<0>  ,
"cbmipnut  ","P",02/13/2013 10:30,0,1,2         ,1         ,"",0.0111,<0>  ,0.072,<0>  ,0.0038,<0>  ,0.3782,<0>  ,0.382,<0>  ,3.84,<0>  ,
"cbmipnut  ","P",02/13/2013 13:00,0,1,2         ,1         ,"",0.0144,<0>  ,0.071,<0>  ,0.0055,<0>  ,0.3165,<0>  ,0.322,<0>  ,3.92,<0>  ,
"cbmipnut  ","P",02/13/2013 15:30,0,1,2         ,1         ,"",0.0173,<0>  ,0.064,<0>  ,0.0051,<0>  ,0.3359,<0>  ,0.341,<0>  ,3.92,<0>  ,
"cbmipnut  ","P",02/13/2013 18:00,0,1,2         ,1         ,"",0.0163,<0>  ,0.064,<0>  ,0.0054,<0>  ,0.3246,<0>  ,0.33,<0>  ,3.56,<0>  ,
"cbmipnut  ","P",02/13/2013 20:30,0,1,2         ,1         ,"",0.0209,<0>  ,0.059,<0>  ,0.0052,<0>  ,0.3698,<0>  ,0.375,<0>  ,2.49,<0>  ,
"cbmipnut  ","P",02/13/2013 23:00,0,1,2         ,1         ,"",0.0126,<0>  ,0.055,<0>  ,0.0028,<0>  ,0.2722,<0>  ,0.275,<0>  ,3.2,<0>  ,
"cbmipnut  ","P",02/14/2013 1:30,0,1,2         ,1         ,"",0.0115,<0>  ,0.052,<0>  ,0.0034,<0>  ,0.2696,<0>  ,0.273,<0>  ,3.2,<0>  ,
"cbmipnut  ","P",02/14/2013 4:00,0,1,2         ,1         ,"",0.0129,<0>  ,0.064,<0>  ,0.0044,<0>  ,0.3206,<0>  ,0.325,<0>  ,2.85,<0>  ,
"cbmipnut  ","P",02/14/2013 6:30,0,1,2         ,1         ,"",0.0114,<0>  ,0.055,<0>  ,0.0050,<0>  ,0.329,<0>  ,0.334,<0>  ,3.2,<0>  ,
"cbmipnut  ","P",02/14/2013 9:00,0,1,2         ,1         ,"",0.0117,<0>  ,0.048,<0>  ,0.0045,<0>  ,0.3365,<0>  ,0.341,<0>  ,3.56,<0>  ,
"cbmipnut  ","P",02/14/2013 11:15,0,1,1         ,1         ,"",0.0059,<0>  ,0.052,<0>  ,0.0041,<0>  ,0.2689,<0>  ,0.273,<0>  ,4.06,<0>  ,
"cbmipnut  ","P",02/14/2013 11:16,0,1,1         ,2         ,"",0.0072,<0>  ,0.051,<0>  ,0.0040,<0>  ,0.269,<0>  ,0.273,<0>  ,3.84,<0>  ,
"cbmipnut  ","P",03/13/2013 11:45,0,1,1         ,1         ,"",0.0209,<0>  ,0.041,<0>  ,0.0044,<0>  ,0.2096,<0>  ,0.214,<0>  ,8.54,<0>  ,
"cbmipnut  ","P",03/13/2013 11:46,0,1,1         ,2         ,"",0.02,<0>  ,0.042,<0>  ,0.0047,<0>  ,0.2153,<0>  ,0.22,<0>  ,8.54,<0>  ,
"cbmipnut  ","P",03/21/2013 8:00,0,1,2         ,1         ,"",0.046,<0>  ,0.046,<0>  ,0.0051,<0>  ,0.1599,<0>  ,0.165,<0>  ,2.56,<0>  ,
"cbmipnut  ","P",03/21/2013 10:30,0,1,2         ,1         ,"",0.0356,<0>  ,0.047,<0>  ,0.0046,<0>  ,0.1594,<0>  ,0.164,<0>  ,2.49,<0>  ,
"cbmipnut  ","P",03/21/2013 13:00,0,1,2         ,1         ,"",0.039,<0>  ,0.042,<0>  ,0.0045,<0>  ,0.1565,<0>  ,0.161,<0>  ,3.2,<0>  ,
"cbmipnut  ","P",03/21/2013 15:30,0,1,2         ,1         ,"",0.0357,<0>  ,0.035,<0>  ,0.0057,<0>  ,0.1473,<0>  ,0.153,<0>  ,3.2,<0>  ,
