"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"cbmocnut  ","P",01/04/2005 10:00,1,1,1         ,1         ,"","",<4>  M                   ,0.495,<4>  ,0.033,<4>  ,2.017,<4>  C                   ,2.05,<4>  ,6.73,<4>  ,
"cbmocnut  ","P",01/19/2005 10:30,1,1,1         ,1         ,"","",<4>  M                   ,0.131,<4>  ,0.014,<4>  ,1.446,<4>  C                   ,1.46,<4>  ,"",<4>  M                   ,
"cbmocnut  ","P",01/19/2005 10:30,1,1,1         ,2         ,"","",<4>  M                   ,0.131,<4>  ,0.013,<4>  ,1.457,<4>  C                   ,1.47,<4>  ,"",<4>  M                   ,
"cbmocnut  ","P",02/24/2005 10:30,1,1,1         ,1         ,"",0.0030,<4>  ,0.061,<4>  ,0.012,<4>  ,"",<4>  C - M               ,"",<4>  M                   ,5.98,<4>  ,
"cbmocnut  ","P",02/24/2005 10:30,1,1,1         ,2         ,"",0.0020,<4>  ,0.054,<4>  ,0.011,<4>  ,"",<4>  C - M               ,"",<4>  M                   ,4.49,<4>  ,
"cbmocnut  ","P",03/08/2005 10:00,1,1,1         ,1         ,"",0.0030,<4>  ,0.14,<4>  ,0.015,<4>  ,2.185,<4>  C                   ,2.2,<4>  ,13.46,<4>  ,
"cbmocnut  ","P",03/24/2005 8:00,1,1,1         ,1         ,"",0.01,<4>  ,0.171,<4>  ,0.01,<4>  ,1.01,<4>  C                   ,1.02,<4>  ,"",<4>  M - K               ,
"cbmocnut  ","P",03/24/2005 8:00,1,1,1         ,2         ,"",0.0090,<4>  ,0.213,<4>  ,0.025,<4>  ,0.975,<4>  C                   ,1.0,<4>  ,5.98,<4>  ,
"cbmocnut  ","P",04/05/2005 11:30,1,1,1         ,1         ,"",0.0050,<4>  ,0.073,<4>  ,0.0090,<4>  ,0.783,<4>  C                   ,0.792,<4>  ,"",<4>  M - K               ,
"cbmocnut  ","P",04/19/2005 9:30,1,1,1         ,1         ,"",0.0030,<4>  ,0.0080,<4>  ,0.014,<4>  ,1.716,<4>  C                   ,1.73,<4>  ,16.45,<4>  ,
"cbmocnut  ","P",04/19/2005 9:30,1,1,1         ,2         ,"",0.035,<4>  ,0.0040,<4>  ,0.014,<4>  ,1.656,<4>  C                   ,1.67,<4>  ,16.45,<4>  ,
"cbmocnut  ","P",05/03/2005 9:15,1,1,1         ,1         ,"",0.0040,<4>  ,0.064,<4>  ,0.017,<4>  ,1.383,<4>  C                   ,1.4,<4>  ,13.08,<4>  ,
"cbmocnut  ","P",05/17/2005 9:45,1,1,1         ,1         ,"",0.0040,<4>  ,0.022,<4>  ,0.02,<4>  ,0.914,<4>  C                   ,0.934,<4>  ,14.45,<4>  ,
"cbmocnut  ","P",05/31/2005 6:45,1,1,1         ,1         ,"",0.0080,<4>  ,0.069,<4>  ,0.021,<4>  ,0.963,<4>  C                   ,0.984,<4>  ,17.94,<4>  ,
"cbmocnut  ","P",05/31/2005 6:45,1,1,1         ,2         ,"",0.0050,<4>  ,0.057,<4>  ,0.021,<4>  ,0.979,<4>  C                   ,1.0,<4>  ,17.19,<4>  ,
"cbmocnut  ","P",06/14/2005 7:30,1,1,1         ,1         ,"",0.0040,<4>  ,0.336,<4>  ,0.053,<4>  ,0.693,<4>  C                   ,0.746,<4>  ,21.68,<4>  ,
"cbmocnut  ","P",06/28/2005 7:45,1,1,1         ,1         ,"",0.01,<4>  ,0.117,<4>  ,0.028,<4>  ,0.393,<4>  C                   ,0.421,<4>  ,20.93,<4>  ,
"cbmocnut  ","P",06/28/2005 7:45,1,1,1         ,2         ,"",0.0090,<4>  ,0.117,<4>  ,0.029,<4>  ,0.411,<4>  C                   ,0.44,<4>  ,19.44,<4>  ,
"cbmocnut  ","P",07/12/2005 12:45,1,1,1         ,1         ,"",0.0090,<4>  ,0.052,<4>  ,0.021,<4>  ,0.336,<4>  C                   ,0.357,<4>  ,39.62,<4>  ,
"cbmocnut  ","P",07/26/2005 7:00,1,1,1         ,1         ,"",0.0060,<4>  ,0.029,<4>  ,0.0020,<4>  ,0.01,<4>  C                   ,0.012,<4>  ,30.28,<4>  ,
"cbmocnut  ","P",08/09/2005 12:30,1,1,1         ,1         ,"",0.0030,<4>  ,0.087,<4>  ,0.0040,<4>  ,0.028,<4>  C                   ,0.032,<4>  ,52.33,<4>  ,
"cbmocnut  ","P",08/23/2005 14:00,1,1,1         ,1         ,"",0.0020,<4>  ,0.0080,<4>  ,0.0030,<4>  ,0.015,<4>  C                   ,0.018,<4>  ,53.08,<4>  ,
"cbmocnut  ","P",08/23/2005 14:00,1,1,1         ,2         ,"",0.0020,<4>  ,0.0030,<4>  ,2.0E-4,<4>  B                   ,"",<4>  C - B               ,0.0040,<4>  ,45.6,<4>  ,
"cbmocnut  ","P",09/06/2005 11:45,1,1,1         ,1         ,"",0.0040,<4>  ,0.0080,<4>  ,2.0E-4,<4>  B                   ,"",<4>  C - B               ,0.01,<4>  ,67.28,<4>  ,
"cbmocnut  ","P",09/20/2005 13:15,1,1,1         ,1         ,"",0.0040,<4>  ,0.012,<4>  ,0.0010,<4>  ,0.016,<4>  C                   ,0.017,<4>  ,87.47,<4>  ,
"cbmocnut  ","P",09/20/2005 13:15,1,1,1         ,2         ,"",0.0030,<4>  ,0.0080,<4>  ,2.0E-4,<4>  B                   ,"",<4>  C - B               ,0.01,<4>  ,93.45,<4>  ,
"cbmocnut  ","P",10/04/2005 12:30,1,1,1         ,1         ,"",0.0060,<4>  ,0.062,<4>  ,0.011,<4>  ,0.099,<4>  C                   ,0.11,<4>  ,83.73,<4>  ,
"cbmocnut  ","P",10/18/2005 12:45,1,1,1         ,1         ,"",0.0030,<4>  ,0.062,<4>  ,0.054,<4>  ,0.816,<4>  C                   ,0.87,<4>  ,38.88,<4>  ,
