"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbmocwq   ","P",04/09/2014 12:45,0,1,"{CSM}",14.4,<0> (CND),0.43,<0> (CND),0.2,<0> (CND),115.4,<0> (CND),11.8,<0> (CND),0.50,<0> (CND),0.54,<3> ,"",<-1> ,"","",7.8,<0> (CND),38,<0> (CND),24.9,<0> (CND),
"cbmocwq   ","P",04/09/2014 13:00,0,1,"{CSM}",14.7,<0> ,0.42,<0> ,0.2,<0> ,115.9,<0> ,11.7,<0> ,0.52,<0> ,0.56,<3> ,"",<-1> ,"","",7.9,<0> ,40,<0> ,24.2,<0> ,
"cbmocwq   ","P",04/09/2014 13:15,0,1,"{CSM}",14.7,<0> ,0.42,<0> ,0.2,<0> ,116.7,<0> ,11.8,<0> ,0.54,<0> ,0.58,<3> ,"",<-1> ,"","",8.1,<0> ,40,<0> ,24.5,<0> ,
"cbmocwq   ","P",04/09/2014 13:30,0,1,"{CSM}",14.8,<0> ,0.39,<0> ,0.2,<0> ,117.5,<0> ,11.9,<0> ,0.55,<0> ,0.59,<3> ,"",<-1> ,"","",8.2,<0> ,36,<0> ,24.0,<0> ,
"cbmocwq   ","P",04/09/2014 13:45,0,1,"{CSM}",14.9,<0> ,0.37,<0> ,0.2,<0> ,116.6,<0> ,11.8,<0> ,0.56,<0> ,0.60,<3> ,"",<-1> ,"","",8.2,<0> ,39,<0> ,22.6,<0> ,
"cbmocwq   ","P",04/09/2014 14:00,0,1,"{CSM}",14.9,<0> ,0.37,<0> ,0.2,<0> ,115.6,<0> ,11.7,<0> ,0.56,<0> ,0.60,<3> ,"",<-1> ,"","",8.1,<0> ,34,<0> ,23.2,<0> ,
"cbmocwq   ","P",04/09/2014 14:15,0,1,"{CSM}",15.0,<0> ,0.36,<0> ,0.2,<0> ,116.4,<0> ,11.7,<0> ,0.56,<0> ,0.60,<3> ,"",<-1> ,"","",8.2,<0> ,39,<0> ,20.8,<0> ,
"cbmocwq   ","P",04/09/2014 14:30,0,1,"{CSM}",15.0,<0> ,0.36,<0> ,0.2,<0> ,117.3,<0> ,11.8,<0> ,0.58,<0> ,0.62,<3> ,"",<-1> ,"","",8.3,<0> ,35,<0> ,20.9,<0> ,
"cbmocwq   ","P",04/09/2014 14:45,0,1,"{CSM}",15.0,<0> ,0.36,<0> ,0.2,<0> ,117.1,<0> ,11.8,<0> ,0.60,<0> ,0.64,<3> ,"",<-1> ,"","",8.3,<0> ,33,<0> ,20.1,<0> ,
"cbmocwq   ","P",04/09/2014 15:00,0,1,"{CSM}",14.9,<0> ,0.36,<0> ,0.2,<0> ,114.5,<0> ,11.6,<0> ,0.61,<0> ,0.65,<3> ,"",<-1> ,"","",8.1,<0> ,31,<0> ,18.1,<0> ,
