"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbmprwq   ","P",06/10/1998 18:30,1,0,"",19.4,<4> ,0.25,<4> ,0.1,<4> ,121.8,<4> ,11.2,<4> ,2.77,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 19:00,1,0,"",19.4,<4> ,0.25,<4> ,0.1,<4> ,123.3,<4> ,11.3,<4> ,2.73,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 19:30,1,0,"",19.3,<4> ,0.25,<4> ,0.1,<4> ,125.8,<4> ,11.6,<4> ,2.67,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 20:00,1,0,"",19.2,<4> ,0.25,<4> ,0.1,<4> ,128.4,<4> ,11.8,<4> ,2.62,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 20:30,1,0,"",19.1,<4> ,0.25,<4> ,0.1,<4> ,130.1,<4> ,12.0,<4> ,2.56,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 21:00,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,133.0,<4> ,12.3,<4> ,2.49,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 21:30,1,0,"",18.7,<4> ,0.26,<4> ,0.1,<4> ,133.7,<4> ,12.5,<4> ,2.42,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 22:00,1,0,"",18.4,<4> ,0.26,<4> ,0.1,<4> ,133.8,<4> ,12.5,<4> ,2.34,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 22:30,1,0,"",18.3,<4> ,0.27,<4> ,0.1,<4> ,133.0,<4> ,12.5,<4> ,2.27,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 23:00,1,0,"",18.1,<4> ,0.27,<4> ,0.1,<4> ,133.0,<4> ,12.6,<4> ,2.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/10/1998 23:30,1,0,"",18.0,<4> ,0.27,<4> ,0.1,<4> ,134.7,<4> ,12.8,<4> ,2.15,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 0:00,1,0,"",17.8,<4> ,0.27,<4> ,0.1,<4> ,136.8,<4> ,13.0,<4> ,2.12,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 0:30,1,0,"",17.8,<4> ,0.27,<4> ,0.1,<4> ,138.8,<4> ,13.2,<4> ,2.13,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 1:00,1,0,"",17.8,<4> ,0.26,<4> ,0.1,<4> ,141.9,<4> ,13.5,<4> ,2.20,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 1:30,1,0,"",17.9,<4> ,0.26,<4> ,0.1,<4> ,144.9,<4> ,13.7,<4> ,2.30,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 2:00,1,0,"",18.0,<4> ,0.27,<4> ,0.1,<4> ,147.0,<4> ,13.9,<4> ,2.42,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 2:30,1,0,"",18.1,<4> ,0.26,<4> ,0.1,<4> ,149.8,<4> ,14.1,<4> ,2.52,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 3:00,1,0,"",18.2,<4> ,0.26,<4> ,0.1,<4> ,152.9,<4> ,14.4,<4> ,2.60,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 3:30,1,0,"",18.3,<4> ,0.26,<4> ,0.1,<4> ,156.4,<4> ,14.7,<4> ,2.67,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 4:00,1,0,"",18.5,<4> ,0.26,<4> ,0.1,<4> ,160.6,<4> ,15.0,<4> ,2.71,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 4:30,1,0,"",18.5,<4> ,0.25,<4> ,0.1,<4> ,160.0,<4> ,15.0,<4> ,2.75,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 5:00,1,0,"",18.7,<4> ,0.25,<4> ,0.1,<4> ,166.3,<4> ,15.5,<4> ,2.79,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 5:30,1,0,"",18.7,<4> ,0.25,<4> ,0.1,<4> ,165.2,<4> ,15.4,<4> ,2.82,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 6:00,1,0,"",18.8,<4> ,0.25,<4> ,0.1,<4> ,169.7,<4> ,15.8,<4> ,2.84,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 6:30,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,172.5,<4> ,16.0,<4> ,2.84,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 7:00,1,0,"",19.1,<4> ,0.25,<4> ,0.1,<4> ,175.4,<4> ,16.2,<4> ,2.81,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 7:30,1,0,"",19.0,<4> ,0.25,<4> ,0.1,<4> ,180.3,<4> ,16.7,<4> ,2.77,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 8:00,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,183.0,<4> ,17.0,<4> ,2.72,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 8:30,1,0,"",18.8,<4> ,0.25,<4> ,0.1,<4> ,186.6,<4> ,17.4,<4> ,2.66,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 9:00,1,0,"",18.6,<4> ,0.25,<4> ,0.1,<4> ,188.4,<4> ,17.6,<4> ,2.60,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 9:30,1,0,"",18.4,<4> ,0.25,<4> ,0.1,<4> ,188.6,<4> ,17.7,<4> ,2.54,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 10:00,1,0,"",18.2,<4> ,0.26,<4> ,0.1,<4> ,188.8,<4> ,17.8,<4> ,2.46,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 10:30,1,0,"",18.1,<4> ,0.26,<4> ,0.1,<4> ,188.2,<4> ,17.8,<4> ,2.40,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 11:00,1,0,"",17.9,<4> ,0.27,<4> ,0.1,<4> ,185.9,<4> ,17.6,<4> ,2.33,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 11:30,1,0,"",17.7,<4> ,0.27,<4> ,0.1,<4> ,185.2,<4> ,17.6,<4> ,2.27,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 12:00,1,0,"",17.6,<4> ,0.26,<4> ,0.1,<4> ,185.0,<4> ,17.6,<4> ,2.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 12:30,1,0,"",17.5,<4> ,0.26,<4> ,0.1,<4> ,185.7,<4> ,17.7,<4> ,2.16,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 13:00,1,0,"",17.5,<4> ,0.26,<4> ,0.1,<4> ,185.9,<4> ,17.8,<4> ,2.11,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 13:30,1,0,"",17.4,<4> ,0.26,<4> ,0.1,<4> ,186.6,<4> ,17.9,<4> ,2.11,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 14:00,1,0,"",17.4,<4> ,0.26,<4> ,0.1,<4> ,187.0,<4> ,17.9,<4> ,2.16,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 14:30,1,0,"",17.6,<4> ,0.26,<4> ,0.1,<4> ,186.3,<4> ,17.8,<4> ,2.26,<4> ,"","","",<-1> ,"","",7.6,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 15:00,1,0,"",18.0,<4> ,0.26,<4> ,0.1,<4> ,192.4,<4> ,18.2,<4> ,2.37,<4> ,"","","",<-1> ,"","",7.7,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 15:30,1,0,"",18.3,<4> ,0.26,<4> ,0.1,<4> ,198.3,<4> ,18.7,<4> ,2.47,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 16:00,1,0,"",18.6,<4> ,0.26,<4> ,0.1,<4> ,206.0,<4> ,19.3,<4> ,2.55,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 16:30,1,0,"",18.8,<4> ,0.26,<4> ,0.1,<4> ,217.4,<4> ,20.2,<4> ,2.62,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 17:00,1,0,"",18.8,<4> ,0.26,<4> ,0.1,<4> ,214.2,<4> ,19.9,<4> ,2.66,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 17:30,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,218.6,<4> ,20.3,<4> ,2.68,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 18:00,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,224.6,<4> ,20.9,<4> ,2.70,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 18:30,1,0,"",19.0,<4> ,0.25,<4> ,0.1,<4> ,225.0,<4> ,20.9,<4> ,2.70,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 19:00,1,0,"",18.8,<4> ,0.25,<4> ,0.1,<4> ,223.0,<4> ,20.7,<4> ,2.69,<4> ,"","","",<-1> ,"","",7.8,<4> ,"",<4> ,"",<-1> ,
"cbmprwq   ","P",06/11/1998 19:30,1,0,"",18.9,<4> ,0.25,<4> ,0.1,<4> ,226.2,<4> ,21.0,<4> ,2.64,<4> ,"","","",<-1> ,"","",7.9,<4> ,"",<4> ,"",<-1> ,
