"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbvcbwq   ","P",01/01/2015 0:00,0,1,"{CSM} {CWE}",6.6,<0> ,29.82,<0> ,18.3,<0> ,103.6,<0> ,11.3,<0> ,0.58,<0> ,0.47,<3> ,"",<-1> ,"","",8.1,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 0:15,0,1,"{CSM} {CWE}",6.4,<0> ,29.61,<0> ,18.1,<0> ,104.1,<0> ,11.4,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",8.1,<0> ,17,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 0:30,0,1,"{CSM} {CWE}",6.7,<0> ,29.32,<0> ,18.0,<0> ,103.2,<0> ,11.2,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",8.1,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 0:45,0,1,"{CSM} {CWE}",6.6,<0> ,29.25,<0> ,17.9,<0> ,102.9,<0> ,11.2,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",8.1,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 1:00,0,1,"{CSM} {CWE}",6.5,<0> ,29.16,<0> ,17.8,<0> ,102.7,<0> ,11.2,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",8.1,<0> ,16,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 1:15,0,1,"{CSM} {CWE}",6.6,<0> ,28.85,<0> ,17.6,<0> ,102.5,<0> ,11.2,<0> ,0.57,<0> ,0.46,<3> ,"",<-1> ,"","",8.1,<0> ,15,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 1:30,0,1,"{CSM} {CWE}",6.5,<0> ,28.96,<0> ,17.7,<0> ,102.0,<0> ,11.2,<0> ,0.59,<0> ,0.48,<3> ,"",<-1> ,"","",8.1,<0> ,15,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 1:45,0,1,"{CSM} {CWE}",6.6,<0> ,28.73,<0> ,17.6,<0> ,101.4,<0> ,11.1,<0> ,0.62,<0> ,0.51,<3> ,"",<-1> ,"","",8.1,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 2:00,0,1,"{CSM} {CWE}",6.6,<0> ,28.62,<0> ,17.5,<0> ,101.0,<0> ,11.1,<0> ,0.65,<0> ,0.54,<3> ,"",<-1> ,"","",8.0,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 2:15,0,1,"{CSM} {CWE}",6.5,<0> ,28.65,<0> ,17.5,<0> ,100.7,<0> ,11.0,<0> ,0.68,<0> ,0.57,<3> ,"",<-1> ,"","",8.0,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 2:30,0,1,"{CSM} {CWE}",6.4,<0> ,28.70,<0> ,17.5,<0> ,100.4,<0> ,11.0,<0> ,0.72,<0> ,0.61,<3> ,"",<-1> ,"","",8.0,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 2:45,0,1,"{CSM} {CWE}",6.2,<0> ,28.85,<0> ,17.6,<0> ,100.4,<0> ,11.1,<0> ,0.75,<0> ,0.64,<3> ,"",<-1> ,"","",8.1,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 3:00,0,1,"{CSM} {CWE}",5.8,<0> ,29.17,<0> ,17.8,<0> ,100.6,<0> ,11.2,<0> ,0.78,<0> ,0.67,<3> ,"",<-1> ,"","",8.1,<0> ,16,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 3:15,0,1,"{CSM} {CWE}",6.5,<0> ,28.39,<0> ,17.3,<0> ,99.7,<0> ,10.9,<0> ,0.83,<0> ,0.73,<3> ,"",<-1> ,"","",8.0,<0> ,12,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 3:30,0,1,"{CSM} {CWE}",6.4,<0> ,28.39,<0> ,17.3,<0> ,99.4,<0> ,10.9,<0> ,0.88,<0> ,0.78,<3> ,"",<-1> ,"","",8.0,<0> ,14,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 3:45,0,1,"{CSM} {CWE}",6.2,<0> ,29.09,<0> ,17.8,<0> ,101.8,<0> ,11.2,<0> ,0.92,<0> ,0.82,<3> ,"",<-1> ,"","",8.1,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 4:00,0,1,"{CSM} {CWE}",6.3,<0> ,29.49,<0> ,18.0,<0> ,102.7,<0> ,11.3,<0> ,0.97,<0> ,0.87,<3> ,"",<-1> ,"","",8.1,<0> ,11,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 4:15,0,1,"{CSM} {CWE}",6.3,<0> ,29.87,<0> ,18.3,<0> ,100.5,<0> ,11.0,<0> ,1.02,<0> ,0.92,<3> ,"",<-1> ,"","",8.1,<0> ,11,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 4:30,0,1,"{CSM} {CWE}",6.5,<0> ,28.93,<0> ,17.7,<0> ,100.4,<0> ,11.0,<0> ,1.07,<0> ,0.97,<3> ,"",<-1> ,"","",8.0,<0> ,11,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 4:45,0,1,"{CSM} {CWE}",6.9,<0> ,29.30,<0> ,18.0,<0> ,100.3,<0> ,10.9,<0> ,1.13,<0> ,1.03,<3> ,"",<-1> ,"","",8.0,<0> ,19,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 5:00,0,1,"{CSM} {CWE}",6.6,<0> ,28.90,<0> ,17.7,<0> ,100.1,<0> ,10.9,<0> ,1.18,<0> ,1.08,<3> ,"",<-1> ,"","",8.0,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 5:15,0,1,"{CSM} {CWE}",6.8,<0> ,29.07,<0> ,17.8,<0> ,100.0,<0> ,10.9,<0> ,1.22,<0> ,1.12,<3> ,"",<-1> ,"","",8.0,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 5:30,0,1,"{CSM} {CWE}",6.8,<0> ,29.05,<0> ,17.8,<0> ,99.5,<0> ,10.8,<0> ,1.25,<0> ,1.15,<3> ,"",<-1> ,"","",8.0,<0> ,13,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 5:45,0,1,"{CSM} {CWE}",6.4,<0> ,28.72,<0> ,17.5,<0> ,99.4,<0> ,10.9,<0> ,1.28,<0> ,1.18,<3> ,"",<-1> ,"","",8.0,<0> ,11,<0> ,"",<-1> ,
"cbvcbwq   ","P",01/01/2015 6:00,0,1,"{CSM} {CWE}",6.4,<0> ,28.70,<0> ,17.5,<0> ,99.3,<0> ,10.9,<0> ,1.31,<0> ,1.21,<3> ,"",<-1> ,"","",8.0,<0> ,10,<0> ,"",<-1> ,
