"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"cbvshwq   ","P",01/01/2015 0:00,0,1,"",6.4,<0> ,3.02,<0> ,1.6,<0> ,82.0,<-3> [SPC],10.0,<-3> [SPC],0.63,<0> ,0.52,<3> ,"",<-1> ,"","",7.2,<0> ,44,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 0:15,0,1,"",6.3,<0> ,2.86,<0> ,1.5,<0> ,81.8,<-3> [SPC],10.0,<-3> [SPC],0.59,<0> ,0.48,<3> ,"",<-1> ,"","",7.1,<0> ,41,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 0:30,0,1,"",6.3,<0> ,2.81,<0> ,1.5,<0> ,81.9,<-3> [SPC],10.0,<-3> [SPC],0.56,<0> ,0.45,<3> ,"",<-1> ,"","",7.1,<0> ,46,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 0:45,0,1,"",6.2,<0> ,2.69,<0> ,1.4,<0> ,81.4,<-3> [SPC],10.0,<-3> [SPC],0.52,<0> ,0.41,<3> ,"",<-1> ,"","",7.1,<0> ,42,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 1:00,0,1,"",6.2,<0> ,2.54,<0> ,1.3,<0> ,81.4,<-3> [SPC],10.0,<-3> [SPC],0.49,<0> ,0.38,<3> ,"",<-1> ,"","",7.1,<0> ,49,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 1:15,0,1,"",6.2,<0> ,2.51,<0> ,1.3,<0> ,81.5,<-3> [SPC],10.0,<-3> [SPC],0.46,<0> ,0.35,<3> ,"",<-1> ,"","",7.1,<0> ,46,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 1:30,0,1,"",6.0,<0> ,2.48,<0> ,1.3,<0> ,80.9,<-3> [SPC],10.0,<-3> [SPC],0.43,<0> ,0.32,<3> ,"",<-1> ,"","",7.1,<0> ,44,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 1:45,0,1,"",6.1,<0> ,2.49,<0> ,1.3,<0> ,81.3,<-3> [SPC],10.0,<-3> [SPC],0.40,<0> ,0.29,<3> ,"",<-1> ,"","",7.1,<0> ,44,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 2:00,0,1,"",6.0,<0> ,2.39,<0> ,1.2,<0> ,81.5,<-3> [SPC],10.1,<-3> [SPC],0.37,<0> ,0.26,<3> ,"",<-1> ,"","",7.1,<0> ,53,<0> ,"",<-1> ,
"cbvshwq   ","P",01/01/2015 2:15,0,1,"",6.1,<0> ,2.36,<0> ,1.2,<0> ,81.6,<-3> [SPC],10.0,<-3> [SPC],0.34,<0> ,0.23,<3> ,"",<-1> ,"","",7.1,<0> ,49,<0> ,"",<-1> ,
