"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"delblnut  ","P",01/07/2002 10:04,1,1,1         ,1         ,"",0.0192,<4>  P                   ,0.2981,<4>  P                   ,0.0096,<4>  P                   ,0.5908,<4>  C - P               ,0.6004,<4>  P                   ,11.24,<4>  P                   ,
"delblnut  ","P",01/07/2002 10:07,1,1,1         ,2         ,"",0.0197,<4>  P                   ,0.2762,<4>  P                   ,0.0095,<4>  P                   ,0.534,<4>  C - P               ,0.5435,<4>  P                   ,11.33,<4>  P                   ,
"delblnut  ","P",02/04/2002 12:23,1,1,1         ,1         ,"",0.0051,<4>  ,0.0090,<4>  ,0.0017,<4>  ,0.115,<4>  C                   ,0.1167,<4>  ,18.58,<4>  ,
"delblnut  ","P",02/04/2002 12:26,1,1,1         ,2         ,"",0.0048,<4>  ,0.0057,<4>  ,0.0068,<4>  ,0.3634,<4>  C                   ,0.3702,<4>  ,26.08,<4>  ,
"delblnut  ","P",03/07/2002 12:37,1,1,1         ,1         ,"",0.0195,<4>  ,0.3642,<4>  ,0.0154,<4>  ,0.708,<4>  C                   ,0.7234,<4>  ,9.84,<4>  ,
"delblnut  ","P",03/07/2002 12:43,1,1,1         ,2         ,"",0.0199,<4>  ,0.3666,<4>  ,0.0156,<4>  ,0.7121,<4>  C                   ,0.7277,<4>  ,9.84,<4>  ,
"delblnut  ","P",04/05/2002 10:38,1,1,1         ,1         ,"",0.0174,<4>  ,0.3198,<4>  ,0.0197,<4>  ,0.3787,<4>  C                   ,0.3984,<4>  ,23.77,<4>  ,
"delblnut  ","P",04/05/2002 10:41,1,1,1         ,2         ,"",0.0193,<4>  ,0.3146,<4>  ,0.0203,<4>  ,0.3795,<4>  C                   ,0.3998,<4>  ,15.94,<4>  ,
"delblnut  ","P",05/06/2002 12:20,1,1,1         ,1         ,"",0.017,<4>  ,0.0125,<4>  ,0.0022,<4>  ,0.0197,<4>  C                   ,0.0219,<4>  ,19.03,<4>  ,
"delblnut  ","P",05/06/2002 12:22,1,1,1         ,2         ,"",0.0132,<4>  ,0.0119,<4>  ,0.0081,<4>  ,0.0254,<4>  C                   ,0.0335,<4>  ,10.25,<4>  ,
"delblnut  ","P",06/04/2002 12:12,1,1,1         ,1         ,"",0.0453,<4>  ,0.0133,<4>  ,0.0212,<4>  ,0.0871,<4>  C                   ,0.1083,<4>  ,38.49,<4>  ,
"delblnut  ","P",06/04/2002 12:18,1,1,1         ,2         ,"",0.0321,<4>  ,0.0093,<4>  ,0.0177,<4>  ,0.0666,<4>  C                   ,0.0843,<4>  ,33.21,<4>  ,
"delblnut  ","P",07/02/2002 10:55,1,1,1         ,1         ,"",0.0224,<4>  ,0.0117,<4>  ,0.0010,<4>  ,0.0114,<4>  C                   ,0.0124,<4>  ,36.97,<4>  ,
"delblnut  ","P",07/02/2002 10:58,1,1,1         ,2         ,"",0.0329,<4>  ,0.0108,<4>  ,0.0012,<4>  ,0.0101,<4>  C                   ,0.0113,<4>  ,48.86,<4>  ,
"delblnut  ","P",09/24/2002 0:00,1,1,1         ,2         ,"",0.0262,<4>  ,0.107,<4>  ,0.0019,<4>  ,0.0195,<4>  C                   ,0.0214,<4>  ,13.85,<4>  ,
"delblnut  ","P",09/24/2002 8:12,1,1,1         ,1         ,"",0.0279,<4>  ,0.0941,<4>  ,0.0024,<4>  ,0.024,<4>  C                   ,0.0264,<4>  ,15.03,<4>  ,
"delblnut  ","P",10/29/2002 10:50,1,1,1         ,1         ,"",0.0301,<4>  ,0.4098,<4>  ,0.0215,<4>  ,0.6735,<4>  C                   ,0.695,<4>  ,1.78,<4>  ,
"delblnut  ","P",10/29/2002 10:55,1,1,1         ,2         ,"",0.0313,<4>  ,0.3799,<4>  ,0.0213,<4>  ,0.6905,<4>  C                   ,0.7118,<4>  ,4.41,<4>  ,
"delblnut  ","P",11/26/2002 10:20,1,1,1         ,1         ,"",0.0214,<4>  K - H               ,0.132,<4>  K - H               ,0.0090,<4>  K - H               ,1.3961,<4>  C - K - H           ,1.4051,<4>  K - H               ,0.6,<4>  K                   ,
"delblnut  ","P",11/26/2002 10:23,1,1,1         ,2         ,"",0.0205,<4>  K - H               ,0.1247,<4>  K - H               ,0.0085,<4>  K - H               ,1.434,<4>  C - K - H           ,1.4425,<4>  K - H               ,0.6,<4>  K                   ,
"delblnut  ","P",12/10/2002 10:13,1,1,1         ,1         ,"",0.0216,<4>  K - H               ,0.1619,<4>  ,0.0067,<4>  K - H               ,1.5667,<4>  C - K - H           ,1.5734,<4>  K - H               ,0.5,<4>  B - K               ,
"delblnut  ","P",12/10/2002 10:18,1,1,1         ,2         ,"",0.0246,<4>  K - H               ,0.1672,<4>  ,0.0069,<4>  K - H               ,1.5435,<4>  C - K - H           ,1.5504,<4>  K - H               ,0.51,<4>  K                   ,

