"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"delllwq   ","P",01/01/2015 0:00,0,1,"",3.6,<0> ,0.54,<0> ,0.3,<0> ,79.4,<0> ,10.5,<0> ,"",<-1> ,"","",-0.23,<0> ,-0.34,<3> ,6.9,<0> ,27,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 0:15,0,1,"",3.5,<0> ,0.52,<0> ,0.3,<0> ,79.8,<0> ,10.6,<0> ,"",<-1> ,"","",-0.28,<0> ,-0.40,<3> ,6.9,<0> ,38,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 0:30,0,1,"",3.5,<0> ,0.50,<0> ,0.2,<0> ,80.0,<0> ,10.6,<0> ,"",<-1> ,"","",-0.34,<0> ,-0.46,<3> ,6.9,<0> ,22,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 0:45,0,1,"",3.5,<0> ,0.48,<0> ,0.2,<0> ,80.5,<0> ,10.7,<0> ,"",<-1> ,"","",-0.40,<0> ,-0.51,<3> ,6.9,<0> ,23,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 1:00,0,1,"",3.5,<0> ,0.45,<0> ,0.2,<0> ,80.8,<0> ,10.7,<0> ,"",<-1> ,"","",-0.46,<0> ,-0.57,<3> ,6.9,<0> ,28,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 1:15,0,1,"",3.5,<0> ,0.43,<0> ,0.2,<0> ,80.8,<0> ,10.7,<0> ,"",<-1> ,"","",-0.52,<0> ,-0.63,<3> ,6.9,<0> ,29,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 1:30,0,1,"",3.5,<0> ,0.42,<0> ,0.2,<0> ,80.6,<0> ,10.7,<0> ,"",<-1> ,"","",-0.57,<0> ,-0.68,<3> ,6.9,<0> ,22,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 1:45,0,1,"",3.5,<0> ,0.41,<0> ,0.2,<0> ,80.5,<0> ,10.7,<0> ,"",<-1> ,"","",-0.60,<0> ,-0.71,<3> ,6.9,<0> ,42,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 2:00,0,1,"",3.5,<0> ,0.39,<0> ,0.2,<0> ,80.3,<0> ,10.7,<0> ,"",<-1> ,"","",-0.62,<0> ,-0.73,<3> ,6.9,<0> ,19,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 2:15,0,1,"",3.5,<0> ,0.41,<0> ,0.2,<0> ,79.1,<0> ,10.5,<0> ,"",<-1> ,"","",-0.59,<0> ,-0.70,<3> ,6.8,<0> ,19,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 2:30,0,1,"",3.5,<0> ,0.41,<0> ,0.2,<0> ,79.4,<0> ,10.5,<0> ,"",<-1> ,"","",-0.53,<0> ,-0.64,<3> ,6.8,<0> ,18,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 2:45,0,1,"",3.6,<0> ,0.43,<0> ,0.2,<0> ,79.0,<0> ,10.5,<0> ,"",<-1> ,"","",-0.48,<0> ,-0.59,<3> ,6.9,<0> ,18,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 3:00,0,1,"",3.6,<0> ,0.43,<0> ,0.2,<0> ,79.4,<0> ,10.5,<0> ,"",<-1> ,"","",-0.42,<0> ,-0.53,<3> ,6.9,<0> ,22,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 3:15,0,1,"",3.6,<0> ,0.43,<0> ,0.2,<0> ,79.5,<0> ,10.5,<0> ,"",<-1> ,"","",-0.35,<0> ,-0.46,<3> ,6.9,<0> ,17,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 3:30,0,1,"",3.6,<0> ,0.45,<0> ,0.2,<0> ,79.5,<0> ,10.5,<0> ,"",<-1> ,"","",-0.28,<0> ,-0.39,<3> ,6.9,<0> ,20,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 3:45,0,1,"",3.6,<0> ,0.47,<0> ,0.2,<0> ,79.3,<0> ,10.5,<0> ,"",<-1> ,"","",-0.22,<0> ,-0.33,<3> ,6.9,<0> ,22,<0> ,"",<-1> ,
"delllwq   ","P",01/01/2015 4:00,0,1,"",3.6,<0> ,0.49,<0> ,0.2,<0> ,79.2,<0> ,10.5,<0> ,"",<-1> ,"","",-0.15,<0> ,-0.25,<3> ,6.9,<0> ,22,<0> ,"",<-1> ,
