"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"elkapwq   ","P",01/01/1999 0:00,1,0,"",7.6,<4> ,49.23,<4> ,31.8,<4> ,49.3,<4> ,4.8,<4> ,0.22,<4> ,"","","",<-1> ,"","",7.8,<4> ,10,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 0:30,1,0,"",7.3,<4> ,49.34,<4> ,31.9,<4> ,45.0,<4> ,4.4,<4> ,0.22,<4> ,"","","",<-1> ,"","",7.8,<4> ,8,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 1:00,1,0,"",7.0,<4> ,49.40,<4> ,31.9,<4> ,40.4,<4> ,4.0,<4> ,0.22,<4> ,"","","",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 1:30,1,0,"",6.7,<4> ,49.46,<4> ,31.9,<4> ,35.2,<4> ,3.5,<4> ,0.22,<4> ,"","","",<-1> ,"","",7.7,<4> ,24,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 2:00,1,0,"",6.4,<4> ,49.54,<4> ,31.9,<4> ,31.0,<4> ,3.1,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.7,<4> ,25,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 2:30,1,0,"",6.2,<4> ,49.59,<4> ,31.9,<4> ,27.7,<4> ,2.8,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.7,<4> ,24,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 3:00,1,0,"",5.9,<4> ,49.65,<4> ,31.9,<4> ,30.7,<4> ,3.1,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,25,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 3:30,1,0,"",5.7,<4> ,49.71,<4> ,31.9,<4> ,25.2,<4> ,2.6,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,23,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 4:00,1,0,"",5.5,<4> ,49.76,<4> ,31.9,<4> ,21.4,<4> ,2.2,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.6,<4> ,20,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 4:30,1,0,"",5.4,<4> ,49.77,<4> ,31.9,<4> ,18.7,<4> ,1.9,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.5,<4> ,20,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 5:00,1,0,"",5.3,<4> ,49.84,<4> ,32.0,<4> ,17.3,<4> ,1.8,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.5,<4> ,16,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 5:30,1,0,"",5.2,<4> ,49.83,<4> ,31.9,<4> ,12.9,<4> ,1.3,<4> ,0.21,<4> ,"","","",<-1> ,"","",7.5,<4> ,15,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 6:00,1,0,"",5.0,<4> ,49.90,<4> ,32.0,<4> ,19.0,<4> ,2.0,<4> ,0.20,<4> ,"","","",<-1> ,"","",7.5,<4> ,11,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 6:30,1,0,"",7.7,<4> ,48.95,<4> ,31.6,<4> ,64.4,<4> ,6.2,<4> ,0.31,<4> ,"","","",<-1> ,"","",7.7,<4> ,6,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 7:00,1,0,"",9.5,<4> ,48.85,<4> ,31.7,<4> ,91.3,<4> ,8.5,<4> ,0.40,<4> ,"","","",<-1> ,"","",7.8,<4> ,8,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 7:30,1,0,"",9.8,<4> ,48.91,<4> ,31.7,<4> ,92.5,<4> ,8.6,<4> ,0.51,<4> ,"","","",<-1> ,"","",7.8,<4> ,13,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 8:00,1,0,"",10.0,<4> ,48.98,<4> ,31.8,<4> ,91.4,<4> ,8.4,<4> ,0.60,<4> ,"","","",<-1> ,"","",7.8,<4> ,11,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 8:30,1,0,"",10.0,<4> ,49.14,<4> ,31.9,<4> ,89.8,<4> ,8.3,<4> ,0.69,<4> ,"","","",<-1> ,"","",7.7,<4> ,9,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 9:00,1,0,"",10.1,<4> ,49.23,<4> ,32.0,<4> ,90.1,<4> ,8.3,<4> ,0.77,<4> ,"","","",<-1> ,"","",7.7,<4> ,8,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 9:30,1,0,"",10.2,<4> ,49.24,<4> ,32.0,<4> ,91.3,<4> ,8.4,<4> ,0.85,<4> ,"","","",<-1> ,"","",7.7,<4> ,7,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 10:00,1,0,"",10.5,<4> ,49.26,<4> ,32.0,<4> ,92.6,<4> ,8.4,<4> ,0.92,<4> ,"","","",<-1> ,"","",7.7,<4> ,6,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 10:30,1,0,"",10.7,<4> ,49.25,<4> ,32.0,<4> ,93.4,<4> ,8.5,<4> ,0.98,<4> ,"","","",<-1> ,"","",7.7,<4> ,5,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 11:00,1,0,"",10.8,<4> ,49.27,<4> ,32.1,<4> ,96.2,<4> ,8.7,<4> ,0.96,<4> ,"","","",<-1> ,"","",7.8,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 11:30,1,0,"",10.9,<4> ,49.26,<4> ,32.1,<4> ,99.9,<4> ,9.0,<4> ,0.89,<4> ,"","","",<-1> ,"","",7.8,<4> ,5,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 12:00,1,0,"",11.1,<4> ,49.27,<4> ,32.1,<4> ,106.8,<4> ,9.6,<4> ,0.81,<4> ,"","","",<-1> ,"","",7.8,<4> ,5,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 12:30,1,0,"",11.4,<4> ,49.25,<4> ,32.1,<4> ,110.9,<4> ,9.9,<4> ,0.73,<4> ,"","","",<-1> ,"","",7.8,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 13:00,1,0,"",11.6,<4> ,49.25,<4> ,32.1,<4> ,116.2,<4> ,10.3,<4> ,0.66,<4> ,"","","",<-1> ,"","",7.9,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 13:30,1,0,"",11.8,<4> ,49.23,<4> ,32.1,<4> ,123.2,<4> ,10.9,<4> ,0.60,<4> ,"","","",<-1> ,"","",7.9,<4> ,4,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 14:00,1,0,"",12.1,<4> ,49.20,<4> ,32.1,<4> ,134.1,<4> ,11.8,<4> ,0.55,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 14:30,1,0,"",12.3,<4> ,49.17,<4> ,32.1,<4> ,144.1,<4> ,12.6,<4> ,0.50,<4> ,"","","",<-1> ,"","",8.0,<4> ,5,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 15:00,1,0,"",12.4,<4> ,49.15,<4> ,32.1,<4> ,152.6,<4> ,13.3,<4> ,0.47,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 15:30,1,0,"",12.4,<4> ,49.13,<4> ,32.0,<4> ,160.4,<4> ,14.0,<4> ,0.43,<4> ,"","","",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 16:00,1,0,"",12.3,<4> ,49.09,<4> ,32.0,<4> ,166.9,<4> ,14.6,<4> ,0.40,<4> ,"","","",<-1> ,"","",8.1,<4> ,4,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 16:30,1,0,"",12.0,<4> ,49.08,<4> ,32.0,<4> ,168.7,<4> ,14.9,<4> ,0.38,<4> ,"","","",<-1> ,"","",8.2,<4> ,3,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 17:00,1,0,"",11.6,<4> ,49.07,<4> ,32.0,<4> ,165.9,<4> ,14.7,<4> ,0.36,<4> ,"","","",<-1> ,"","",8.2,<4> ,4,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 17:30,1,0,"",11.2,<4> ,49.06,<4> ,31.9,<4> ,158.2,<4> ,14.2,<4> ,0.34,<4> ,"","","",<-1> ,"","",8.1,<4> ,4,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 18:00,1,0,"",10.8,<4> ,49.10,<4> ,31.9,<4> ,151.0,<4> ,13.7,<4> ,0.32,<4> ,"","","",<-1> ,"","",8.1,<4> ,4,<4> ,"",<-1> ,
"elkapwq   ","P",01/01/1999 18:30,1,0,"",10.4,<4> ,49.16,<4> ,31.9,<4> ,143.0,<4> ,13.0,<4> ,0.31,<4> ,"","","",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
