"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"elknmnut  ","P",01/05/2005 11:05,1,1,1         ,1         ,"",0.0076,<4>  ,0.0083,<4>  ,0.0066,<4>  ,0.0427,<4>  C                   ,0.0493,<4>  ,18.14,<4>  ,
"elknmnut  ","P",01/05/2005 11:06,1,1,1         ,2         ,"",0.0075,<4>  ,0.0012,<4>  B                   ,0.0060,<4>  ,0.0381,<4>  C                   ,0.0441,<4>  ,"",<4>  M                   ,
"elknmnut  ","P",02/08/2005 15:40,1,1,1         ,1         ,"",0.0313,<4>  ,0.0532,<4>  ,0.0088,<4>  ,0.1042,<4>  C                   ,0.113,<4>  ,0.87,<4>  ,
"elknmnut  ","P",02/08/2005 15:41,1,1,1         ,2         ,"",0.041,<4>  ,0.056,<4>  ,0.0087,<4>  ,0.1033,<4>  C                   ,0.112,<4>  ,0.88,<4>  ,
"elknmnut  ","P",03/08/2005 14:40,1,1,1         ,1         ,"",0.0404,<4>  ,0.0239,<4>  ,0.0107,<4>  ,0.1679,<4>  C                   ,0.1786,<4>  ,5.56,<4>  ,
"elknmnut  ","P",03/08/2005 14:41,1,1,1         ,2         ,"",0.0388,<4>  ,0.0293,<4>  ,0.0106,<4>  ,0.1675,<4>  C                   ,0.1781,<4>  ,4.11,<4>  ,
"elknmnut  ","P",04/05/2005 12:30,1,1,1         ,1         ,"",0.0488,<4>  ,0.0314,<4>  ,0.0119,<4>  ,0.1263,<4>  C                   ,0.1382,<4>  ,3.52,<4>  ,
"elknmnut  ","P",04/05/2005 12:31,1,1,1         ,2         ,"",0.0486,<4>  ,0.0267,<4>  ,0.0117,<4>  ,0.1299,<4>  C                   ,0.1416,<4>  ,3.41,<4>  ,
"elknmnut  ","P",05/03/2005 11:30,1,1,1         ,1         ,"",0.0926,<4>  ,0.0735,<4>  ,0.0088,<4>  ,0.0174,<4>  C                   ,0.0262,<4>  ,4.22,<4>  ,
"elknmnut  ","P",05/03/2005 11:31,1,1,1         ,2         ,"",0.0914,<4>  ,0.0542,<4>  ,0.0097,<4>  ,0.0048,<4>  C                   ,0.0145,<4>  ,4.07,<4>  ,
"elknmnut  ","P",06/07/2005 14:18,1,1,1         ,1         ,"",0.0477,<4>  ,0.0184,<4>  ,0.0047,<4>  S                   ,"",<4>  B - C - N           ,0.0025,<4>  B                   ,8.82,<4>  ,
"elknmnut  ","P",06/07/2005 14:19,1,1,1         ,2         ,"",0.0475,<4>  ,0.0192,<4>  ,0.0046,<4>  S                   ,"",<4>  B - C - N           ,0.0025,<4>  B                   ,9.21,<4>  ,
"elknmnut  ","P",07/05/2005 14:05,1,1,1         ,1         ,"",0.0445,<4>  ,0.0061,<4>  ,0.0083,<4>  S                   ,"",<4>  C - N               ,0.0046,<4>  S                   ,74.55,<4>  ,
"elknmnut  ","P",07/05/2005 14:06,1,1,1         ,2         ,"",0.0451,<4>  ,0.0085,<4>  ,0.0083,<4>  S                   ,"",<4>  C - N               ,0.0048,<4>  S                   ,94.01,<4>  ,
"elknmnut  ","P",08/01/2005 12:25,1,1,1         ,1         ,"",0.0543,<4>  ,0.0838,<4>  ,0.0112,<4>  ,0.0020,<4>  C                   ,0.0132,<4>  ,18.0,<4>  ,
"elknmnut  ","P",08/01/2005 12:26,1,1,1         ,2         ,"",0.0547,<4>  ,0.083,<4>  ,0.0108,<4>  S                   ,"",<4>  C - N               ,0.0099,<4>  S                   ,18.47,<4>  ,
"elknmnut  ","P",09/06/2005 17:40,1,1,1         ,1         ,"",0.0949,<4>  ,0.064,<4>  ,0.0138,<4>  ,0.0029,<4>  C                   ,0.0167,<4>  ,7.54,<4>  ,
"elknmnut  ","P",09/06/2005 17:41,1,1,1         ,2         ,"",0.0934,<4>  ,0.0494,<4>  ,0.0129,<4>  ,0.0,<4>  C                   ,0.0129,<4>  ,9.31,<4>  ,
"elknmnut  ","P",10/04/2005 14:42,1,1,1         ,1         ,"",0.0578,<4>  ,0.0776,<4>  ,0.0075,<4>  ,0.0059,<4>  C                   ,0.0134,<4>  ,3.76,<4>  ,
"elknmnut  ","P",10/04/2005 14:43,1,1,1         ,2         ,"",0.0562,<4>  ,0.0763,<4>  ,0.0073,<4>  ,0.0058,<4>  C                   ,0.0131,<4>  ,3.77,<4>  ,
"elknmnut  ","P",11/01/2005 14:30,1,1,1         ,1         ,"",0.055,<4>  ,0.0797,<4>  ,0.0123,<4>  ,0.0145,<4>  C                   ,0.0268,<4>  ,5.59,<4>  ,
"elknmnut  ","P",11/01/2005 14:31,1,1,1         ,2         ,"",0.0552,<4>  ,0.0784,<4>  ,0.0124,<4>  ,0.0142,<4>  C                   ,0.0266,<4>  ,5.66,<4>  ,
"elknmnut  ","P",12/07/2005 7:35,1,1,1         ,1         ,"",0.051,<4>  ,0.0704,<4>  ,0.0113,<4>  ,0.0443,<4>  C                   ,0.0556,<4>  ,2.86,<4>  ,
"elknmnut  ","P",12/07/2005 7:36,1,1,1         ,2         ,"",0.0482,<4>  ,0.0646,<4>  ,0.0108,<4>  ,0.0447,<4>  C                   ,0.0555,<4>  ,3.52,<4>  ,

