"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"elknmwq   ","P",04/15/1999 14:30,1,0,"",16.9,<4> ,46.31,<4> ,30.1,<4> ,"",<4> ,"",<4> ,0.44,<4> ,"","","",<-1> ,"","",8.0,<4> ,7,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 15:00,1,0,"",17.5,<4> ,46.09,<4> ,29.9,<4> ,"",<4> ,"",<4> ,0.44,<4> ,"","","",<-1> ,"","",8.0,<4> ,6,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 15:30,1,0,"",18.0,<4> ,46.23,<4> ,30.1,<4> ,"",<4> ,"",<4> ,0.44,<4> ,"","","",<-1> ,"","",8.1,<4> ,7,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 16:00,1,0,"",20.1,<4> ,45.99,<4> ,29.9,<4> ,"",<4> ,"",<4> ,0.43,<4> ,"","","",<-1> ,"","",8.2,<4> ,8,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 16:30,1,0,"",22.6,<4> ,44.78,<4> ,29.0,<4> ,"",<4> ,"",<4> ,0.42,<4> ,"","","",<-1> ,"","",8.5,<4> ,8,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 17:00,1,0,"",23.7,<4> ,43.57,<4> ,28.1,<4> ,"",<4> ,"",<4> ,0.41,<4> ,"","","",<-1> ,"","",8.6,<4> ,8,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 17:30,1,0,"",24.9,<4> ,42.74,<4> ,27.5,<4> ,"",<4> ,"",<4> ,0.40,<4> ,"","","",<-1> ,"","",8.7,<4> ,12,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 18:00,1,0,"",25.1,<4> ,42.12,<4> ,27.0,<4> ,"",<4> ,"",<4> ,0.39,<4> ,"","","",<-1> ,"","",8.7,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 18:30,1,0,"",25.1,<4> ,42.04,<4> ,27.0,<4> ,"",<4> ,"",<4> ,0.39,<4> ,"","","",<-1> ,"","",8.7,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 19:00,1,0,"",25.2,<4> ,42.27,<4> ,27.1,<4> ,"",<4> ,"",<4> ,0.39,<4> ,"","","",<-1> ,"","",8.8,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 19:30,1,0,"",25.1,<4> ,42.31,<4> ,27.2,<4> ,"",<4> ,"",<4> ,0.39,<4> ,"","","",<-1> ,"","",8.8,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 20:00,1,0,"",24.9,<4> ,42.34,<4> ,27.2,<4> ,"",<4> ,"",<4> ,0.40,<4> ,"","","",<-1> ,"","",8.8,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 20:30,1,0,"",23.9,<4> ,41.83,<4> ,26.8,<4> ,"",<4> ,"",<4> ,0.41,<4> ,"","","",<-1> ,"","",8.7,<4> ,16,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 21:00,1,0,"",23.4,<4> ,41.36,<4> ,26.5,<4> ,"",<4> ,"",<4> ,0.42,<4> ,"","","",<-1> ,"","",8.6,<4> ,15,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 21:30,1,0,"",22.9,<4> ,41.40,<4> ,26.5,<4> ,"",<4> ,"",<4> ,0.42,<4> ,"","","",<-1> ,"","",8.5,<4> ,15,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 22:00,1,0,"",21.0,<4> ,41.22,<4> ,26.5,<4> ,"",<4> ,"",<4> ,0.43,<4> ,"","","",<-1> ,"","",8.3,<4> ,18,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 22:30,1,0,"",19.9,<4> ,41.12,<4> ,26.4,<4> ,"",<4> ,"",<4> ,0.44,<4> ,"","","",<-1> ,"","",8.2,<4> ,18,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 23:00,1,0,"",18.9,<4> ,41.64,<4> ,26.8,<4> ,"",<4> ,"",<4> ,0.44,<4> ,"","","",<-1> ,"","",8.2,<4> ,18,<4> ,"",<-1> ,
"elknmwq   ","P",04/15/1999 23:30,1,0,"",17.9,<4> ,42.57,<4> ,27.4,<4> ,"",<4> ,"",<4> ,0.45,<4> ,"","","",<-1> ,"","",8.1,<4> ,18,<4> ,"",<-1> ,
"elknmwq   ","P",04/16/1999 0:00,1,0,"",16.3,<4> ,43.94,<4> ,28.4,<4> ,"",<4> ,"",<4> ,0.45,<4> ,"","","",<-1> ,"","",8.0,<4> ,25,<4> ,"",<-1> ,
"elknmwq   ","P",04/16/1999 0:30,1,0,"",14.1,<4> ,45.41,<4> ,29.4,<4> ,"",<4> ,"",<4> ,0.46,<4> ,"","","",<-1> ,"","",7.9,<4> ,15,<4> ,"",<-1> ,
"elknmwq   ","P",04/16/1999 1:00,1,0,"",13.2,<4> ,45.95,<4> ,29.8,<4> ,"",<4> ,"",<4> ,0.46,<4> ,"","","",<-1> ,"","",7.8,<4> ,14,<4> ,"",<-1> ,
"elknmwq   ","P",04/16/1999 1:30,1,0,"",13.1,<4> ,45.96,<4> ,29.8,<4> ,"",<4> ,"",<4> ,0.47,<4> ,"","","",<-1> ,"","",7.9,<4> ,10,<4> ,"",<-1> ,
"elknmwq   ","P",04/16/1999 2:00,1,0,"",13.8,<4> ,45.48,<4> ,29.5,<4> ,"",<4> ,"",<4> ,0.47,<4> ,"","","",<-1> ,"","",7.9,<4> ,12,<4> ,"",<-1> ,
