"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"elksmnut  ","P",01/11/2011 6:00,0,1,2         ,1         ,"",0.0499,<0>  ,0.086,<0>  ,0.0319,<0>  ,0.6537,<0>  ,0.6856,<0>  ,4.9095,<0>  ,
"elksmnut  ","P",01/11/2011 8:00,0,1,1         ,1         ,"",0.0543,<0>  ,0.0901,<0>  ,0.0279,<0>  ,0.8924,<0>  ,0.9204,<0>  ,1.454,<0>  ,
"elksmnut  ","P",01/11/2011 8:01,0,1,1         ,2         ,"",0.0526,<0>  ,0.0942,<0>  ,0.0274,<0>  ,0.8569,<0>  ,0.8844,<0>  ,1.3215,<0>  ,
"elksmnut  ","P",01/11/2011 8:04,0,1,2         ,1         ,"",0.0582,<0>  ,0.1072,<0>  ,0.0312,<0>  ,0.8165,<0>  ,0.8477,<0>  ,4.2082,<0>  ,
"elksmnut  ","P",01/11/2011 10:08,0,1,2         ,1         ,"",0.0576,<0>  ,0.1146,<0>  ,0.0308,<0>  ,0.871,<0>  ,0.9017,<0>  ,4.5344,<0>  ,
"elksmnut  ","P",01/11/2011 12:12,0,1,2         ,1         ,"",0.056,<0>  ,0.1097,<0>  ,0.0292,<0>  ,0.8996,<0>  ,0.9287,<0>  ,4.0372,<0>  ,
"elksmnut  ","P",01/11/2011 14:16,0,1,2         ,1         ,"",0.0521,<0>  ,0.1064,<0>  ,0.0288,<0>  ,0.8459,<0>  ,0.8747,<0>  ,3.4788,<0>  ,
"elksmnut  ","P",01/11/2011 16:20,0,1,2         ,1         ,"",0.0526,<0>  ,0.0803,<0>  ,0.0296,<0>  ,0.8902,<0>  ,0.9197,<0>  ,3.9065,<0>  ,
"elksmnut  ","P",01/11/2011 18:24,0,1,2         ,1         ,"",0.0526,<0>  ,0.0795,<0>  ,0.0289,<0>  ,0.9179,<0>  ,0.9468,<0>  ,4.1697,<0>  ,
"elksmnut  ","P",01/11/2011 20:28,0,1,2         ,1         ,"",0.0521,<0>  ,0.0942,<0>  ,0.029,<0>  ,0.8187,<0>  ,0.8477,<0>  ,5.418,<0>  ,
"elksmnut  ","P",01/11/2011 22:32,0,1,2         ,1         ,"",0.0515,<0>  ,0.1048,<0>  ,0.0282,<0>  ,0.7835,<0>  ,0.8117,<0>  ,4.1659,<0>  ,
