"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"elkvmwq   ","P",01/01/2015 0:00,0,1,"",12.3,<0> ,48.73,<0> ,31.8,<0> ,72.6,<0> ,6.4,<0> ,"",<-1> ,"","",0.89,<0> ,0.85,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 0:15,0,1,"",12.3,<0> ,48.71,<0> ,31.7,<0> ,73.3,<0> ,6.4,<0> ,"",<-1> ,"","",0.85,<0> ,0.81,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 0:30,0,1,"",12.2,<0> ,48.55,<0> ,31.6,<0> ,73.4,<0> ,6.5,<0> ,"",<-1> ,"","",0.84,<0> ,0.80,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 0:45,0,1,"",12.1,<0> ,48.45,<0> ,31.5,<0> ,75.0,<0> ,6.6,<0> ,"",<-1> ,"","",0.85,<0> ,0.81,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 1:00,0,1,"",12.4,<0> ,48.44,<0> ,31.5,<0> ,76.7,<0> ,6.7,<0> ,"",<-1> ,"","",0.85,<0> ,0.81,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 1:15,0,1,"",12.5,<0> ,48.85,<0> ,31.9,<0> ,72.5,<0> ,6.3,<0> ,"",<-1> ,"","",0.85,<0> ,0.81,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 1:30,0,1,"",12.1,<0> ,48.48,<0> ,31.6,<0> ,74.1,<0> ,6.5,<0> ,"",<-1> ,"","",0.87,<0> ,0.83,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 1:45,0,1,"",11.9,<0> ,48.60,<0> ,31.6,<0> ,76.8,<0> ,6.8,<0> ,"",<-1> ,"","",0.91,<0> ,0.87,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 2:00,0,1,"",12.2,<0> ,48.55,<0> ,31.6,<0> ,74.9,<0> ,6.6,<0> ,"",<-1> ,"","",0.94,<0> ,0.90,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 2:15,0,1,"",12.2,<0> ,48.60,<0> ,31.7,<0> ,73.8,<0> ,6.5,<0> ,"",<-1> ,"","",0.97,<0> ,0.93,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 2:30,0,1,"",12.5,<0> ,48.90,<0> ,31.9,<0> ,72.0,<0> ,6.3,<0> ,"",<-1> ,"","",1.03,<0> ,0.99,<3> ,8.2,<0> ,4,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 2:45,0,1,"",12.4,<0> ,48.79,<0> ,31.8,<0> ,73.2,<0> ,6.4,<0> ,"",<-1> ,"","",1.08,<0> ,1.04,<3> ,8.2,<0> ,3,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 3:00,0,1,"",12.6,<0> ,49.12,<0> ,32.0,<0> ,77.7,<0> ,6.8,<0> ,"",<-1> ,"","",1.15,<0> ,1.11,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 3:15,0,1,"",12.6,<0> ,49.19,<0> ,32.1,<0> ,79.2,<0> ,6.9,<0> ,"",<-1> ,"","",1.19,<0> ,1.15,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 3:30,0,1,"",12.6,<0> ,49.24,<0> ,32.1,<0> ,79.8,<0> ,6.9,<0> ,"",<-1> ,"","",1.26,<0> ,1.22,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 3:45,0,1,"",12.6,<0> ,49.22,<0> ,32.1,<0> ,80.2,<0> ,7.0,<0> ,"",<-1> ,"","",1.33,<0> ,1.29,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 4:00,0,1,"",12.5,<0> ,49.09,<0> ,32.0,<0> ,78.2,<0> ,6.8,<0> ,"",<-1> ,"","",1.39,<0> ,1.35,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 4:15,0,1,"",12.6,<0> ,49.26,<0> ,32.2,<0> ,80.5,<0> ,7.0,<0> ,"",<-1> ,"","",1.45,<0> ,1.41,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 4:30,0,1,"",12.6,<0> ,49.30,<0> ,32.2,<0> ,79.7,<0> ,6.9,<0> ,"",<-1> ,"","",1.52,<0> ,1.48,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 4:45,0,1,"",12.7,<0> ,49.36,<0> ,32.2,<0> ,79.9,<0> ,6.9,<0> ,"",<-1> ,"","",1.60,<0> ,1.56,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 5:00,0,1,"",12.6,<0> ,49.39,<0> ,32.2,<0> ,79.7,<0> ,6.9,<0> ,"",<-1> ,"","",1.65,<0> ,1.61,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 5:15,0,1,"",12.7,<0> ,49.40,<0> ,32.3,<0> ,80.0,<0> ,6.9,<0> ,"",<-1> ,"","",1.72,<0> ,1.68,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 5:30,0,1,"",12.7,<0> ,49.39,<0> ,32.2,<0> ,79.2,<0> ,6.9,<0> ,"",<-1> ,"","",1.78,<0> ,1.74,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 5:45,0,1,"",12.6,<0> ,49.35,<0> ,32.2,<0> ,78.4,<0> ,6.8,<0> ,"",<-1> ,"","",1.83,<0> ,1.79,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 6:00,0,1,"",12.6,<0> ,49.37,<0> ,32.2,<0> ,79.6,<0> ,6.9,<0> ,"",<-1> ,"","",1.88,<0> ,1.84,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 6:15,0,1,"",12.6,<0> ,49.38,<0> ,32.2,<0> ,77.9,<0> ,6.8,<0> ,"",<-1> ,"","",1.93,<0> ,1.89,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 6:30,0,1,"",12.5,<0> ,49.39,<0> ,32.2,<0> ,79.3,<0> ,6.9,<0> ,"",<-1> ,"","",1.97,<0> ,1.93,<3> ,8.2,<0> ,3,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 6:45,0,1,"",12.6,<0> ,49.52,<0> ,32.3,<0> ,79.3,<0> ,6.9,<0> ,"",<-1> ,"","",2.00,<0> ,1.96,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 7:00,0,1,"",12.6,<0> ,49.40,<0> ,32.3,<0> ,77.6,<0> ,6.7,<0> ,"",<-1> ,"","",2.02,<0> ,1.97,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 7:15,0,1,"",12.6,<0> ,49.43,<0> ,32.3,<0> ,77.9,<0> ,6.8,<0> ,"",<-1> ,"","",2.03,<0> ,1.98,<3> ,8.2,<0> ,1,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 7:30,0,1,"",12.4,<0> ,49.44,<0> ,32.3,<0> ,78.2,<0> ,6.8,<0> ,"",<-1> ,"","",2.03,<0> ,1.98,<3> ,8.2,<0> ,3,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 7:45,0,1,"",12.4,<0> ,49.39,<0> ,32.2,<0> ,78.9,<0> ,6.9,<0> ,"",<-1> ,"","",2.03,<0> ,1.98,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 8:00,0,1,"",12.4,<0> ,49.44,<0> ,32.3,<0> ,79.8,<0> ,7.0,<0> ,"",<-1> ,"","",2.01,<0> ,1.96,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 8:15,0,1,"",12.4,<0> ,49.44,<0> ,32.3,<0> ,80.7,<0> ,7.1,<0> ,"",<-1> ,"","",1.95,<0> ,1.90,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
"elkvmwq   ","P",01/01/2015 8:30,0,1,"",12.3,<0> ,49.48,<0> ,32.3,<0> ,80.8,<0> ,7.1,<0> ,"",<-1> ,"","",1.93,<0> ,1.87,<3> ,8.2,<0> ,2,<0> ,"",<-1> ,
