"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gndbhwq   ","P",01/01/2015 0:00,0,1,"",16.6,<0> ,34.21,<0> ,21.5,<0> ,45.6,<0> ,3.9,<0> ,1.18,<0> ,1.04,<3> ,"",<-1> ,"","",6.8,<0> ,27,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 0:15,0,1,"",16.6,<0> ,34.27,<0> ,21.6,<0> ,46.8,<0> ,4.0,<0> ,1.15,<0> ,1.01,<3> ,"",<-1> ,"","",6.8,<0> ,32,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 0:30,0,1,"",16.5,<0> ,34.23,<0> ,21.6,<0> ,43.2,<0> ,3.7,<0> ,1.13,<0> ,0.99,<3> ,"",<-1> ,"","",6.8,<0> ,26,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 0:45,0,1,"",16.5,<0> ,34.06,<0> ,21.4,<0> ,47.1,<0> ,4.1,<0> ,1.09,<0> ,0.95,<3> ,"",<-1> ,"","",6.8,<0> ,39,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 1:00,0,1,"",16.5,<0> ,34.04,<0> ,21.4,<0> ,46.4,<0> ,4.0,<0> ,1.06,<0> ,0.92,<3> ,"",<-1> ,"","",6.8,<0> ,33,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 1:15,0,1,"",16.5,<0> ,34.00,<0> ,21.4,<0> ,43.7,<0> ,3.8,<0> ,1.03,<0> ,0.89,<3> ,"",<-1> ,"","",6.8,<0> ,27,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 1:30,0,1,"",16.6,<0> ,34.24,<0> ,21.6,<0> ,42.5,<0> ,3.6,<0> ,1.04,<0> ,0.90,<3> ,"",<-1> ,"","",6.8,<0> ,28,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 1:45,0,1,"",16.4,<0> ,34.06,<0> ,21.4,<0> ,43.7,<0> ,3.8,<0> ,1.02,<0> ,0.88,<3> ,"",<-1> ,"","",6.8,<0> ,27,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 2:00,0,1,"",16.5,<0> ,34.05,<0> ,21.4,<0> ,40.6,<0> ,3.5,<0> ,1.00,<0> ,0.86,<3> ,"",<-1> ,"","",6.8,<0> ,28,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 2:15,0,1,"",16.5,<0> ,34.03,<0> ,21.4,<0> ,41.4,<0> ,3.6,<0> ,0.98,<0> ,0.85,<3> ,"",<-1> ,"","",6.8,<0> ,27,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 2:30,0,1,"",16.4,<0> ,33.97,<0> ,21.4,<0> ,43.0,<0> ,3.7,<0> ,0.95,<0> ,0.82,<3> ,"",<-1> ,"","",6.7,<0> ,27,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 2:45,0,1,"",16.4,<0> ,33.93,<0> ,21.3,<0> ,41.1,<0> ,3.5,<0> ,0.94,<0> ,0.80,<3> ,"",<-1> ,"","",6.7,<0> ,26,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 3:00,0,1,"",16.6,<0> ,34.06,<0> ,21.4,<0> ,40.1,<0> ,3.4,<0> ,0.95,<0> ,0.81,<3> ,"",<-1> ,"","",6.8,<0> ,28,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 3:15,0,1,"",16.6,<0> ,34.08,<0> ,21.4,<0> ,40.3,<0> ,3.5,<0> ,0.96,<0> ,0.82,<3> ,"",<-1> ,"","",6.8,<0> ,26,<-3> [SPC] (CBF),"",<-1> ,
"gndbhwq   ","P",01/01/2015 3:30,0,1,"",16.6,<0> ,34.15,<0> ,21.5,<0> ,40.1,<0> ,3.4,<0> ,0.96,<0> ,0.83,<3> ,"",<-1> ,"","",6.8,<0> ,29,<-3> [SPC] (CBF),"",<-1> ,
