"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmfmnut  ","P",05/08/2002 13:40,1,1,1         ,2         ,"",0.016,<4>  ,0.04,<4>  ,0.0016,<4>  ,7.0E-4,<4>  C                   ,0.0023,<4>  ,5.6,<4>  ,
"gtmfmnut  ","P",05/08/2002 13:40,1,1,1         ,1         ,"",0.0090,<4>  ,0.038,<4>  ,0.0015,<4>  ,8.0E-4,<4>  C                   ,0.0023,<4>  ,4.9,<4>  ,
"gtmfmnut  ","P",06/05/2002 14:30,1,1,1         ,2         ,"",0.0080,<4>  ,0.014,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0037,<4>  ,1.6,<4>  ,
"gtmfmnut  ","P",06/05/2002 14:30,1,1,1         ,1         ,"",0.0090,<4>  ,0.02,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0027,<4>  ,2.4,<4>  ,
"gtmfmnut  ","P",07/10/2002 12:57,1,1,1         ,2         ,"",0.012,<4>  ,0.039,<4>  ,0.0022,<4>  ,4.0E-4,<4>  C                   ,0.0026,<4>  ,8.7,<4>  ,
"gtmfmnut  ","P",07/10/2002 12:57,1,1,1         ,1         ,"",0.012,<4>  ,0.027,<4>  ,0.0014,<4>  ,0.0024,<4>  C                   ,0.0038,<4>  ,8.0,<4>  ,
"gtmfmnut  ","P",08/14/2002 11:10,1,1,1         ,2         ,"",0.015,<4>  ,0.038,<4>  ,0.0042,<4>  ,0.0044,<4>  C                   ,0.0086,<4>  ,7.4,<4>  ,
"gtmfmnut  ","P",08/14/2002 11:10,1,1,1         ,1         ,"",0.014,<4>  ,0.047,<4>  ,0.0042,<4>  ,0.0038,<4>  C                   ,0.0080,<4>  ,6.0,<4>  ,
"gtmfmnut  ","P",09/11/2002 15:17,1,1,1         ,2         ,"",0.02,<4>  ,0.033,<4>  ,0.01,<4>  ,0.0101,<4>  C                   ,0.0201,<4>  ,5.1,<4>  ,
"gtmfmnut  ","P",09/11/2002 15:17,1,1,1         ,1         ,"",0.021,<4>  ,0.043,<4>  ,0.0099,<4>  ,0.0107,<4>  C                   ,0.0206,<4>  ,1.6,<4>  ,
"gtmfmnut  ","P",10/07/2002 16:25,1,1,1         ,2         ,"",0.0060,<4>  ,0.044,<4>  ,0.0072,<4>  ,0.0032,<4>  C                   ,0.0104,<4>  ,7.8,<4>  ,
"gtmfmnut  ","P",10/07/2002 16:25,1,1,1         ,1         ,"",0.0060,<4>  ,0.029,<4>  ,0.0076,<4>  ,0.0028,<4>  C                   ,0.0104,<4>  ,6.8,<4>  ,
"gtmfmnut  ","P",11/05/2002 14:12,1,1,1         ,2         ,"",0.016,<4>  ,0.065,<4>  ,0.0050,<4>  ,0.0103,<4>  C                   ,0.0153,<4>  ,2.3,<4>  ,
"gtmfmnut  ","P",11/05/2002 14:12,1,1,1         ,1         ,"",0.016,<4>  ,0.074,<4>  ,0.0050,<4>  ,0.0199,<4>  C                   ,0.0249,<4>  ,2.3,<4>  ,
"gtmfmnut  ","P",12/03/2002 13:00,1,1,1         ,2         ,"",0.0060,<4>  ,0.065,<4>  ,0.0018,<4>  ,0.0013,<4>  C                   ,0.0031,<4>  ,1.4,<4>  ,
"gtmfmnut  ","P",12/03/2002 13:00,1,1,1         ,1         ,"",0.0070,<4>  ,0.048,<4>  ,0.0025,<4>  ,6.0E-4,<4>  C                   ,0.0031,<4>  ,1.4,<4>  ,

