"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmpcnut  ","P",01/07/2008 10:30,1,1,2         ,1         ,"",0.019,<0>  ,0.037,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0124,<0>  ,2.7,<0>  ,
"gtmpcnut  ","P",01/07/2008 13:00,1,1,2         ,1         ,"",0.023,<0>  ,0.03,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0135,<0>  ,2.2,<0>  ,
"gtmpcnut  ","P",01/07/2008 15:30,1,1,2         ,1         ,"",0.024,<0>  ,0.032,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0137,<0>  ,1.8,<0>  ,
"gtmpcnut  ","P",01/07/2008 18:00,1,1,2         ,1         ,"",0.026,<0>  ,0.036,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0152,<0>  ,3.2,<0>  ,
"gtmpcnut  ","P",01/07/2008 20:30,1,1,2         ,1         ,"",0.027,<0>  ,0.028,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0135,<0>  ,3.5,<0>  ,
"gtmpcnut  ","P",01/07/2008 23:00,1,1,2         ,1         ,"",0.024,<0>  ,0.027,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0124,<0>  ,4.2,<0>  ,
"gtmpcnut  ","P",01/08/2008 1:30,1,1,2         ,1         ,"",0.025,<0>  ,0.025,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0132,<0>  ,7.6,<0>  ,
"gtmpcnut  ","P",01/08/2008 4:00,1,1,2         ,1         ,"",0.025,<0>  ,0.035,<1> (CHB) ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0131,<0>  ,7.4,<0>  ,
"gtmpcnut  ","P",01/08/2008 6:30,1,1,2         ,1         ,"",0.027,<0>  ,0.039,<0>  ,0.0058,<0>  ,0.0090,<0>  ,0.0148,<0>  ,3.1,<0>  ,
"gtmpcnut  ","P",01/08/2008 9:00,1,1,2         ,1         ,"",0.026,<0>  ,0.034,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0123,<0>  ,2.4,<0>  ,
"gtmpcnut  ","P",01/08/2008 11:30,1,1,2         ,1         ,"",0.022,<0>  ,0.038,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0102,<0>  ,4.9,<0>  ,
"gtmpcnut  ","P",01/08/2008 11:51,1,1,1         ,1         ,"",0.024,<0>  ,0.028,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0099,<0>  ,4.7,<0>  ,
"gtmpcnut  ","P",01/08/2008 11:52,1,1,1         ,2         ,"",0.023,<0>  ,0.036,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0098,<0>  ,5.6,<0>  ,
"gtmpcnut  ","P",02/04/2008 9:35,1,1,2         ,1         ,"",0.022,<0>  ,0.029,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0088,<0>  ,4.5,<0>  ,
"gtmpcnut  ","P",02/04/2008 12:05,1,1,2         ,1         ,"",0.02,<0>  ,0.018,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0090,<0>  ,4.2,<0>  ,
"gtmpcnut  ","P",02/04/2008 14:35,1,1,2         ,1         ,"",0.022,<0>  ,0.017,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.011,<0>  ,3.6,<0>  ,
"gtmpcnut  ","P",02/04/2008 17:05,1,1,2         ,1         ,"",0.026,<0>  ,0.038,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0127,<0>  ,3.6,<0>  ,
"gtmpcnut  ","P",02/04/2008 19:35,1,1,2         ,1         ,"",0.03,<0>  ,0.036,<0>  ,0.0043,<0>  ,0.0094,<0>  ,0.0137,<0>  ,11.2,<0>  ,
"gtmpcnut  ","P",02/04/2008 22:05,1,1,2         ,1         ,"",0.027,<0>  ,0.036,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0134,<0>  ,6.2,<0>  ,
"gtmpcnut  ","P",02/05/2008 0:35,1,1,2         ,1         ,"",0.027,<0>  ,0.033,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0155,<0>  ,11.2,<0>  ,
"gtmpcnut  ","P",02/05/2008 3:05,1,1,2         ,1         ,"",0.033,<0>  ,0.064,<0>  ,0.0045,<0>  ,0.0138,<0>  ,0.0183,<0>  ,6.7,<0>  ,
"gtmpcnut  ","P",02/05/2008 5:35,1,1,2         ,1         ,"",0.026,<0>  ,0.02,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0109,<0>  ,14.1,<0>  ,
"gtmpcnut  ","P",02/05/2008 8:05,1,1,2         ,1         ,"",0.023,<0>  ,0.023,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0074,<0>  ,8.7,<0>  ,
"gtmpcnut  ","P",02/05/2008 10:35,1,1,2         ,1         ,"",0.023,<0>  ,0.018,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0075,<0>  ,5.6,<0>  ,
"gtmpcnut  ","P",02/05/2008 12:46,1,1,1         ,1         ,"",0.026,<0>  ,0.016,<0>  ,0.0043,<-4> [SBL] ,"",<-4> [SCB] ,0.0062,<-4> [SBL] ,9.8,<0>  ,
