"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"gtmssnut  ","P",01/22/2003 15:38,1,1,1         ,1         ,"",0.015,<4>  ,0.021,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0091,<4>  ,1.7,<4>  ,
"gtmssnut  ","P",01/22/2003 15:38,1,1,1         ,2         ,"",0.017,<4>  ,0.017,<4>  ,0.0014,<4>  ,0.0135,<4>  C                   ,0.0149,<4>  ,1.8,<4>  ,
"gtmssnut  ","P",02/26/2003 10:45,1,1,1         ,1         ,"",0.021,<4>  ,0.044,<4>  ,0.0055,<4>  ,0.0303,<4>  C                   ,0.0358,<4>  ,2.7,<4>  ,
"gtmssnut  ","P",02/26/2003 10:45,1,1,1         ,2         ,"",0.023,<4>  ,0.061,<4>  ,0.0061,<4>  ,0.0298,<4>  C                   ,0.0359,<4>  ,2.4,<4>  ,
"gtmssnut  ","P",03/26/2003 12:14,1,1,1         ,1         ,"",0.017,<4>  ,0.013,<4>  ,0.0020,<4>  ,0.0176,<4>  C                   ,0.0196,<4>  ,2.2,<4>  ,
"gtmssnut  ","P",03/26/2003 12:14,1,1,1         ,2         ,"",0.019,<4>  ,0.016,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0014,<4>  B                   ,2.6,<4>  ,
"gtmssnut  ","P",04/29/2003 12:31,1,1,1         ,1         ,"",0.0070,<4>  ,0.022,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0039,<4>  ,6.9,<4>  ,
"gtmssnut  ","P",04/29/2003 12:31,1,1,1         ,2         ,"",0.0060,<4>  ,0.018,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0031,<4>  ,5.4,<4>  ,
"gtmssnut  ","P",05/27/2003 11:55,1,1,1         ,1         ,"",0.048,<4>  ,0.108,<4>  ,0.0081,<4>  ,0.0255,<4>  C                   ,0.0336,<4>  ,5.0,<4>  ,
"gtmssnut  ","P",05/27/2003 11:55,1,1,1         ,2         ,"",0.044,<4>  ,0.063,<4>  ,0.0070,<4>  ,0.0205,<4>  C                   ,0.0275,<4>  ,5.0,<4>  ,
"gtmssnut  ","P",06/25/2003 10:35,1,1,1         ,1         ,"",0.024,<4>  ,0.116,<4>  ,0.0050,<4>  ,0.0855,<4>  C                   ,0.0905,<4>  ,3.6,<4>  ,
"gtmssnut  ","P",06/25/2003 10:35,1,1,1         ,2         ,"",0.027,<4>  ,0.102,<4>  ,0.0040,<4>  ,0.0676,<4>  C                   ,0.0716,<4>  ,4.4,<4>  ,
"gtmssnut  ","P",07/30/2003 14:02,1,1,1         ,1         ,"",0.028,<4>  ,0.125,<4>  ,0.0032,<4>  ,0.0201,<4>  C                   ,0.0233,<4>  ,4.7,<4>  ,
"gtmssnut  ","P",07/30/2003 14:02,1,1,1         ,2         ,"",0.029,<4>  ,0.229,<4>  ,0.0036,<4>  ,0.0268,<4>  C                   ,0.0304,<4>  ,4.7,<4>  ,
"gtmssnut  ","P",08/26/2003 11:29,1,1,1         ,1         ,"",0.032,<4>  ,0.148,<4>  ,0.0109,<4>  ,0.0425,<4>  C                   ,0.0534,<4>  ,4.2,<4>  ,
"gtmssnut  ","P",08/26/2003 11:29,1,1,1         ,2         ,"",0.037,<4>  ,0.191,<4>  ,0.0113,<4>  ,0.0482,<4>  C                   ,0.0595,<4>  ,4.4,<4>  ,
"gtmssnut  ","P",09/24/2003 9:52,1,1,1         ,1         ,"",0.019,<4>  ,0.088,<4>  ,0.0050,<4>  ,0.0046,<4>  C                   ,0.0096,<4>  ,5.2,<4>  ,
"gtmssnut  ","P",09/24/2003 9:52,1,1,1         ,2         ,"",0.02,<4>  ,0.099,<4>  ,0.0047,<4>  ,0.0044,<4>  C                   ,0.0091,<4>  ,6.1,<4>  ,
"gtmssnut  ","P",10/23/2003 12:00,1,1,1         ,1         ,"",0.029,<4>  ,0.084,<4>  ,0.0031,<4>  ,0.0254,<4>  C                   ,0.0285,<4>  ,4.6,<4>  ,
"gtmssnut  ","P",10/23/2003 12:00,1,1,1         ,2         ,"",0.031,<4>  ,0.086,<4>  ,0.0026,<4>  ,0.0213,<4>  C                   ,0.0239,<4>  ,4.6,<4>  ,
"gtmssnut  ","P",11/24/2003 11:10,1,1,1         ,1         ,"",0.0090,<4>  ,0.047,<4>  ,0.0014,<4>  ,0.0095,<4>  C                   ,0.0109,<4>  ,5.4,<4>  ,
"gtmssnut  ","P",11/24/2003 11:10,1,1,1         ,2         ,"",0.0090,<4>  ,0.041,<4>  ,0.0015,<4>  ,0.0082,<4>  C                   ,0.0097,<4>  ,5.5,<4>  ,
"gtmssnut  ","P",12/11/2003 13:25,1,1,1         ,1         ,"",0.016,<4>  ,0.014,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0065,<4>  ,2.6,<4>  ,
"gtmssnut  ","P",12/11/2003 13:25,1,1,1         ,2         ,"",0.016,<4>  ,0.037,<4>  ,0.0014,<4>  B                   ,"",<4>  C - B               ,0.0057,<4>  ,2.2,<4>  ,

