"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"gtmsswq   ","P",01/01/2015 0:00,0,1,"",17.2,<0> ,49.14,<0> ,32.2,<0> ,90.9,<0> ,7.2,<0> ,4.20,<0> ,4.08,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 0:15,0,1,"",17.2,<0> ,49.16,<0> ,32.2,<0> ,91.4,<0> ,7.3,<0> ,4.22,<0> ,4.10,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 0:30,0,1,"",17.3,<0> ,49.09,<0> ,32.1,<0> ,92.2,<0> ,7.3,<0> ,4.25,<0> ,4.13,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 0:45,0,1,"",17.2,<0> ,49.29,<0> ,32.3,<0> ,92.1,<0> ,7.3,<0> ,4.31,<0> ,4.19,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 1:00,0,1,"",17.2,<0> ,49.33,<0> ,32.3,<0> ,92.0,<0> ,7.3,<0> ,4.39,<0> ,4.27,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 1:15,0,1,"",17.2,<0> ,49.21,<0> ,32.2,<0> ,92.4,<0> ,7.3,<0> ,4.48,<0> ,4.36,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 1:30,0,1,"",17.1,<0> ,49.31,<0> ,32.3,<0> ,92.7,<0> ,7.4,<0> ,4.55,<0> ,4.43,<3> ,"",<-1> ,"","",8.0,<0> ,9,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 1:45,0,1,"",17.1,<0> ,49.47,<0> ,32.4,<0> ,93.0,<0> ,7.4,<0> ,4.63,<0> ,4.51,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 2:00,0,1,"",17.1,<0> ,49.70,<0> ,32.6,<0> ,93.3,<0> ,7.4,<0> ,4.64,<0> ,4.52,<3> ,"",<-1> ,"","",8.0,<0> ,7,<0> ,"",<-1> ,
"gtmsswq   ","P",01/01/2015 2:15,0,1,"",17.0,<0> ,49.95,<0> ,32.8,<0> ,93.7,<0> ,7.4,<0> ,4.79,<0> ,4.67,<3> ,"",<-1> ,"","",8.1,<0> ,8,<0> ,"",<-1> ,
