"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudscwq   ","P",04/09/2008 12:00,0,0,"",16.0,<0> ,0.00,<3> ,0.0,<3> ,103.6,<0> ,10.2,<0> ,0.11,<0> ,"","","",<-1> ,"","",7.2,<3> ,4,<0> ,"",<-2> ,
"hudscwq   ","P",04/09/2008 12:15,0,0,"",16.1,<0> ,0.00,<3> ,0.0,<3> ,103.5,<0> ,10.2,<0> ,0.10,<0> ,"","","",<-1> ,"","",7.3,<2> ,4,<0> ,"",<-2> ,
"hudscwq   ","P",04/09/2008 12:30,0,0,"",16.2,<0> ,0.00,<3> ,0.0,<3> ,103.2,<0> ,10.1,<0> ,0.10,<0> ,"","","",<-1> ,"","",7.2,<3> ,3,<0> ,"",<-2> ,
"hudscwq   ","P",04/09/2008 12:45,0,0,"",16.4,<0> ,0.00,<3> ,0.0,<3> ,102.5,<0> ,10.0,<0> ,0.05,<0> ,"","","",<-1> ,"","",7.2,<3> ,3,<0> ,"",<-2> ,
"hudscwq   ","P",04/09/2008 13:00,0,1,"",12.3,<0> (CND),0.30,<0> (CND),0.2,<0> (CND),130.2,<2> (CDF),13.9,<2> (CDF),0.43,<0> (CND),"","","",<-1> ,"","",8.4,<0> (CND),2,<0> (CND),"",<-1> ,
"hudscwq   ","P",04/09/2008 13:15,0,1,"",12.5,<0> ,0.30,<0> ,0.2,<0> ,135.5,<2> (CDF),14.4,<2> (CDF),0.43,<0> ,"","","",<-1> ,"","",8.6,<0> ,2,<0> ,"",<-1> ,
"hudscwq   ","P",04/09/2008 13:30,0,1,"",12.7,<0> ,0.30,<0> ,0.2,<0> ,136.7,<2> (CDF),14.5,<2> (CDF),0.43,<0> ,"","","",<-1> ,"","",8.6,<0> ,2,<0> ,"",<-1> ,
"hudscwq   ","P",04/09/2008 13:45,0,1,"",12.8,<0> ,0.30,<0> ,0.2,<0> ,136.7,<2> (CDF),14.5,<2> (CDF),0.43,<0> ,"","","",<-1> ,"","",8.6,<0> ,2,<0> ,"",<-1> ,
"hudscwq   ","P",04/09/2008 14:00,0,1,"",13.0,<0> ,0.30,<0> ,0.2,<0> ,136.9,<2> (CDF),14.4,<2> (CDF),0.43,<0> ,"","","",<-1> ,"","",8.6,<0> ,2,<0> ,"",<-1> ,
"hudscwq   ","P",04/09/2008 14:15,0,1,"",13.0,<0> ,0.30,<0> ,0.2,<0> ,136.6,<2> (CDF),14.4,<2> (CDF),0.43,<0> ,"","","",<-1> ,"","",8.6,<0> ,2,<0> ,"",<-1> ,
