"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudskwq   ","P",04/10/2014 11:00,0,1,"",22.9,<0> (CND),0.00,<0> (CND),0.0,<0> (CND),90.3,<0> (CND),7.8,<0> (CND),0.03,<0> (CND),-0.02,<3> ,"",<-1> ,"","",7.6,<0> (CND),2,<0> (CND),0.7,<0> (CND),
"hudskwq   ","P",04/10/2014 11:15,0,1,"",9.0,<0> ,0.36,<0> ,0.2,<0> ,101.8,<0> ,11.8,<0> ,0.37,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,2,<0> ,1.2,<0> ,
"hudskwq   ","P",04/10/2014 11:30,0,1,"",8.9,<0> ,0.36,<0> ,0.2,<0> ,101.4,<0> ,11.7,<0> ,0.37,<0> ,0.33,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,0.9,<0> ,
"hudskwq   ","P",04/10/2014 11:45,0,1,"",8.9,<0> ,0.36,<0> ,0.2,<0> ,101.3,<0> ,11.7,<0> ,0.36,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.1,<0> ,
"hudskwq   ","P",04/10/2014 12:00,0,1,"",9.1,<0> ,0.36,<0> ,0.2,<0> ,101.3,<0> ,11.7,<0> ,0.36,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.0,<0> ,
"hudskwq   ","P",04/10/2014 12:15,0,1,"",9.2,<0> ,0.36,<0> ,0.2,<0> ,101.2,<0> ,11.6,<0> ,0.36,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,0.9,<0> ,
"hudskwq   ","P",04/10/2014 12:30,0,1,"",9.3,<0> ,0.36,<0> ,0.2,<0> ,101.1,<0> ,11.6,<0> ,0.36,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.0,<0> ,
"hudskwq   ","P",04/10/2014 12:45,0,1,"",9.4,<0> ,0.36,<0> ,0.2,<0> ,101.2,<0> ,11.6,<0> ,0.35,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.2,<0> ,
"hudskwq   ","P",04/10/2014 13:00,0,1,"",9.5,<0> ,0.36,<0> ,0.2,<0> ,101.1,<0> ,11.5,<0> ,0.35,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.0,<0> ,
"hudskwq   ","P",04/10/2014 13:15,0,1,"",9.7,<0> ,0.36,<0> ,0.2,<0> ,100.9,<0> ,11.5,<0> ,0.35,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,0.9,<0> ,
"hudskwq   ","P",04/10/2014 13:30,0,1,"",9.8,<0> ,0.36,<0> ,0.2,<0> ,100.9,<0> ,11.4,<0> ,0.34,<0> ,0.31,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.5,<0> ,
"hudskwq   ","P",04/10/2014 13:45,0,1,"",9.9,<0> ,0.36,<0> ,0.2,<0> ,100.7,<0> ,11.4,<0> ,0.34,<0> ,0.32,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,1.0,<0> ,
