"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudtnwq   ","P",04/09/2008 10:45,0,0,"",17.2,<0> ,0.54,<3> ,0.3,<3> ,100.5,<0> ,9.7,<0> ,0.05,<3> ,"","","",<-1> ,"","",6.9,<2> ,20,<0> ,"",<-2> ,
"hudtnwq   ","P",04/09/2008 11:00,0,0,"",17.2,<0> ,0.53,<3> ,0.3,<3> ,100.3,<0> ,9.6,<0> ,0.04,<3> ,"","","",<-1> ,"","",6.9,<2> ,18,<0> ,"",<-2> ,
"hudtnwq   ","P",04/09/2008 11:15,0,0,"",17.2,<0> ,0.53,<3> ,0.3,<3> ,100.4,<0> ,9.7,<0> ,0.05,<3> ,"","","",<-1> ,"","",7.1,<0> ,18,<0> ,"",<-2> ,
"hudtnwq   ","P",04/09/2008 11:30,0,0,"",13.3,<0> ,0.72,<3> ,0.4,<3> ,102.9,<0> ,10.8,<0> ,0.11,<2> ,"","","",<-1> ,"","",6.2,<3> ,11,<0> ,"",<-2> ,
"hudtnwq   ","P",04/09/2008 11:45,0,1,"",9.4,<0> (CND),0.30,<2> (CDF),0.1,<0> (CND),100.5,<0> (CND),11.5,<0> (CND),0.52,<2> (CDF),"","","",<-1> ,"","",7.5,<0> (CND),20,<0> (CND),"",<-1> ,
"hudtnwq   ","P",04/09/2008 12:00,0,1,"",9.0,<0> ,0.30,<2> (CDF),0.2,<3> (CDF),100.1,<0> ,11.6,<0> ,0.56,<2> (CDF),"","","",<-1> ,"","",7.4,<0> ,21,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 12:15,0,1,"",9.0,<0> ,0.30,<2> (CDF),0.1,<0> ,101.1,<0> ,11.7,<0> ,0.61,<0> ,"","","",<-1> ,"","",7.5,<0> ,21,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 12:30,0,1,"",8.5,<0> ,0.30,<2> (CDF),0.1,<0> ,103.6,<0> ,12.1,<0> ,0.67,<0> ,"","","",<-1> ,"","",7.5,<0> ,20,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 12:45,0,1,"",8.1,<0> ,0.30,<2> (CDF),0.1,<0> ,104.6,<0> ,12.3,<0> ,0.74,<0> ,"","","",<-1> ,"","",7.6,<0> ,18,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 13:00,0,1,"",8.1,<0> ,0.30,<2> (CDF),0.1,<0> ,105.1,<0> ,12.4,<0> ,0.82,<0> ,"","","",<-1> ,"","",7.6,<0> ,18,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 13:15,0,1,"",8.2,<0> ,0.30,<2> (CDF),0.1,<0> ,105.4,<0> ,12.4,<0> ,0.91,<0> ,"","","",<-1> ,"","",7.6,<0> ,19,<0> ,"",<-1> ,
"hudtnwq   ","P",04/09/2008 13:30,0,1,"",7.9,<0> ,0.30,<2> (CDF),0.1,<0> ,105.4,<0> ,12.5,<0> ,1.00,<0> ,"","","",<-1> ,"","",7.6,<0> ,17,<0> ,"",<-1> ,
