"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"hudtswq   ","P",04/04/2011 11:30,0,1,"",5.2,<0> (CND),0.24,<0> (CND),0.1,<0> (CND),97.7,<0> (CND),12.4,<0> (CND),2.20,<0> (CND),2.28,<3> ,"",<-1> ,"","",7.7,<0> (CND),9,<0> (CND),1.3,<0> (CND),
"hudtswq   ","P",04/04/2011 11:45,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.8,<0> ,12.4,<0> ,2.37,<1> (CSM),2.46,<1> [GCS],"",<-1> ,"","",7.8,<0> ,9,<0> ,1.6,<0> ,
"hudtswq   ","P",04/04/2011 12:00,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.8,<0> ,12.4,<0> ,2.49,<1> (CSM),2.58,<1> [GCS],"",<-1> ,"","",7.8,<0> ,10,<0> ,1.7,<0> ,
"hudtswq   ","P",04/04/2011 12:15,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.8,<0> ,12.4,<0> ,2.58,<1> (CSM),2.67,<1> [GCS],"",<-1> ,"","",7.8,<0> ,10,<0> ,1.9,<0> ,
"hudtswq   ","P",04/04/2011 12:30,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.7,<0> ,12.4,<0> ,2.67,<1> (CSM),2.76,<1> [GCS],"",<-1> ,"","",7.8,<0> ,10,<0> ,0.8,<0> ,
"hudtswq   ","P",04/04/2011 12:45,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.4,<0> ,12.4,<0> ,2.73,<1> (CSM),2.83,<1> [GCS],"",<-1> ,"","",7.8,<0> ,10,<0> ,1.8,<0> ,
"hudtswq   ","P",04/04/2011 13:00,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.4,<0> ,12.4,<0> ,2.78,<1> (CSM),2.88,<1> [GCS],"",<-1> ,"","",7.8,<0> ,9,<0> ,0.7,<0> ,
"hudtswq   ","P",04/04/2011 13:15,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.5,<0> ,12.4,<0> ,2.83,<1> (CSM),2.93,<1> [GCS],"",<-1> ,"","",7.9,<0> ,9,<0> ,2.4,<0> ,
"hudtswq   ","P",04/04/2011 13:30,0,1,"",5.1,<0> ,0.24,<0> ,0.1,<0> ,97.6,<0> ,12.4,<0> ,2.86,<1> (CSM),2.96,<1> [GCS],"",<-1> ,"","",7.9,<0> ,9,<0> ,1.3,<0> ,
"hudtswq   ","P",04/04/2011 13:45,0,1,"",5.2,<0> ,0.24,<0> ,0.1,<0> ,97.5,<0> ,12.4,<0> ,2.87,<1> (CSM),2.99,<1> [GCS],"",<-1> ,"","",7.9,<0> ,9,<0> ,1.8,<0> ,
