"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"jacb6wq   ","P",01/05/1998 14:00,1,0,"",5.3,<4> ,48.93,<4> ,31.3,<4> ,105.1,<4> ,10.8,<4> ,3.66,<4> ,"","","",<-1> ,"","",7.7,<4> ,13,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 14:30,1,0,"",5.3,<4> ,48.91,<4> ,31.3,<4> ,102.6,<4> ,10.6,<4> ,3.61,<4> ,"","","",<-1> ,"","",7.7,<4> ,10,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 15:00,1,0,"",5.3,<4> ,48.84,<4> ,31.3,<4> ,101.9,<4> ,10.5,<4> ,3.49,<4> ,"","","",<-1> ,"","",7.7,<4> ,18,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 15:30,1,0,"",5.5,<4> ,48.62,<4> ,31.1,<4> ,102.7,<4> ,10.5,<4> ,3.35,<4> ,"","","",<-1> ,"","",7.7,<4> ,18,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 16:00,1,0,"",5.7,<4> ,48.30,<4> ,30.9,<4> ,103.2,<4> ,10.5,<4> ,3.24,<4> ,"","","",<-1> ,"","",7.7,<4> ,15,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 16:30,1,0,"",5.8,<4> ,48.01,<4> ,30.7,<4> ,104.0,<4> ,10.6,<4> ,3.12,<4> ,"","","",<-1> ,"","",7.7,<4> ,14,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 17:00,1,0,"",5.7,<4> ,45.80,<4> ,29.2,<4> ,106.4,<4> ,11.0,<4> ,3.02,<4> ,"","","",<-1> ,"","",7.7,<4> ,12,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 17:30,1,0,"",5.4,<4> ,42.34,<4> ,26.7,<4> ,110.3,<4> ,11.7,<4> ,2.91,<4> ,"","","",<-1> ,"","",7.8,<4> ,10,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 18:00,1,0,"",5.4,<4> ,42.11,<4> ,26.6,<4> ,110.8,<4> ,11.8,<4> ,2.82,<4> ,"","","",<-1> ,"","",7.8,<4> ,8,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 18:30,1,0,"",5.0,<4> ,39.10,<4> ,24.4,<4> ,112.2,<4> ,12.2,<4> ,2.72,<4> ,"","","",<-1> ,"","",7.7,<4> ,9,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 19:00,1,0,"",4.9,<4> ,40.02,<4> ,25.1,<4> ,111.4,<4> ,12.1,<4> ,2.64,<4> ,"","","",<-1> ,"","",7.8,<4> ,9,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 19:30,1,0,"",4.8,<4> ,40.58,<4> ,25.4,<4> ,110.4,<4> ,12.0,<4> ,2.62,<4> ,"","","",<-1> ,"","",7.7,<4> ,6,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 20:00,1,0,"",4.7,<4> ,40.81,<4> ,25.6,<4> ,109.7,<4> ,11.9,<4> ,2.58,<4> ,"","","",<-1> ,"","",7.7,<4> ,5,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 20:30,1,0,"",4.7,<4> ,40.86,<4> ,25.6,<4> ,109.8,<4> ,11.9,<4> ,2.67,<4> ,"","","",<-1> ,"","",7.7,<4> ,4,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 21:00,1,0,"",4.8,<4> ,42.19,<4> ,26.6,<4> ,108.1,<4> ,11.6,<4> ,2.70,<4> ,"","","",<-1> ,"","",7.7,<4> ,4,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 21:30,1,0,"",4.8,<4> ,42.45,<4> ,26.7,<4> ,107.5,<4> ,11.5,<4> ,2.77,<4> ,"","","",<-1> ,"","",7.7,<4> ,4,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 22:00,1,0,"",4.8,<4> ,41.53,<4> ,26.1,<4> ,109.3,<4> ,11.8,<4> ,2.89,<4> ,"","","",<-1> ,"","",7.7,<4> ,24,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 22:30,1,0,"",5.4,<4> ,45.25,<4> ,28.8,<4> ,106.1,<4> ,11.1,<4> ,2.96,<4> ,"","","",<-1> ,"","",7.7,<4> ,16,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 23:00,1,0,"",5.4,<4> ,46.32,<4> ,29.5,<4> ,105.1,<4> ,10.9,<4> ,2.75,<4> ,"","","",<-1> ,"","",7.7,<4> ,15,<4> ,"",<-1> ,
"jacb6wq   ","P",01/05/1998 23:30,1,0,"",5.4,<4> ,46.32,<4> ,29.5,<4> ,104.6,<4> ,10.9,<4> ,3.01,<4> ,"","","",<-1> ,"","",7.7,<4> ,13,<4> ,"",<-1> ,
"jacb6wq   ","P",01/06/1998 0:00,1,0,"",5.4,<4> ,46.64,<4> ,29.7,<4> ,103.4,<4> ,10.7,<4> ,3.15,<4> ,"","","",<-1> ,"","",7.7,<4> ,18,<4> ,"",<-1> ,
