"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"jacbawq   ","P",01/01/2015 0:00,0,1,"",3.5,<0> ,0.31,<0> ,0.2,<0> ,86.1,<0> ,11.4,<0> ,1.52,<0> ,1.43,<3> ,"",<-1> ,"","",5.5,<0> ,13,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 0:15,0,1,"",3.2,<0> ,0.30,<0> ,0.1,<0> ,85.3,<0> ,11.4,<0> ,1.50,<0> ,1.41,<3> ,"",<-1> ,"","",5.4,<0> ,12,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 0:30,0,1,"",3.1,<0> ,0.29,<0> ,0.1,<0> ,85.3,<0> ,11.5,<0> ,1.47,<0> ,1.39,<3> ,"",<-1> ,"","",5.4,<0> ,12,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 0:45,0,1,"",3.0,<0> ,0.28,<0> ,0.1,<0> ,84.7,<0> ,11.4,<0> ,1.45,<0> ,1.37,<3> ,"",<-1> ,"","",5.4,<0> ,11,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 1:00,0,1,"",2.8,<0> ,0.27,<0> ,0.1,<0> ,84.6,<0> ,11.4,<0> ,1.44,<0> ,1.36,<3> ,"",<-1> ,"","",5.3,<0> ,10,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 1:15,0,1,"",2.8,<0> ,0.28,<0> ,0.1,<0> ,84.4,<0> ,11.4,<0> ,1.44,<0> ,1.36,<3> ,"",<-1> ,"","",5.4,<0> ,10,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 1:30,0,1,"",2.6,<0> ,0.25,<0> ,0.1,<0> ,84.2,<0> ,11.5,<0> ,1.46,<0> ,1.38,<3> ,"",<-1> ,"","",5.4,<0> ,10,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 1:45,0,1,"",2.4,<0> ,0.23,<0> ,0.1,<0> ,83.2,<0> ,11.4,<0> ,1.50,<0> ,1.42,<3> ,"",<-1> ,"","",5.3,<0> ,9,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 2:00,0,1,"",2.2,<0> ,0.21,<0> ,0.1,<0> ,83.2,<0> ,11.4,<0> ,1.55,<0> ,1.47,<3> ,"",<-1> ,"","",5.3,<0> ,9,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 2:15,0,1,"",1.9,<0> ,0.23,<0> ,0.1,<0> ,82.7,<0> ,11.5,<0> ,1.60,<0> ,1.52,<3> ,"",<-1> ,"","",5.3,<0> ,9,<0> ,"",<-1> ,
"jacbawq   ","P",01/01/2015 2:30,0,1,"",1.7,<0> ,0.25,<0> ,0.1,<0> ,82.6,<0> ,11.5,<0> ,1.65,<0> ,1.57,<3> ,"",<-1> ,"","",5.4,<0> ,8,<0> ,"",<-1> ,
