"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lksolwq   ","P",05/14/2013 13:45,0,1,"",9.1,<0> (CND),0.12,<0> (CND),0.1,<0> (CND),100.5,<0> (CND),11.6,<0> (CND),0.85,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.9,<0> (CND),10,<0> (CND),"",<-1> ,
"lksolwq   ","P",05/14/2013 14:00,0,1,"",9.2,<0> ,0.13,<0> ,0.1,<0> ,100.7,<0> ,11.6,<0> ,0.91,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,9,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 14:15,0,1,"",9.3,<0> ,0.13,<0> ,0.1,<0> ,101.1,<0> ,11.6,<0> ,0.95,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 14:30,0,1,"",9.3,<0> ,0.12,<0> ,0.1,<0> ,101.1,<0> ,11.6,<0> ,0.95,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 14:45,0,1,"",9.3,<0> ,0.12,<0> ,0.1,<0> ,101.3,<0> ,11.6,<0> ,0.92,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 15:00,0,1,"",9.3,<0> ,0.12,<0> ,0.1,<0> ,101.6,<0> ,11.7,<0> ,0.90,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 15:15,0,1,"",9.5,<0> ,0.13,<0> ,0.1,<0> ,102.3,<0> ,11.7,<0> ,0.90,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 15:30,0,1,"",9.4,<0> ,0.12,<0> ,0.1,<0> ,102.5,<0> ,11.7,<0> ,0.96,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 15:45,0,1,"",9.4,<0> ,0.12,<0> ,0.1,<0> ,102.5,<0> ,11.7,<0> ,1.01,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,9,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 16:00,0,1,"",9.5,<0> ,0.12,<0> ,0.1,<0> ,102.7,<0> ,11.7,<0> ,1.05,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,9,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 16:15,0,1,"",9.6,<0> ,0.12,<0> ,0.1,<0> ,102.5,<0> ,11.7,<0> ,1.06,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 16:30,0,1,"",9.5,<0> ,0.12,<0> ,0.1,<0> ,102.7,<0> ,11.7,<0> ,1.03,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 16:45,0,1,"",9.5,<0> ,0.13,<0> ,0.1,<0> ,102.7,<0> ,11.7,<0> ,0.99,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 17:00,0,1,"",9.6,<0> ,0.13,<0> ,0.1,<0> ,103.3,<0> ,11.8,<0> ,0.98,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 17:15,0,1,"",9.6,<0> ,0.12,<0> ,0.1,<0> ,103.3,<0> ,11.8,<0> ,1.00,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 17:30,0,1,"",9.6,<0> ,0.12,<0> ,0.1,<0> ,103.3,<0> ,11.8,<0> ,1.01,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 17:45,0,1,"",9.6,<0> ,0.12,<0> ,0.1,<0> ,103.5,<0> ,11.8,<0> ,1.00,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 18:00,0,1,"",9.7,<0> ,0.12,<0> ,0.1,<0> ,103.8,<0> ,11.8,<0> ,0.98,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,9,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 18:15,0,1,"",9.7,<0> ,0.13,<0> ,0.1,<0> ,103.9,<0> ,11.8,<0> ,0.95,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 18:30,0,1,"",9.7,<0> ,0.12,<0> ,0.1,<0> ,103.8,<0> ,11.8,<0> ,0.93,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 18:45,0,1,"",9.8,<0> ,0.13,<0> ,0.1,<0> ,104.0,<0> ,11.8,<0> ,0.92,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 19:00,0,1,"",9.8,<0> ,0.12,<0> ,0.1,<0> ,104.0,<0> ,11.8,<0> ,0.89,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,9,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 19:15,0,1,"",9.8,<0> ,0.12,<0> ,0.1,<0> ,103.9,<0> ,11.8,<0> ,0.87,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 19:30,0,1,"",9.7,<0> ,0.12,<0> ,0.1,<0> ,103.6,<0> ,11.8,<0> ,0.87,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 19:45,0,1,"",9.7,<0> ,0.12,<0> ,0.1,<0> ,103.7,<0> ,11.8,<0> ,0.87,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.8,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 20:00,0,1,"",10.0,<0> ,0.13,<0> ,0.1,<0> ,104.6,<0> ,11.8,<0> ,0.85,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.9,<0> ,10,<0> ,"",<-1> ,
"lksolwq   ","P",05/14/2013 20:15,0,1,"",9.8,<0> ,0.13,<0> ,0.1,<0> ,103.8,<0> ,11.8,<0> ,0.82,<1> (CSM),"",<-1> [GCU],"",<-1> ,"","",7.9,<0> ,10,<0> ,"",<-1> ,
