"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lkspowq   ","P",04/30/2014 11:30,0,1,"",1.1,<0> (CND),0.12,<0> (CND),0.1,<0> (CND),94.1,<0> (CND),13.4,<0> (CND),0.48,<5> [SIC] (CSM),0.52,<3> [GCC],"",<-1> ,"","",7.8,<0> (CND),386,<0> (CND),"",<-1> ,
"lkspowq   ","P",04/30/2014 11:45,0,1,"",1.1,<0> ,0.11,<0> ,0.1,<0> ,94.4,<0> ,13.4,<0> ,0.53,<5> [SIC] (CSM),0.57,<3> [GCC],"",<-1> ,"","",7.9,<0> ,374,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 12:00,0,1,"",1.1,<0> ,0.11,<0> ,0.1,<0> ,94.4,<0> ,13.4,<0> ,0.56,<5> [SIC] (CSM),0.60,<3> [GCC],"",<-1> ,"","",7.8,<0> ,378,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 12:15,0,1,"",1.1,<0> ,0.11,<0> ,0.1,<0> ,94.5,<0> ,13.4,<0> ,0.56,<5> [SIC] (CSM),0.60,<3> [GCC],"",<-1> ,"","",7.9,<0> ,321,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 12:30,0,1,"",1.1,<0> ,0.11,<0> ,0.1,<0> ,94.5,<0> ,13.4,<0> ,0.56,<5> [SIC] (CSM),0.59,<3> [GCC],"",<-1> ,"","",7.9,<0> ,426,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 12:45,0,1,"",1.2,<0> ,0.11,<0> ,0.1,<0> ,94.5,<0> ,13.4,<0> ,0.53,<5> [SIC] (CSM),0.56,<3> [GCC],"",<-1> ,"","",7.9,<0> ,301,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 13:00,0,1,"",1.2,<0> ,0.11,<0> ,0.1,<0> ,94.4,<0> ,13.3,<0> ,0.51,<5> [SIC] (CSM),0.54,<3> [GCC],"",<-1> ,"","",7.9,<0> ,307,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 13:15,0,1,"",1.2,<0> ,0.11,<0> ,0.1,<0> ,94.3,<0> ,13.3,<0> ,0.51,<5> [SIC] (CSM),0.54,<3> [GCC],"",<-1> ,"","",7.9,<0> ,286,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 13:30,0,1,"",1.3,<0> ,0.11,<0> ,0.1,<0> ,94.3,<0> ,13.3,<0> ,0.52,<5> [SIC] (CSM),0.55,<3> [GCC],"",<-1> ,"","",7.9,<0> ,308,<0> ,"",<-1> ,
"lkspowq   ","P",04/30/2014 13:45,0,1,"",1.3,<0> ,0.11,<0> ,0.1,<0> ,94.3,<0> ,13.3,<0> ,0.53,<5> [SIC] (CSM),0.56,<3> [GCC],"",<-1> ,"","",7.9,<0> ,355,<0> ,"",<-1> ,
