"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"marcenut  ","P",01/05/2010 11:17,1,1,1         ,"s         ","{CPB} {WH1} {TSL}",0.0131,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0080,<0>  ,0.89,<0> (CSM) ,
"marcenut  ","P",01/05/2010 11:17,1,1,1         ,1         ,"{CPB} {WH1} {TSL}",0.0126,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0079,<0>  ,0.92,<0> (CSM) ,
"marcenut  ","P",01/05/2010 11:23,1,1,1         ,"s         ","{CPB} {WH1} {TSL}",0.0129,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0094,<0>  ,0.63,<0> (CSM) ,
"marcenut  ","P",01/05/2010 11:23,1,1,1         ,2         ,"{CPB} {WH1} {TSL}",0.0137,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0078,<0>  ,0.67,<0> (CSM) ,
"marcenut  ","P",02/02/2010 12:03,1,1,1         ,"s         ","{CFY} {WH4} {TSH}",0.0155,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,1.46,<0>  ,
"marcenut  ","P",02/02/2010 12:03,1,1,1         ,1         ,"{CFY} {WH4} {TSH}",0.0154,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,1.58,<0>  ,
"marcenut  ","P",02/02/2010 12:07,1,1,1         ,"s         ","{CFY} {WH4} {TSH}",0.0165,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,1.73,<0>  ,
"marcenut  ","P",02/02/2010 12:07,1,1,1         ,2         ,"{CFY} {WH4} {TSH}",0.0171,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,1.73,<0>  ,
"marcenut  ","P",03/04/2010 10:30,1,1,1         ,"s         ","{CSP} {WH1} {TSH}",0.0136,<0>  ,0.0011,<0>  ,"","","","",0.0144,<0>  ,2.47,<0> (CSM) ,
"marcenut  ","P",03/04/2010 10:30,1,1,1         ,1         ,"{CSP} {WH1} {TSH}",0.0135,<0>  ,0.0013,<0>  ,"","","","",0.0156,<0>  ,2.68,<0> (CSM) ,
"marcenut  ","P",03/04/2010 10:35,1,1,1         ,"s         ","{CSP} {WH1} {TSH}",0.0132,<0>  ,0.0013,<0>  ,"","","","",0.0146,<0>  ,2.44,<0> (CSM) ,
"marcenut  ","P",03/04/2010 10:35,1,1,1         ,2         ,"{CSP} {WH1} {TSH}",0.0141,<0>  ,0.0014,<0>  ,"","","","",0.0166,<0>  ,2.34,<0> (CSM) ,
"marcenut  ","P",04/19/2010 10:35,1,1,1         ,"s         ","{CPB} {WH1} {TSL}",0.0464,<0>  ,0.0095,<0> (CSM) ,"","","","",0.1437,<0> (CSM) ,1.65,<0>  ,
"marcenut  ","P",04/19/2010 10:35,1,1,1         ,1         ,"{CPB} {WH1} {TSL}",0.0471,<0>  ,0.0097,<0> (CSM) ,"","","","",0.1359,<0> (CSM) ,1.83,<0>  ,
"marcenut  ","P",04/19/2010 10:40,1,1,1         ,"s         ","{CPB} {WH1} {TSL}",0.0471,<0>  ,0.0093,<0> (CSM) ,"","","","",0.1353,<0> (CSM) ,2.12,<0>  ,
"marcenut  ","P",04/19/2010 10:40,1,1,1         ,2         ,"{CPB} {WH1} {TSL}",0.0491,<0>  ,0.0096,<0> (CSM) ,"","","","",0.1307,<0> (CSM) ,2.25,<0>  ,
"marcenut  ","P",05/05/2010 10:12,1,1,1         ,"s         ","{CCL} {WH2} {TSL}",0.0127,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0024,<0>  ,2.19,<0>  ,
"marcenut  ","P",05/05/2010 10:12,1,1,1         ,1         ,"{CCL} {WH2} {TSL}",0.0131,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",6.0E-4,<1> [SRD] ,2.56,<0>  ,
"marcenut  ","P",05/05/2010 10:18,1,1,1         ,"s         ","{CCL} {WH2} {TSL}",0.0153,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0021,<0>  ,2.16,<0>  ,
"marcenut  ","P",05/05/2010 10:18,1,1,1         ,2         ,"{CCL} {WH2} {TSL}",0.0152,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0031,<0>  ,3.67,<0>  ,
"marcenut  ","P",06/01/2010 8:55,1,1,1         ,"s         ","{CSP} {WH1} {TSL}",0.027,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,2.92,<0>  ,
"marcenut  ","P",06/01/2010 8:55,1,1,1         ,1         ,"{CSP} {WH1} {TSL}",0.0258,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0010,<0>  ,3.16,<0>  ,
"marcenut  ","P",06/01/2010 8:59,1,1,1         ,"s         ","{CSP} {WH1} {TSL}",0.0285,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,4.19,<0>  ,
"marcenut  ","P",06/01/2010 8:59,1,1,1         ,2         ,"{CSP} {WH1} {TSL}",0.0288,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0021,<1> [SRD] ,4.11,<0>  ,
"marcenut  ","P",07/06/2010 9:10,1,1,1         ,"s         ","{CSP} {WH0} {TSH}",0.0174,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",4.0E-4,<-4> [SBL] ,4.52,<0>  ,
"marcenut  ","P",07/06/2010 9:10,1,1,1         ,1         ,"{CSP} {WH0} {TSH}",0.0168,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",0.0011,<0>  ,4.48,<0>  ,
"marcenut  ","P",07/06/2010 9:13,1,1,1         ,"s         ","{CSP} {WH0} {TSH}",0.0168,<0>  ,7.0E-4,<-4> [SBL] ,"","","","",5.0E-4,<0>  ,4.15,<0>  ,
