"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"marscnut  ","P",01/06/2011 13:47,1,1,1         ,"s         ","",0.0084,<0>  ,0.0042,<1> [SRD] ,"","","","",4.0E-4,<-4> [SBL] ,5.5,<0> (CSM) ,
"marscnut  ","P",01/06/2011 13:47,1,1,1         ,1         ,"",0.0084,<0>  ,0.0010,<1> [SRD] ,"","","","",4.0E-4,<-4> [SBL] ,5.5,<0> (CSM) ,
"marscnut  ","P",01/06/2011 13:49,1,1,1         ,"s         ","",0.0060,<0>  ,0.0045,<1> [SRD] ,"","","","",4.0E-4,<-4> [SBL] ,4.7,<0> (CSM) ,
"marscnut  ","P",01/06/2011 13:49,1,1,1         ,2         ,"",0.0062,<0>  ,0.0015,<1> [SRD] ,"","","","",4.0E-4,<-4> [SBL] ,4.8,<0> (CSM) ,
"marscnut  ","P",01/18/2011 13:30,1,1,2         ,"s         ","{CHB}",0.0086,<0>  ,0.0102,<0>  ,"","","","",0.0014,<0>  ,5.4,<0>  ,
"marscnut  ","P",01/18/2011 13:30,1,1,2         ,1         ,"{CHB}",0.0138,<0>  ,0.0151,<0>  ,"","","","",0.0056,<0>  ,5.3,<0>  ,
"marscnut  ","P",01/18/2011 15:30,1,1,2         ,"s         ","{CHB}",0.0063,<0>  ,0.0096,<0>  ,"","","","",0.0010,<0>  ,4.7,<0>  ,
"marscnut  ","P",01/18/2011 15:30,1,1,2         ,1         ,"{CHB}",0.0071,<0>  ,0.0090,<0>  ,"","","","",8.0E-4,<0>  ,4.4,<0>  ,
"marscnut  ","P",01/18/2011 17:30,1,1,2         ,"s         ","{CHB}",0.0064,<0>  ,0.0068,<0>  ,"","","","",0.0025,<0>  ,3.8,<0>  ,
"marscnut  ","P",01/18/2011 17:30,1,1,2         ,1         ,"{CHB}",0.0068,<0>  ,0.0092,<0>  ,"","","","",0.0039,<0>  ,4.0,<0>  ,
"marscnut  ","P",01/18/2011 19:30,1,1,2         ,"s         ","{CHB}",0.0055,<0>  ,0.0058,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,4.2,<0>  ,
"marscnut  ","P",01/18/2011 19:30,1,1,2         ,1         ,"{CHB}",0.0049,<0>  ,0.0078,<0>  ,"","","","",0.0016,<0>  ,3.9,<0>  ,
"marscnut  ","P",01/18/2011 21:30,1,1,2         ,"s         ","{CHB}",0.0063,<0>  ,0.0066,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,3.8,<0>  ,
"marscnut  ","P",01/18/2011 21:30,1,1,2         ,1         ,"{CHB}",0.0057,<0>  ,0.0075,<0>  ,"","","","",6.0E-4,<0>  ,4.0,<0>  ,
"marscnut  ","P",01/18/2011 23:30,1,1,2         ,"s         ","{CHB}",0.0054,<0>  ,0.0058,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,3.3,<0>  ,
"marscnut  ","P",01/18/2011 23:30,1,1,2         ,1         ,"{CHB}",0.0048,<0>  ,0.0048,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,3.2,<0>  ,
"marscnut  ","P",01/19/2011 1:30,1,1,2         ,"s         ","{CHB}",0.0055,<0>  ,0.0065,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,3.5,<0>  ,
"marscnut  ","P",01/19/2011 1:30,1,1,2         ,1         ,"{CHB}",0.0056,<0>  ,0.0096,<0>  ,"","","","",4.0E-4,<-4> [SBL] ,3.4,<0>  ,
"marscnut  ","P",01/19/2011 3:30,1,1,2         ,"s         ","{CHB}",0.0065,<0>  ,0.0080,<0>  ,"","","","",0.0012,<0>  ,4.6,<0>  ,
