"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"marscwq   ","P",08/24/2007 8:15,1,1,"",30.5,<0> (CND),48.09,<0> (CND),31.2,<0> (CND),93.8,<0> (CND),5.9,<0> (CND),5.85,<0> (CND),"","","",<-1> ,"","",8.1,<0> (CND),6,<0> (CND),"",<-1> ,
"marscwq   ","P",08/24/2007 8:30,1,1,"",30.5,<0> ,47.86,<0> ,31.0,<0> ,91.7,<0> ,5.8,<0> ,5.88,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 8:45,1,1,"",30.5,<0> ,47.94,<0> ,31.1,<0> ,89.5,<0> ,5.7,<0> ,5.86,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 9:00,1,1,"",30.5,<0> ,48.27,<0> ,31.3,<0> ,87.7,<0> ,5.5,<0> ,5.83,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 9:15,1,1,"",30.5,<0> ,48.28,<0> ,31.3,<0> ,87.4,<0> ,5.5,<0> ,5.84,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 9:30,1,1,"",30.5,<0> ,49.04,<0> ,31.9,<0> ,83.3,<0> ,5.2,<0> ,5.81,<0> ,"","","",<-1> ,"","",8.1,<0> ,7,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 9:45,1,1,"",30.5,<0> ,49.04,<0> ,31.9,<0> ,84.7,<0> ,5.3,<0> ,5.82,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 10:00,1,1,"",30.5,<0> ,49.45,<0> ,32.2,<0> ,82.7,<0> ,5.2,<0> ,5.79,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 10:15,1,1,"",30.5,<0> ,48.88,<0> ,31.8,<0> ,84.1,<0> ,5.3,<0> ,5.79,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 10:30,1,1,"",30.6,<0> ,48.63,<0> ,31.6,<0> ,86.8,<0> ,5.5,<0> ,5.78,<0> ,"","","",<-1> ,"","",8.1,<0> ,4,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 10:45,1,1,"",30.5,<0> ,48.78,<0> ,31.7,<0> ,83.7,<0> ,5.3,<0> ,5.76,<0> ,"","","",<-1> ,"","",8.1,<0> ,8,<0> ,"",<-1> ,
"marscwq   ","P",08/24/2007 11:00,1,1,"",30.5,<0> ,48.83,<0> ,31.7,<0> ,84.3,<0> ,5.3,<0> ,5.76,<0> ,"","","",<-1> ,"","",8.1,<0> ,5,<0> ,"",<-1> ,
