"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"nartbwq   ","P",01/01/2015 0:00,0,1,"",6.7,<0> ,47.95,<0> ,30.8,<0> ,93.1,<0> ,9.3,<0> ,5.55,<0> ,5.48,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 0:15,0,1,"",6.9,<0> ,48.07,<0> ,30.9,<0> ,92.2,<0> ,9.2,<0> ,5.57,<0> ,5.50,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 0:30,0,1,"",7.0,<0> ,48.34,<0> ,31.1,<0> ,92.2,<0> ,9.1,<0> ,5.60,<0> ,5.53,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 0:45,0,1,"",7.0,<0> ,48.27,<0> ,31.1,<0> ,91.5,<0> ,9.1,<0> ,5.65,<0> ,5.59,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 1:00,0,1,"",7.0,<0> ,48.32,<0> ,31.1,<0> ,90.5,<0> ,9.0,<0> ,5.69,<0> ,5.63,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 1:15,0,1,"",7.0,<0> ,48.31,<0> ,31.1,<0> ,90.2,<0> ,8.9,<0> ,5.74,<0> ,5.68,<3> ,"",<-1> ,"","",8.1,<0> ,0,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 1:30,0,1,"",6.9,<0> ,48.22,<0> ,31.0,<0> ,90.9,<0> ,9.0,<0> ,5.79,<0> ,5.73,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 1:45,0,1,"",6.9,<0> ,48.13,<0> ,30.9,<0> ,92.6,<0> ,9.2,<0> ,5.84,<0> ,5.79,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 2:00,0,1,"",6.4,<0> ,47.59,<0> ,30.5,<0> ,93.2,<0> ,9.4,<0> ,5.91,<0> ,5.86,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 2:15,0,1,"",6.8,<0> ,48.09,<0> ,30.9,<0> ,92.4,<0> ,9.2,<0> ,5.97,<0> ,5.92,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 2:30,0,1,"",7.0,<0> ,48.32,<0> ,31.1,<0> ,92.7,<0> ,9.2,<0> ,6.03,<0> ,5.98,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 2:45,0,1,"",7.1,<0> ,48.56,<0> ,31.3,<0> ,92.6,<0> ,9.1,<0> ,6.09,<0> ,6.04,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
"nartbwq   ","P",01/01/2015 3:00,0,1,"",7.1,<0> ,48.57,<0> ,31.3,<0> ,92.4,<0> ,9.1,<0> ,6.14,<0> ,6.09,<3> ,"",<-1> ,"","",8.1,<0> ,1,<0> ,"",<-1> ,
