"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwdcnut  ","P",01/04/2010 4:21,1,1,2         ,1         ,"",0.0075,<0>  ,0.0227,<0>  ,0.0019,<0>  ,0.0045,<0>  ,0.0064,<0>  ,1.61,<0>  ,
"niwdcnut  ","P",01/04/2010 6:25,1,1,2         ,1         ,"",0.0078,<0>  ,0.0216,<0>  ,0.0017,<0>  ,0.0037,<0>  ,0.0054,<0>  ,1.37,<0>  ,
"niwdcnut  ","P",01/04/2010 8:29,1,1,2         ,1         ,"",0.0063,<0>  ,0.0079,<0>  ,0.0011,<0>  ,0.0049,<0>  ,0.0060,<0>  ,1.78,<0>  ,
"niwdcnut  ","P",01/04/2010 10:33,1,1,2         ,1         ,"",0.0048,<0>  ,0.0056,<0>  ,8.0E-4,<0>  ,0.0010,<0>  ,0.0018,<0>  ,2.43,<0>  ,
"niwdcnut  ","P",01/04/2010 12:37,1,1,2         ,1         ,"",0.0050,<0>  ,0.0050,<-4> [SBL] ,8.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0016,<-4> [SBL] ,2.39,<0>  ,
"niwdcnut  ","P",01/04/2010 14:41,1,1,2         ,1         ,"",0.0055,<0>  ,0.0050,<-4> [SBL] ,8.0E-4,<0>  ,8.0E-4,<0>  ,0.0016,<0>  ,1.84,<0>  ,
"niwdcnut  ","P",01/04/2010 16:45,1,1,2         ,1         ,"",0.0064,<0>  ,0.0107,<0>  ,0.0012,<0>  ,0.0022,<0>  ,0.0034,<0>  ,1.7,<0>  ,
"niwdcnut  ","P",01/04/2010 18:49,1,1,2         ,1         ,"",0.0064,<0>  ,0.0241,<0>  ,0.0013,<0>  ,0.0039,<0>  ,0.0052,<0>  ,1.61,<0>  ,
"niwdcnut  ","P",01/04/2010 20:53,1,1,2         ,1         ,"",0.0058,<0>  ,0.0115,<0>  ,9.0E-4,<0>  ,0.0024,<0>  ,0.0033,<0>  ,1.47,<0>  ,
"niwdcnut  ","P",01/04/2010 22:57,1,1,2         ,1         ,"",0.0052,<0>  ,0.0102,<0>  ,8.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0021,<0>  ,2.48,<0>  ,
"niwdcnut  ","P",01/05/2010 1:01,1,1,2         ,1         ,"",0.0052,<0>  ,0.0071,<0>  ,8.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0021,<0>  ,2.29,<0>  ,
