"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"niwolnut  ","P",01/04/2010 4:21,1,1,2         ,1         ,"",0.0123,<0>  ,0.0218,<0>  ,0.0013,<0>  ,0.0028,<0>  ,0.0041,<0>  ,1.67,<0>  ,
"niwolnut  ","P",01/04/2010 6:25,1,1,2         ,1         ,"",0.0132,<0>  ,0.0225,<0>  ,0.0011,<0>  ,0.0032,<0>  ,0.0043,<0>  ,1.38,<0>  ,
"niwolnut  ","P",01/04/2010 8:29,1,1,2         ,1         ,"",0.0086,<0>  ,0.0087,<0>  ,0.0011,<0>  ,0.0056,<0>  ,0.0067,<0>  ,1.65,<0>  ,
"niwolnut  ","P",01/04/2010 10:33,1,1,2         ,1         ,"",0.0056,<0>  ,0.0050,<-4> [SBL] ,8.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0016,<-4> [SBL] ,3.61,<0>  ,
"niwolnut  ","P",01/04/2010 12:37,1,1,2         ,1         ,"",0.0055,<0>  ,0.0053,<0>  ,8.0E-4,<-4> [SBL] ,"",<-4> [SCB] ,0.0016,<-4> [SBL] ,2.62,<0>  ,
"niwolnut  ","P",01/04/2010 14:41,1,1,2         ,1         ,"",0.0067,<0>  ,0.0050,<-4> [SBL] ,8.0E-4,<0>  ,0.0022,<0>  ,0.0030,<0>  ,1.73,<0>  ,
"niwolnut  ","P",01/04/2010 16:45,1,1,2         ,1         ,"",0.0079,<0>  ,0.0117,<0>  ,0.0011,<0>  ,0.0023,<0>  ,0.0034,<0>  ,1.78,<0>  ,
"niwolnut  ","P",01/04/2010 18:49,1,1,2         ,1         ,"",0.0104,<0>  ,0.0146,<0>  ,0.0011,<0>  ,0.0020,<0>  ,0.0031,<0>  ,1.58,<0>  ,
"niwolnut  ","P",01/04/2010 20:53,1,1,2         ,1         ,"",0.0080,<0>  ,0.0089,<0>  ,9.0E-4,<0>  ,0.0021,<0>  ,0.0030,<0>  ,1.45,<0>  ,
"niwolnut  ","P",01/04/2010 22:57,1,1,2         ,1         ,"",0.0059,<0>  ,0.0050,<-4> [SBL] ,8.0E-4,<0>  ,0.0010,<0>  ,0.0018,<0>  ,2.51,<0>  ,
"niwolnut  ","P",01/05/2010 1:01,1,1,2         ,1         ,"",0.0061,<0>  ,0.0050,<0>  ,8.0E-4,<0>  ,0.0014,<0>  ,0.0022,<0>  ,2.02,<0>  ,
"niwolnut  ","P",01/05/2010 3:05,1,1,2         ,1         ,"",0.0068,<0>  ,0.0067,<0>  ,9.0E-4,<0>  ,0.0013,<0>  ,0.0022,<0>  ,1.25,<0>  ,
"niwolnut  ","P",01/05/2010 5:09,1,1,2         ,1         ,"",0.0102,<0>  ,0.0177,<0>  ,0.0015,<0>  ,0.0017,<0>  ,0.0032,<0>  ,1.7,<0>  ,
