"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"owcwmwq   ","P",03/31/2014 13:30,0,1,"",8.9,<0> (CND),0.61,<0> (CND),0.3,<0> (CND),98.4,<0> (CND),11.4,<0> (CND),0.17,<0> (CND),"","","",<-1> ,"","",8.1,<0> (CND),32,<0> (CND),"",<-1> ,
"owcwmwq   ","P",03/31/2014 13:45,0,1,"",8.1,<0> ,0.60,<0> ,0.3,<0> ,109.8,<0> ,13.0,<0> ,0.18,<0> ,"","","",<-1> ,"","",7.9,<0> ,55,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 14:00,0,1,"",8.5,<0> ,0.60,<0> ,0.3,<0> ,110.2,<0> ,12.9,<0> ,0.15,<0> ,"","","",<-1> ,"","",7.9,<0> ,56,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 14:15,0,1,"",8.7,<0> ,0.60,<0> ,0.3,<0> ,111.4,<0> ,13.0,<0> ,0.17,<0> ,"","","",<-1> ,"","",8.0,<0> ,56,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 14:30,0,1,"",9.0,<0> ,0.59,<0> ,0.3,<0> ,113.3,<0> ,13.1,<0> ,0.15,<0> ,"","","",<-1> ,"","",8.0,<0> ,59,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 14:45,0,1,"",9.4,<0> ,0.59,<0> ,0.3,<0> ,114.6,<0> ,13.1,<0> ,0.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,65,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 15:00,0,1,"",9.3,<0> ,0.59,<0> ,0.3,<0> ,114.3,<0> ,13.1,<0> ,0.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,66,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 15:15,0,1,"",9.2,<0> ,0.59,<0> ,0.3,<0> ,115.1,<0> ,13.2,<0> ,0.17,<0> ,"","","",<-1> ,"","",8.0,<0> ,64,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 15:30,0,1,"",9.2,<0> ,0.58,<0> ,0.3,<0> ,116.2,<0> ,13.4,<0> ,0.17,<0> ,"","","",<-1> ,"","",8.0,<0> ,60,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 15:45,0,1,"",8.9,<0> ,0.57,<0> ,0.3,<0> ,114.5,<0> ,13.2,<0> ,0.16,<0> ,"","","",<-1> ,"","",8.0,<0> ,59,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 16:00,0,1,"",9.4,<0> ,0.57,<0> ,0.3,<0> ,115.8,<0> ,13.2,<0> ,0.19,<0> ,"","","",<-1> ,"","",8.0,<0> ,64,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 16:15,0,1,"",8.5,<0> ,0.57,<0> ,0.3,<0> ,111.8,<0> ,13.1,<0> ,0.19,<0> ,"","","",<-1> ,"","",7.9,<0> ,54,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 16:30,0,1,"",9.0,<0> ,0.57,<0> ,0.3,<0> ,114.7,<0> ,13.2,<0> ,0.20,<0> ,"","","",<-1> ,"","",8.0,<0> ,65,<0> ,"",<-1> ,
"owcwmwq   ","P",03/31/2014 16:45,0,1,"",9.2,<0> ,0.57,<0> ,0.3,<0> ,116.2,<0> ,13.4,<0> ,0.19,<0> ,"","","",<-1> ,"","",8.0,<0> ,62,<0> ,"",<-1> ,
