"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"rkbfuwq   ","P",01/01/2015 0:00,0,1,"",24.4,<0> ,48.61,<0> ,31.7,<0> ,78.1,<0> ,5.4,<0> ,1.16,<0> ,1.07,<3> ,"",<-1> ,"","",7.8,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 0:15,0,1,"",24.5,<0> ,48.71,<0> ,31.8,<0> ,80.5,<0> ,5.6,<0> ,1.13,<0> ,1.04,<3> ,"",<-1> ,"","",7.8,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 0:30,0,1,"",24.5,<0> ,48.57,<0> ,31.7,<0> ,78.1,<0> ,5.4,<0> ,1.11,<0> ,1.02,<3> ,"",<-1> ,"","",7.8,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 0:45,0,1,"",24.4,<0> ,48.31,<0> ,31.5,<0> ,79.2,<0> ,5.5,<0> ,1.07,<0> ,0.98,<3> ,"",<-1> ,"","",7.8,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 1:00,0,1,"",24.4,<0> ,47.94,<0> ,31.2,<0> ,80.5,<0> ,5.6,<0> ,1.03,<0> ,0.94,<3> ,"",<-1> ,"","",7.8,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 1:15,0,1,"",24.4,<0> ,47.60,<0> ,31.0,<0> ,79.2,<0> ,5.6,<0> ,1.00,<0> ,0.91,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 1:30,0,1,"",24.4,<0> ,47.51,<0> ,30.9,<0> ,77.1,<0> ,5.4,<0> ,0.96,<0> ,0.87,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 1:45,0,1,"",24.4,<0> ,47.27,<0> ,30.8,<0> ,75.5,<0> ,5.3,<0> ,0.92,<0> ,0.84,<3> ,"",<-1> ,"","",7.7,<0> ,5,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 2:00,0,1,"",24.4,<0> ,47.11,<0> ,30.6,<0> ,75.5,<0> ,5.3,<0> ,0.88,<0> ,0.80,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 2:15,0,1,"",24.4,<0> ,46.96,<0> ,30.5,<0> ,75.8,<0> ,5.3,<0> ,0.84,<0> ,0.76,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 2:30,0,1,"",24.4,<0> ,46.74,<0> ,30.4,<0> ,75.3,<0> ,5.3,<0> ,0.81,<0> ,0.73,<3> ,"",<-1> ,"","",7.7,<0> ,4,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 2:45,0,1,"",24.4,<0> ,46.29,<0> ,30.0,<0> ,75.0,<0> ,5.3,<0> ,0.77,<0> ,0.69,<3> ,"",<-1> ,"","",7.7,<0> ,3,<0> ,"",<-1> ,
"rkbfuwq   ","P",01/01/2015 3:00,0,1,"",24.3,<0> ,44.62,<0> ,28.8,<0> ,72.6,<0> ,5.2,<0> ,0.73,<0> ,0.65,<3> ,"",<-1> ,"","",7.7,<0> ,2,<0> ,"",<-1> ,
