"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"rkbhcmet  ","P",01/01/2007 0:00,0,0,15,"",21.0,<0> ,91,<0> ,1021,<0> ,2.2,<0> ,"",<-1> ,"",80,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 0:15,0,0,15,"",20.8,<0> ,92,<0> ,1021,<0> ,2.0,<0> ,"",<-1> ,"",82,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 0:30,0,0,15,"",20.7,<0> ,92,<0> ,1021,<0> ,1.9,<0> ,"",<-1> ,"",83,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 0:45,0,0,15,"",20.6,<0> ,92,<0> ,1021,<0> ,1.6,<0> ,"",<-1> ,"",80,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 1:00,0,0,15,"",20.5,<0> ,93,<0> ,1021,<0> ,1.4,<0> ,"",<-1> ,"",72,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 1:15,0,0,15,"",20.3,<0> ,93,<0> ,1020,<0> ,1.4,<0> ,"",<-1> ,"",66,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 1:30,0,0,15,"",20.1,<0> ,93,<0> ,1020,<0> ,1.8,<0> ,"",<-1> ,"",88,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 1:45,0,0,15,"",19.9,<0> ,94,<0> ,1020,<0> ,1.9,<0> ,"",<-1> ,"",87,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 2:00,0,0,15,"",19.9,<0> ,94,<0> ,1020,<0> ,1.9,<0> ,"",<-1> ,"",85,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 2:15,0,0,15,"",19.8,<0> ,95,<0> ,1020,<0> ,2.3,<0> ,"",<-1> ,"",98,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 2:30,0,0,15,"",19.9,<0> ,95,<0> ,1020,<0> ,2.2,<0> ,"",<-1> ,"",96,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 2:45,0,0,15,"",20.0,<0> ,95,<0> ,1020,<0> ,2.1,<0> ,"",<-1> ,"",93,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 3:00,0,0,15,"",20.1,<0> ,95,<0> ,1020,<0> ,2.2,<0> ,"",<-1> ,"",97,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 3:15,0,0,15,"",20.1,<0> ,95,<0> ,1020,<0> ,2.0,<0> ,"",<-1> ,"",102,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 3:30,0,0,15,"",20.1,<0> ,95,<0> ,1020,<0> ,2.0,<0> ,"",<-1> ,"",97,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 3:45,0,0,15,"",20.0,<0> ,95,<0> ,1020,<0> ,2.2,<0> ,"",<-1> ,"",98,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 4:00,0,0,15,"",20.0,<0> ,96,<0> ,1019,<0> ,2.1,<0> ,"",<-1> ,"",85,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 4:15,0,0,15,"",19.9,<0> ,96,<0> ,1019,<0> ,2.1,<0> ,"",<-1> ,"",89,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 4:30,0,0,15,"",19.9,<0> ,96,<0> ,1019,<0> ,1.9,<0> ,"",<-1> ,"",92,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
"rkbhcmet  ","P",01/01/2007 4:45,0,0,15,"",19.8,<0> ,96,<0> ,1019,<0> ,1.9,<0> ,"",<-1> ,"",90,<0> ,"","",0.0,<0> ,0.0,<0> ,"",<-1> ,
