"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"rkblhnut  ","P",01/07/2003 10:00,1,1,2         ,1         ,"",0.0090,<4>  ,0.034,<4>  ,0.0020,<4>  ,0.012,<4>  C                   ,0.014,<4>  ,1.55,<4>  ,
"rkblhnut  ","P",01/07/2003 12:30,1,1,2         ,1         ,"",0.0050,<4>  ,0.028,<4>  ,0.0020,<4>  ,0.01,<4>  C                   ,0.012,<4>  ,3.1,<4>  ,
"rkblhnut  ","P",01/07/2003 15:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.022,<4>  ,0.0020,<4>  ,0.01,<4>  C                   ,0.012,<4>  ,2.0,<4>  ,
"rkblhnut  ","P",01/07/2003 17:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.02,<4>  ,0.0020,<4>  ,0.01,<4>  C                   ,0.012,<4>  ,1.43,<4>  ,
"rkblhnut  ","P",01/07/2003 20:00,1,1,2         ,1         ,"",0.0040,<4>  ,0.027,<4>  ,0.0020,<4>  ,0.0090,<4>  C                   ,0.011,<4>  ,1.46,<4>  ,
"rkblhnut  ","P",01/07/2003 22:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.024,<4>  ,0.0020,<4>  ,0.0090,<4>  C                   ,0.011,<4>  ,1.27,<4>  ,
"rkblhnut  ","P",01/08/2003 0:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.03,<4>  ,0.0020,<4>  ,0.0090,<4>  C                   ,0.011,<4>  ,1.48,<4>  ,
"rkblhnut  ","P",01/08/2003 2:30,1,1,2         ,1         ,"",0.0050,<4>  ,0.028,<4>  ,0.0020,<4>  ,0.0080,<4>  C                   ,0.01,<4>  ,0.96,<4>  ,
"rkblhnut  ","P",01/08/2003 5:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.021,<4>  ,0.0020,<4>  ,0.011,<4>  C                   ,0.013,<4>  ,0.99,<4>  ,
"rkblhnut  ","P",01/08/2003 7:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.033,<4>  ,0.0020,<4>  ,0.01,<4>  C                   ,0.012,<4>  ,1.1,<4>  ,
"rkblhnut  ","P",01/21/2003 14:50,1,1,1         ,2         ,"",0.0070,<4>  ,0.025,<4>  ,0.0020,<4>  ,0.0060,<4>  C                   ,0.0080,<4>  ,1.64,<4>  ,
"rkblhnut  ","P",01/21/2003 14:50,1,1,1         ,1         ,"",0.0060,<4>  ,0.032,<4>  ,0.0020,<4>  ,0.0060,<4>  C                   ,0.0080,<4>  ,1.04,<4>  ,
"rkblhnut  ","P",02/04/2003 9:00,1,1,2         ,1         ,"",0.0030,<4>  ,0.023,<4>  ,0.0010,<4>  ,0.0030,<4>  C                   ,0.0040,<4>  ,1.01,<4>  ,
"rkblhnut  ","P",02/04/2003 11:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.043,<4>  ,0.0020,<4>  ,0.0030,<4>  C                   ,0.0050,<4>  ,2.05,<4>  ,
"rkblhnut  ","P",02/04/2003 14:00,1,1,2         ,1         ,"",0.0070,<4>  ,0.022,<4>  ,0.0010,<4>  ,0.0030,<4>  C                   ,0.0040,<4>  ,1.83,<4>  ,
"rkblhnut  ","P",02/04/2003 16:30,1,1,2         ,1         ,"",0.0030,<4>  ,0.0060,<4>  ,0.0010,<4>  ,0.0030,<4>  C                   ,0.0040,<4>  ,1.52,<4>  ,
"rkblhnut  ","P",02/04/2003 19:00,1,1,2         ,1         ,"",0.0030,<4>  ,0.013,<4>  ,0.0010,<4>  ,0.0020,<4>  C                   ,0.0030,<4>  ,1.74,<4>  ,
"rkblhnut  ","P",02/04/2003 21:30,1,1,2         ,1         ,"",0.0040,<4>  ,0.027,<4>  ,0.0010,<4>  ,0.0020,<4>  C                   ,0.0030,<4>  ,1.46,<4>  ,
"rkblhnut  ","P",02/05/2003 0:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.032,<4>  ,0.0010,<4>  ,0.0030,<4>  C                   ,0.0040,<4>  ,0.67,<4>  ,
"rkblhnut  ","P",02/05/2003 2:30,1,1,2         ,1         ,"",0.0040,<4>  ,0.039,<4>  ,0.0010,<4>  ,0.0070,<4>  C                   ,0.0080,<4>  ,0.86,<4>  ,
"rkblhnut  ","P",02/05/2003 5:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.026,<4>  ,0.0010,<4>  ,0.0030,<4>  C                   ,0.0040,<4>  ,1.12,<4>  ,
