"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"rkbmbnut  ","P",01/06/2011 11:15,0,1,1         ,1         ,"",0.026,<0>  ,0.012,<-4> [SBL] (CSM) ,0.0020,<-4> [SBL] ,0.021,<0>  ,0.023,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",01/06/2011 11:42,0,1,1         ,2         ,"",0.026,<0>  ,0.012,<-4> [SBL] (CSM) ,0.0020,<0>  ,0.019,<0>  ,0.021,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",02/03/2011 11:50,0,1,1         ,1         ,"",0.045,<0>  ,0.14,<0>  ,0.0020,<-4> [SBL] ,0.013,<0>  ,0.015,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",02/03/2011 11:55,0,1,1         ,2         ,"",0.046,<0>  ,0.13,<0>  ,0.0020,<-4> [SBL] ,0.017,<0>  ,0.019,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",03/03/2011 10:51,0,1,1         ,1         ,"",0.018,<0>  ,0.15,<0>  ,0.0020,<0>  ,0.013,<0>  ,0.015,<0>  ,5.3,<0>  ,
"rkbmbnut  ","P",03/03/2011 10:56,0,1,1         ,2         ,"",0.015,<0>  ,0.14,<0>  ,0.0020,<-4> [SBL] ,0.013,<0>  ,0.015,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",04/07/2011 9:15,0,1,1         ,1         ,"",0.034,<0>  ,0.23,<0>  ,0.0080,<0>  ,0.047,<0>  ,0.055,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",04/07/2011 9:45,0,1,1         ,2         ,"",0.035,<0>  ,0.22,<0>  ,0.0080,<0>  ,0.044,<0>  ,0.052,<0>  ,3.0,<-4> [SBL] ,
"rkbmbnut  ","P",05/05/2011 9:32,0,1,1         ,1         ,"",0.012,<0>  ,0.12,<0>  ,0.0030,<0>  ,0.012,<0>  ,0.015,<0>  ,12.5,<0>  ,
"rkbmbnut  ","P",05/05/2011 9:37,0,1,1         ,2         ,"",0.0090,<0>  ,0.12,<0>  ,0.0030,<0>  ,0.0090,<0>  ,0.012,<0>  ,11.9,<0>  ,
"rkbmbnut  ","P",06/02/2011 8:38,0,1,1         ,1         ,"",0.012,<0>  ,0.172,<0>  ,0.0050,<0>  ,0.014,<0>  ,0.019,<0>  ,9.7,<0>  ,
"rkbmbnut  ","P",06/02/2011 8:43,0,1,1         ,2         ,"",0.012,<0>  ,0.166,<0>  ,0.0040,<0>  ,0.015,<0>  ,0.019,<0>  ,10.1,<0>  ,
"rkbmbnut  ","P",07/11/2011 8:20,0,1,1         ,1         ,"",0.03,<0>  ,0.17,<0>  ,0.01,<0>  ,0.036,<0>  ,0.046,<0>  ,0.8,<0>  ,
"rkbmbnut  ","P",07/11/2011 8:22,0,1,1         ,2         ,"",0.031,<0>  ,0.18,<0>  ,0.01,<0>  ,0.037,<0>  ,0.047,<0>  ,1.1,<0>  ,
"rkbmbnut  ","P",08/03/2011 7:48,0,1,1         ,1         ,"",0.023,<0>  ,0.18,<0>  ,0.0040,<0>  ,0.014,<0>  ,0.018,<0>  ,3.1,<0>  ,
"rkbmbnut  ","P",08/03/2011 7:53,0,1,1         ,2         ,"",0.019,<0>  ,0.18,<0>  ,0.0030,<0>  ,0.015,<0>  ,0.018,<0>  ,3.3,<0>  ,
"rkbmbnut  ","P",09/01/2011 8:00,0,1,1         ,1         ,"",0.036,<0>  ,0.23,<0>  ,0.0060,<0>  ,0.031,<0>  ,0.037,<0>  ,1.2,<0>  ,
"rkbmbnut  ","P",09/01/2011 8:04,0,1,1         ,2         ,"",0.036,<0>  ,0.22,<0>  ,0.0060,<0>  ,0.031,<0>  ,0.037,<0>  ,0.6,<0>  ,
"rkbmbnut  ","P",10/06/2011 8:21,0,1,1         ,1         ,"",0.032,<0>  ,0.24,<0>  ,0.0060,<0>  ,0.044,<0>  ,0.05,<0>  ,1.2,<0>  ,
"rkbmbnut  ","P",10/06/2011 8:24,0,1,1         ,2         ,"",0.032,<0>  ,0.21,<0>  ,0.0070,<0>  ,0.042,<0>  ,0.049,<0>  ,2.2,<0>  ,
"rkbmbnut  ","P",11/03/2011 8:12,0,1,1         ,1         ,"",0.029,<0>  ,0.138,<0>  ,0.0070,<0>  ,0.05,<1> (CSM) ,0.057,<1> (CSM) ,1.8,<0>  ,
"rkbmbnut  ","P",11/03/2011 8:18,0,1,1         ,2         ,"",0.03,<0>  ,0.129,<0>  ,0.0050,<0>  ,0.05,<1> (CSM) ,0.055,<1> (CSM) ,1.2,<0>  ,
"rkbmbnut  ","P",12/01/2011 9:07,0,1,1         ,1         ,"",0.028,<0>  ,0.12,<0>  ,0.0030,<0>  ,0.026,<0>  ,0.029,<0>  ,0.8,<0>  ,
"rkbmbnut  ","P",12/01/2011 9:13,0,1,1         ,2         ,"",0.031,<0>  ,0.12,<0>  ,0.0030,<0>  ,0.023,<0>  ,0.026,<0>  ,0.8,<0>  ,

