"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"sapcawq   ","P",01/01/2015 0:00,0,1,"",13.2,<0> ,49.33,<0> ,32.2,<0> ,79.4,<0> ,6.8,<0> ,1.86,<0> ,1.72,<3> ,"",<-1> ,"","",8.4,<0> ,10,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 0:15,0,1,"",13.5,<0> ,49.31,<0> ,32.2,<0> ,83.9,<0> ,7.2,<0> ,1.96,<0> ,1.82,<3> ,"",<-1> ,"","",8.5,<0> ,10,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 0:30,0,1,"",13.8,<0> ,49.31,<0> ,32.2,<0> ,87.7,<0> ,7.4,<0> ,2.09,<0> ,1.95,<3> ,"",<-1> ,"","",8.5,<0> ,15,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 0:45,0,1,"",13.7,<0> ,49.39,<0> ,32.3,<0> ,89.0,<0> ,7.6,<0> ,2.22,<0> ,2.08,<3> ,"",<-1> ,"","",8.5,<0> ,16,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 1:00,0,1,"",13.4,<0> ,49.45,<0> ,32.3,<0> ,93.0,<0> ,8.0,<0> ,2.36,<0> ,2.22,<3> ,"",<-1> ,"","",8.6,<0> ,31,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 1:15,0,1,"",13.2,<0> ,49.45,<0> ,32.3,<0> ,96.3,<0> ,8.3,<0> ,2.53,<0> ,2.39,<3> ,"",<-1> ,"","",8.6,<0> ,41,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 1:30,0,1,"",13.2,<0> ,49.41,<0> ,32.3,<0> ,96.9,<0> ,8.3,<0> ,2.67,<0> ,2.53,<3> ,"",<-1> ,"","",8.7,<0> ,44,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 1:45,0,1,"",13.1,<0> ,49.20,<0> ,32.1,<0> ,96.9,<0> ,8.3,<0> ,2.84,<0> ,2.70,<3> ,"",<-1> ,"","",8.7,<0> ,44,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 2:00,0,1,"",13.1,<0> ,49.09,<0> ,32.0,<0> ,96.9,<0> ,8.3,<0> ,2.99,<0> ,2.85,<3> ,"",<-1> ,"","",8.7,<0> ,43,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 2:15,0,1,"",13.2,<0> ,49.03,<0> ,32.0,<0> ,96.8,<0> ,8.3,<0> ,3.14,<0> ,3.00,<3> ,"",<-1> ,"","",8.7,<0> ,41,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 2:30,0,1,"",13.2,<0> ,49.01,<0> ,32.0,<0> ,96.6,<0> ,8.3,<0> ,3.29,<0> ,3.15,<3> ,"",<-1> ,"","",8.7,<0> ,42,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 2:45,0,1,"",13.2,<0> ,49.02,<0> ,32.0,<0> ,96.7,<0> ,8.3,<0> ,3.41,<0> ,3.27,<3> ,"",<-1> ,"","",8.7,<0> ,45,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 3:00,0,1,"",13.2,<0> ,49.08,<0> ,32.0,<0> ,96.8,<0> ,8.3,<0> ,3.52,<0> ,3.38,<3> ,"",<-1> ,"","",8.7,<0> ,46,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 3:15,0,1,"",13.2,<0> ,49.21,<0> ,32.1,<0> ,97.0,<0> ,8.3,<0> ,3.63,<0> ,3.49,<3> ,"",<-1> ,"","",8.7,<0> ,49,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 3:30,0,1,"",13.3,<0> ,49.38,<0> ,32.3,<0> ,97.1,<0> ,8.3,<0> ,3.72,<0> ,3.58,<3> ,"",<-1> ,"","",8.7,<0> ,51,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 3:45,0,1,"",13.4,<0> ,49.56,<0> ,32.4,<0> ,97.3,<0> ,8.3,<0> ,3.78,<0> ,3.64,<3> ,"",<-1> ,"","",8.7,<0> ,59,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 4:00,0,1,"",13.4,<0> ,49.76,<0> ,32.5,<0> ,97.6,<0> ,8.3,<0> ,3.86,<0> ,3.72,<3> ,"",<-1> ,"","",8.7,<0> ,61,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 4:15,0,1,"",13.4,<0> ,49.90,<0> ,32.6,<0> ,98.0,<0> ,8.4,<0> ,3.93,<0> ,3.79,<3> ,"",<-1> ,"","",8.7,<0> ,55,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 4:30,0,1,"",13.4,<0> ,50.04,<0> ,32.7,<0> ,98.1,<0> ,8.4,<0> ,3.97,<0> ,3.83,<3> ,"",<-1> ,"","",8.7,<0> ,49,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 4:45,0,1,"",13.4,<0> ,50.11,<0> ,32.8,<0> ,98.3,<0> ,8.4,<0> ,3.98,<0> ,3.84,<3> ,"",<-1> ,"","",8.7,<0> ,41,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 5:00,0,1,"",13.4,<0> ,50.12,<0> ,32.8,<0> ,98.4,<0> ,8.4,<0> ,3.99,<0> ,3.85,<3> ,"",<-1> ,"","",8.7,<0> ,38,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 5:15,0,1,"",13.4,<0> ,50.13,<0> ,32.8,<0> ,98.2,<0> ,8.4,<0> ,3.96,<0> ,3.83,<3> ,"",<-1> ,"","",8.7,<0> ,35,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 5:30,0,1,"",13.3,<0> ,50.13,<0> ,32.8,<0> ,97.9,<0> ,8.4,<0> ,3.94,<0> ,3.81,<3> ,"",<-1> ,"","",8.7,<0> ,33,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 5:45,0,1,"",13.3,<0> ,50.11,<0> ,32.8,<0> ,96.2,<0> ,8.2,<0> ,3.88,<0> ,3.75,<3> ,"",<-1> ,"","",8.7,<0> ,33,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 6:00,0,1,"",13.3,<0> ,50.11,<0> ,32.8,<0> ,97.5,<0> ,8.3,<0> ,3.81,<0> ,3.68,<3> ,"",<-1> ,"","",8.7,<0> ,36,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 6:15,0,1,"",13.3,<0> ,50.08,<0> ,32.8,<0> ,97.1,<0> ,8.3,<0> ,3.74,<0> ,3.61,<3> ,"",<-1> ,"","",8.7,<0> ,34,<0> ,"",<-1> ,
"sapcawq   ","P",01/01/2015 6:30,0,1,"",13.3,<0> ,50.03,<0> ,32.7,<0> ,96.2,<0> ,8.2,<0> ,3.64,<0> ,3.50,<3> ,"",<-1> ,"","",8.7,<0> ,38,<0> ,"",<-1> ,
