"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"sapldwq   ","P",01/01/2015 0:00,0,1,"",14.6,<0> ,41.39,<0> ,26.6,<0> ,85.0,<0> ,7.3,<0> ,2.63,<0> ,2.49,<3> ,"",<-1> ,"","",8.0,<0> ,4,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 0:15,0,1,"",14.5,<0> ,40.84,<0> ,26.2,<0> ,86.2,<0> ,7.5,<0> ,2.73,<0> ,2.59,<3> ,"",<-1> ,"","",8.0,<0> ,8,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 0:30,0,1,"",14.4,<0> ,38.85,<0> ,24.8,<0> ,86.5,<0> ,7.6,<0> ,2.85,<0> ,2.71,<3> ,"",<-1> ,"","",8.0,<0> ,17,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 0:45,0,1,"",14.5,<0> ,40.44,<0> ,25.9,<0> ,86.8,<0> ,7.6,<0> ,2.98,<0> ,2.84,<3> ,"",<-1> ,"","",8.0,<0> ,21,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 1:00,0,1,"",14.6,<0> ,41.81,<0> ,26.9,<0> ,86.9,<0> ,7.5,<0> ,3.12,<0> ,2.98,<3> ,"",<-1> ,"","",8.0,<0> ,114,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 1:15,0,1,"",14.6,<0> ,42.64,<0> ,27.4,<0> ,88.3,<0> ,7.6,<0> ,3.28,<0> ,3.14,<3> ,"",<-1> ,"","",8.1,<0> ,42,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 1:30,0,1,"",14.6,<0> ,42.55,<0> ,27.4,<0> ,88.0,<0> ,7.6,<0> ,3.43,<0> ,3.29,<3> ,"",<-1> ,"","",8.1,<0> ,34,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 1:45,0,1,"",14.6,<0> ,42.25,<0> ,27.2,<0> ,87.8,<0> ,7.6,<0> ,3.58,<0> ,3.44,<3> ,"",<-1> ,"","",8.0,<0> ,52,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 2:00,0,1,"",14.6,<0> ,41.93,<0> ,26.9,<0> ,87.9,<0> ,7.6,<0> ,3.74,<0> ,3.60,<3> ,"",<-1> ,"","",8.1,<0> ,70,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 2:15,0,1,"",14.6,<0> ,42.41,<0> ,27.3,<0> ,88.5,<0> ,7.6,<0> ,3.89,<0> ,3.75,<3> ,"",<-1> ,"","",8.1,<0> ,94,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 2:30,0,1,"",14.6,<0> ,43.22,<0> ,27.9,<0> ,89.0,<0> ,7.6,<0> ,4.03,<0> ,3.89,<3> ,"",<-1> ,"","",8.1,<0> ,138,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 2:45,0,1,"",14.5,<0> ,44.81,<0> ,29.0,<0> ,90.3,<0> ,7.7,<0> ,4.16,<0> ,4.02,<3> ,"",<-1> ,"","",8.1,<0> ,155,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 3:00,0,1,"",14.4,<0> ,45.31,<0> ,29.3,<0> ,90.9,<0> ,7.8,<0> ,4.29,<0> ,4.15,<3> ,"",<-1> ,"","",8.2,<0> ,113,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 3:15,0,1,"",14.4,<0> ,45.18,<0> ,29.3,<0> ,91.1,<0> ,7.8,<0> ,4.40,<0> ,4.26,<3> ,"",<-1> ,"","",8.2,<0> ,71,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 3:30,0,1,"",14.3,<0> ,45.16,<0> ,29.2,<0> ,91.2,<0> ,7.8,<0> ,4.49,<0> ,4.35,<3> ,"",<-1> ,"","",8.2,<0> ,237,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 3:45,0,1,"",14.2,<0> ,45.63,<0> ,29.6,<0> ,92.0,<0> ,7.9,<0> ,4.57,<0> ,4.43,<3> ,"",<-1> ,"","",8.2,<0> ,226,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 4:00,0,1,"",14.1,<0> ,46.27,<0> ,30.0,<0> ,92.9,<0> ,7.9,<0> ,4.64,<0> ,4.50,<3> ,"",<-1> ,"","",8.2,<0> ,206,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 4:15,0,1,"",14.1,<0> ,46.55,<0> ,30.2,<0> ,92.8,<0> ,7.9,<0> ,4.69,<0> ,4.55,<3> ,"",<-1> ,"","",8.2,<0> ,178,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 4:30,0,1,"",14.0,<0> ,46.88,<0> ,30.5,<0> ,93.1,<0> ,7.9,<0> ,4.76,<0> ,4.62,<3> ,"",<-1> ,"","",8.2,<0> ,189,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 4:45,0,1,"",14.0,<0> ,47.20,<0> ,30.7,<0> ,93.0,<0> ,7.9,<0> ,4.80,<0> ,4.66,<3> ,"",<-1> ,"","",8.2,<0> ,245,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 5:00,0,1,"",13.9,<0> ,47.40,<0> ,30.9,<0> ,93.1,<0> ,7.9,<0> ,4.83,<0> ,4.69,<3> ,"",<-1> ,"","",8.2,<0> ,149,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 5:15,0,1,"",13.9,<0> ,47.68,<0> ,31.1,<0> ,93.1,<0> ,7.9,<0> ,4.84,<0> ,4.71,<3> ,"",<-1> ,"","",8.2,<0> ,168,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 5:30,0,1,"",13.9,<0> ,47.81,<0> ,31.1,<0> ,93.1,<0> ,7.9,<0> ,4.85,<0> ,4.72,<3> ,"",<-1> ,"","",8.2,<0> ,144,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 5:45,0,1,"",13.9,<0> ,47.82,<0> ,31.2,<0> ,92.8,<0> ,7.9,<0> ,4.86,<0> ,4.73,<3> ,"",<-1> ,"","",8.2,<0> ,98,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 6:00,0,1,"",13.9,<0> ,47.83,<0> ,31.2,<0> ,92.7,<0> ,7.9,<0> ,4.84,<0> ,4.71,<3> ,"",<-1> ,"","",8.2,<0> ,65,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 6:15,0,1,"",13.9,<0> ,47.93,<0> ,31.2,<0> ,92.6,<0> ,7.9,<0> ,4.78,<0> ,4.65,<3> ,"",<-1> ,"","",8.2,<0> ,70,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 6:30,0,1,"",13.9,<0> ,47.81,<0> ,31.1,<0> ,92.9,<0> ,7.9,<0> ,4.70,<0> ,4.56,<3> ,"",<-1> ,"","",8.2,<0> ,93,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 6:45,0,1,"",13.9,<0> ,47.59,<0> ,31.0,<0> ,92.8,<0> ,7.9,<0> ,4.60,<0> ,4.46,<3> ,"",<-1> ,"","",8.2,<0> ,62,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 7:00,0,1,"",13.8,<0> ,47.05,<0> ,30.6,<0> ,92.0,<0> ,7.9,<0> ,4.50,<0> ,4.36,<3> ,"",<-1> ,"","",8.2,<0> ,102,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 7:15,0,1,"",13.7,<0> ,46.46,<0> ,30.2,<0> ,90.1,<0> ,7.8,<0> ,4.38,<0> ,4.24,<3> ,"",<-1> ,"","",8.2,<0> ,88,<0> ,"",<-1> ,
"sapldwq   ","P",01/01/2015 7:30,0,1,"",13.7,<0> ,46.07,<0> ,29.9,<0> ,89.8,<0> ,7.7,<0> ,4.25,<0> ,4.11,<3> ,"",<-1> ,"","",8.2,<0> ,98,<0> ,"",<-1> ,
