"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sfbccnut  ","P",01/02/2013 8:35,0,1,1         ,1         ,"",0.1301,<1> (CHB) ,0.1335,<0>  ,0.0126,<1> (CHB) ,0.6877,<0>  ,0.7003,<1> (CHB) ,2.6,<0>  ,
"sfbccnut  ","P",01/02/2013 8:40,0,1,1         ,2         ,"",0.1326,<1> (CHB) ,0.133,<0>  ,0.0126,<1> (CHB) ,0.6919,<0>  ,0.7045,<1> (CHB) ,2.7,<0>  ,
"sfbccnut  ","P",01/03/2013 9:15,0,1,2         ,1         ,"",0.1134,<1> (CHB) ,0.1186,<0>  ,0.0112,<1> (CHB) ,0.6166,<0>  ,0.6278,<1> (CHB) ,5.9,<0>  ,
"sfbccnut  ","P",01/03/2013 9:16,0,1,2         ,2         ,"",0.1146,<1> (CHB) ,0.1326,<0>  ,0.0112,<1> (CHB) ,0.6208,<0>  ,0.632,<1> (CHB) ,6.2,<0>  ,
"sfbccnut  ","P",01/03/2013 11:45,0,1,2         ,1         ,"",0.1338,<1> (CHB) ,0.1183,<0>  ,0.0129,<1> (CHB) ,0.7155,<0>  ,0.7284,<1> (CHB) ,2.8,<0>  ,
"sfbccnut  ","P",01/03/2013 11:46,0,1,2         ,2         ,"",0.1326,<1> (CHB) ,0.0985,<0>  ,0.0118,<1> (CHB) ,0.7073,<0>  ,0.7191,<1> (CHB) ,2.6,<0>  ,
"sfbccnut  ","P",01/03/2013 14:15,0,1,2         ,1         ,"",0.1124,<1> (CHB) ,0.0954,<0>  ,0.0109,<1> (CHB) ,0.6055,<0>  ,0.6164,<1> (CHB) ,2.1,<0>  ,
"sfbccnut  ","P",01/03/2013 14:16,0,1,2         ,2         ,"",0.1124,<1> (CHB) ,0.0972,<0>  ,0.0113,<1> (CHB) ,0.6043,<0>  ,0.6156,<1> (CHB) ,2.3,<0>  ,
"sfbccnut  ","P",01/03/2013 16:45,0,1,2         ,1         ,"",0.0725,<1> (CHB) ,0.09,<0>  ,0.0109,<1> (CHB) ,0.4177,<0>  ,0.4286,<1> (CHB) ,1.2,<0>  ,
"sfbccnut  ","P",01/03/2013 16:46,0,1,2         ,2         ,"",0.0734,<1> (CHB) ,0.0879,<0>  ,0.0109,<1> (CHB) ,0.4215,<0>  ,0.4324,<1> (CHB) ,1.1,<0>  ,
"sfbccnut  ","P",01/03/2013 19:15,0,1,2         ,1         ,"",0.105,<1> (CHB) ,0.0911,<0>  ,0.0105,<1> (CHB) ,0.5685,<0>  ,0.579,<1> (CHB) ,2.9,<0>  ,
"sfbccnut  ","P",01/03/2013 19:16,0,1,2         ,2         ,"",0.1087,<1> (CHB) ,0.0922,<0>  ,0.0109,<1> (CHB) ,0.5841,<0>  ,0.595,<1> (CHB) ,3.2,<0>  ,
"sfbccnut  ","P",01/03/2013 21:45,0,1,2         ,1         ,"",0.1236,<1> (CHB) ,0.095,<0>  ,0.0113,<1> (CHB) ,0.6572,<0>  ,0.6685,<1> (CHB) ,3.6,<0>  ,
