"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"sfbccwq   ","P",03/09/2005 17:15,1,0,"",21.0,<0> ,0.01,<0> ,0.0,<0> ,96.3,<0> ,8.6,<0> ,-0.06,<-4> ,"","","",<-1> ,"","",9.4,<0> ,20,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 17:30,1,0,"",21.4,<0> ,0.01,<0> ,0.0,<0> ,96.9,<0> ,8.6,<0> ,-0.03,<-4> ,"","","",<-1> ,"","",9.3,<0> ,21,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 17:45,1,0,"",21.7,<0> ,0.01,<0> ,0.0,<0> ,97.0,<0> ,8.5,<0> ,-0.03,<-4> ,"","","",<-1> ,"","",9.3,<0> ,21,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 18:00,1,0,"",18.0,<0> ,21.18,<0> ,12.7,<0> ,118.4,<0> ,10.4,<0> ,0.45,<0> ,"","","",<-1> ,"","",8.2,<0> ,68,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 18:15,1,0,"",18.2,<0> ,20.75,<0> ,12.5,<0> ,121.3,<0> ,10.6,<0> ,0.34,<0> ,"","","",<-1> ,"","",8.2,<0> ,67,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 18:30,1,0,"",18.6,<0> ,20.16,<0> ,12.1,<0> ,124.9,<0> ,10.9,<0> ,0.36,<0> ,"","","",<-1> ,"","",8.3,<0> ,76,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 18:45,1,0,"",18.8,<0> ,19.84,<0> ,11.9,<0> ,126.6,<0> ,11.0,<0> ,0.25,<0> ,"","","",<-1> ,"","",8.3,<0> ,75,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 19:00,1,0,"",18.9,<0> ,19.58,<0> ,11.7,<0> ,127.7,<0> ,11.1,<0> ,0.15,<0> ,"","","",<-1> ,"","",8.3,<0> ,82,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 19:15,1,0,"",19.1,<0> ,19.50,<0> ,11.6,<0> ,127.8,<0> ,11.1,<0> ,0.07,<0> ,"","","",<-1> ,"","",8.3,<0> ,72,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 19:30,1,0,"",19.1,<0> ,19.71,<0> ,11.8,<0> ,127.8,<0> ,11.0,<0> ,-0.02,<-4> ,"","","",<-1> ,"","",8.3,<0> ,72,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 19:45,1,0,"",19.2,<0> ,19.43,<0> ,11.6,<0> ,127.5,<0> ,11.0,<0> ,-0.02,<-4> ,"","","",<-1> ,"","",8.3,<0> ,79,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 20:00,1,0,"",19.1,<0> ,19.46,<0> ,11.6,<0> ,125.6,<0> ,10.8,<0> ,-0.02,<-4> ,"","","",<-1> ,"","",8.3,<0> ,99,<0> ,"",<-1> ,
"sfbccwq   ","P",03/09/2005 20:15,1,0,"",19.1,<0> ,0.26,<0> ,0.1,<0> ,114.5,<0> ,10.6,<0> ,-0.02,<-4> ,"","","",<-1> ,"","",8.3,<0> ,119,<0> ,"",<-1> ,
