"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"tjrsbwq   ","P",01/01/2015 0:00,0,1,"",10.5,<0> (CND),50.30,<0> (CND),32.8,<0> (CND),99.7,<0> (CND),9.0,<0> (CND),0.94,<0> (CND),0.89,<3> ,"",<-1> ,"","",8.3,<0> (CND),7,<0> (CND),4.3,<0> (CND),
"tjrsbwq   ","P",01/01/2015 0:15,0,1,"",10.4,<0> ,50.28,<0> ,32.8,<0> ,98.5,<0> ,8.9,<0> ,0.93,<0> ,0.88,<3> ,"",<-1> ,"","",8.3,<0> ,7,<0> ,2.4,<0> ,
"tjrsbwq   ","P",01/01/2015 0:30,0,1,"",10.6,<0> ,49.81,<0> ,32.4,<0> ,101.7,<0> ,9.2,<0> ,0.93,<0> ,0.88,<3> ,"",<-1> ,"","",8.2,<0> ,6,<0> ,3.1,<0> ,
"tjrsbwq   ","P",01/01/2015 0:45,0,1,"",10.1,<0> ,50.71,<0> ,33.1,<0> ,97.0,<0> ,8.8,<0> ,0.99,<0> ,0.94,<3> ,"",<-1> ,"","",8.3,<0> ,8,<0> ,3.2,<0> ,
"tjrsbwq   ","P",01/01/2015 1:00,0,1,"",10.2,<0> ,50.84,<0> ,33.2,<0> ,98.2,<0> ,8.9,<0> ,1.03,<0> ,0.98,<3> ,"",<-1> ,"","",8.3,<0> ,6,<0> ,2.7,<0> ,
"tjrsbwq   ","P",01/01/2015 1:15,0,1,"",10.2,<0> ,51.11,<0> ,33.4,<0> ,95.8,<0> ,8.7,<0> ,1.05,<0> ,1.00,<3> ,"",<-1> ,"","",8.3,<0> ,6,<0> ,2.4,<0> ,
"tjrsbwq   ","P",01/01/2015 1:30,0,1,"",10.2,<0> ,51.09,<0> ,33.3,<0> ,98.2,<0> ,8.9,<0> ,1.10,<0> ,1.04,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,2.0,<0> ,
"tjrsbwq   ","P",01/01/2015 1:45,0,1,"",10.0,<0> ,50.71,<0> ,33.1,<0> ,97.1,<0> ,8.9,<0> ,1.19,<0> ,1.13,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,2.7,<0> ,
"tjrsbwq   ","P",01/01/2015 2:00,0,1,"",10.2,<0> ,50.34,<0> ,32.8,<0> ,95.7,<0> ,8.7,<0> ,1.24,<0> ,1.19,<3> ,"",<-1> ,"","",8.3,<0> ,6,<0> ,3.5,<0> ,
"tjrsbwq   ","P",01/01/2015 2:15,0,1,"",10.2,<0> ,50.48,<0> ,32.9,<0> ,93.4,<0> ,8.5,<0> ,1.30,<0> ,1.24,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,2.8,<0> ,
"tjrsbwq   ","P",01/01/2015 2:30,0,1,"",10.1,<0> ,50.57,<0> ,33.0,<0> ,99.2,<0> ,9.0,<0> ,1.41,<0> ,1.35,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,3.1,<0> ,
"tjrsbwq   ","P",01/01/2015 2:45,0,1,"",10.3,<0> ,50.83,<0> ,33.2,<0> ,99.0,<0> ,9.0,<0> ,1.49,<0> ,1.43,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,3.4,<0> ,
"tjrsbwq   ","P",01/01/2015 3:00,0,1,"",10.4,<0> ,50.92,<0> ,33.2,<0> ,98.9,<0> ,9.0,<0> ,1.57,<0> ,1.51,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,2.5,<0> ,
"tjrsbwq   ","P",01/01/2015 3:15,0,1,"",10.5,<0> ,51.03,<0> ,33.3,<0> ,97.9,<0> ,8.8,<0> ,1.67,<0> ,1.61,<3> ,"",<-1> ,"","",8.3,<0> ,5,<0> ,3.1,<0> ,
"tjrsbwq   ","P",01/01/2015 3:30,0,1,"",10.5,<0> ,51.07,<0> ,33.4,<0> ,95.9,<0> ,8.7,<0> ,1.77,<0> ,1.71,<3> ,"",<-1> ,"","",8.2,<0> ,5,<0> ,1.9,<0> ,
"tjrsbwq   ","P",01/01/2015 3:45,0,1,"",10.5,<0> ,51.11,<0> ,33.4,<0> ,93.4,<0> ,8.4,<0> ,1.84,<0> ,1.78,<3> ,"",<-1> ,"","",8.2,<0> ,4,<0> ,3.4,<0> ,
"tjrsbwq   ","P",01/01/2015 4:00,0,1,"",10.6,<0> ,51.13,<0> ,33.4,<0> ,92.1,<0> ,8.3,<0> ,1.92,<0> ,1.86,<3> ,"",<-1> ,"","",8.2,<0> ,4,<0> ,3.1,<0> ,
"tjrsbwq   ","P",01/01/2015 4:15,0,1,"",10.6,<0> ,51.14,<0> ,33.4,<0> ,91.4,<0> ,8.2,<0> ,2.00,<0> ,1.94,<3> ,"",<-1> ,"","",8.2,<0> ,4,<0> ,3.2,<0> ,
"tjrsbwq   ","P",01/01/2015 4:30,0,1,"",10.6,<0> ,51.18,<0> ,33.4,<0> ,90.6,<0> ,8.2,<0> ,2.08,<0> ,2.02,<3> ,"",<-1> ,"","",8.2,<0> ,4,<0> ,3.4,<0> ,
