"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"welhtwq   ","P",05/05/2004 12:00,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.4,<4> ,11.5,<4> ,0.67,<4> ,"","","",<-1> ,"","",5.5,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 12:30,1,0,"",11.1,<4> ,0.11,<4> ,0.1,<4> ,104.0,<4> ,11.4,<4> ,0.54,<4> ,"","","",<-1> ,"","",5.6,<4> ,3,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 13:00,1,0,"",11.2,<4> ,0.11,<4> ,0.1,<4> ,104.0,<4> ,11.4,<4> ,0.40,<4> ,"","","",<-1> ,"","",5.7,<4> ,2,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 13:30,1,0,"",11.1,<4> ,0.11,<4> ,0.1,<4> ,104.1,<4> ,11.5,<4> ,0.39,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 14:00,1,0,"",11.1,<4> ,0.11,<4> ,0.1,<4> ,104.2,<4> ,11.5,<4> ,0.38,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 14:30,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.3,<4> ,11.5,<4> ,0.38,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 15:00,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.4,<4> ,11.5,<4> ,0.38,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 15:30,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.4,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 16:00,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.5,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 16:30,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.5,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 17:00,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.5,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 17:30,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.6,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 18:00,1,0,"",11.0,<4> ,0.11,<4> ,0.1,<4> ,104.6,<4> ,11.5,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 18:30,1,0,"",10.9,<4> ,0.11,<4> ,0.1,<4> ,104.6,<4> ,11.6,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 19:00,1,0,"",10.9,<4> ,0.11,<4> ,0.1,<4> ,104.6,<4> ,11.6,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
"welhtwq   ","P",05/05/2004 19:30,1,0,"",10.9,<4> ,0.11,<4> ,0.1,<4> ,104.5,<4> ,11.6,<4> ,0.37,<4> ,"","","",<-1> ,"","",5.7,<4> ,1,<4> ,"",<-1> ,
