"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"welsmnut  ","P",04/19/2013 11:48,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.224,<0>  ,0.17,<0>  ,
"welsmnut  ","P",04/19/2013 11:49,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.237,<0>  ,0.26,<0>  ,
"welsmnut  ","P",05/17/2013 8:55,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.13,<0>  ,0.35,<0>  ,
"welsmnut  ","P",05/17/2013 8:56,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.16,<0>  ,0.96,<0>  ,
"welsmnut  ","P",06/19/2013 11:15,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.073,<0>  ,0.36,<0>  ,
"welsmnut  ","P",06/19/2013 11:16,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.099,<0>  ,0.41,<0>  ,
"welsmnut  ","P",07/19/2013 8:30,0,1,1         ,1         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.121,<0>  ,2.14,<0>  ,
"welsmnut  ","P",07/19/2013 8:31,0,1,1         ,2         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.126,<0>  ,2.9,<0>  ,
"welsmnut  ","P",08/29/2013 9:12,0,1,1         ,1         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.148,<0>  ,"",<-2>  ,
"welsmnut  ","P",08/29/2013 9:13,0,1,1         ,2         ,"",0.0030,<0>  ,0.0056,<-4> [SBL] ,"","","","",0.158,<0>  ,"",<-2>  ,
"welsmnut  ","P",09/26/2013 11:05,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.112,<0>  ,0.14,<0>  ,
"welsmnut  ","P",09/26/2013 11:06,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.112,<0>  ,0.32,<0>  ,
"welsmnut  ","P",10/18/2013 11:05,0,1,1         ,1         ,"",0.0040,<0>  ,0.031,<0>  ,"","","","",0.011,<0>  ,1.67,<0>  ,
"welsmnut  ","P",10/18/2013 11:06,0,1,1         ,2         ,"",0.0040,<0>  ,0.019,<0>  ,"","","","",0.022,<0>  ,1.27,<0>  ,
"welsmnut  ","P",11/26/2013 12:28,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.095,<0>  ,0.9,<0>  ,
"welsmnut  ","P",11/26/2013 12:29,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.091,<0>  ,1.01,<0>  ,
"welsmnut  ","P",12/13/2013 11:15,0,1,1         ,1         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.117,<0>  ,0.4,<0>  ,
"welsmnut  ","P",12/13/2013 11:16,0,1,1         ,2         ,"",0.0020,<-4> [SBL] ,0.0056,<-4> [SBL] ,"","","","",0.129,<0>  ,0.29,<0>  ,

