"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wkbfrnut  ","P",01/07/2008 8:34,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.056,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.552,<0>  ,53.82,<0>  ,
"wkbfrnut  ","P",01/07/2008 10:48,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.018,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.106,<0>  ,68.04,<0>  ,
"wkbfrnut  ","P",01/07/2008 13:02,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.014,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.189,<0>  ,50.32,<0>  ,
"wkbfrnut  ","P",01/07/2008 15:16,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0050,<-4> [SBL] ,55.95,<0>  ,
"wkbfrnut  ","P",01/07/2008 17:30,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0060,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0050,<-4> [SBL] ,64.01,<0>  ,
"wkbfrnut  ","P",01/07/2008 19:44,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.023,<0>  ,35.72,<0>  ,
"wkbfrnut  ","P",01/07/2008 21:58,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0050,<-4> [SBL] ,50.32,<0>  ,
"wkbfrnut  ","P",01/08/2008 0:12,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.029,<0>  ,40.25,<0>  ,
"wkbfrnut  ","P",01/08/2008 2:26,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0080,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.433,<0>  ,15.09,<0>  ,
"wkbfrnut  ","P",01/08/2008 4:40,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0080,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.2,<0>  ,33.42,<0>  ,
"wkbfrnut  ","P",01/08/2008 6:54,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0080,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.287,<0>  ,25.4,<0>  ,
"wkbfrnut  ","P",01/08/2008 8:55,1,1,1         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.215,<0>  ,45.22,<0>  ,
"wkbfrnut  ","P",01/08/2008 8:56,1,1,1         ,2         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.174,<0>  ,37.24,<0>  ,
"wkbfrnut  ","P",01/08/2008 8:57,1,1,1         ,3         ,"",0.0050,<-4> [SBL] ,0.01,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.163,<0>  ,36.75,<0>  ,
"wkbfrnut  ","P",01/08/2008 9:08,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.019,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.26,<0>  ,27.81,<0>  ,
"wkbfrnut  ","P",02/19/2008 7:45,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.096,<0>  ,0.01,<0>  ,0.696,<0>  ,0.706,<0>  ,4.27,<0>  ,
"wkbfrnut  ","P",02/19/2008 9:58,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.085,<0>  ,0.0080,<0>  ,0.66,<0>  ,0.668,<0>  ,6.49,<0>  ,
"wkbfrnut  ","P",02/19/2008 12:11,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.092,<0>  ,0.0060,<0>  ,0.658,<0>  ,0.664,<0>  ,17.16,<0>  ,
"wkbfrnut  ","P",02/19/2008 14:24,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.013,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.621,<0>  ,65.08,<0>  ,
"wkbfrnut  ","P",02/19/2008 16:37,1,1,2         ,1         ,"",0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.538,<0>  ,39.0,<0>  ,
