"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wkbfrwq   ","P",01/01/2015 0:00,0,1,"",14.1,<0> ,12.51,<0> ,7.2,<0> ,89.0,<0> ,8.8,<0> ,2.12,<0> ,2.00,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1159,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 0:15,0,1,"",14.0,<0> ,12.63,<0> ,7.3,<0> ,92.7,<0> ,9.1,<0> ,2.13,<0> ,2.01,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1123,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 0:30,0,1,"",14.0,<0> ,12.79,<0> ,7.4,<0> ,95.6,<0> ,9.4,<0> ,2.13,<0> ,2.01,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1052,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 0:45,0,1,"",14.0,<0> ,12.99,<0> ,7.5,<0> ,95.7,<0> ,9.4,<0> ,2.14,<0> ,2.02,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1163,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 1:00,0,1,"",14.0,<0> ,13.01,<0> ,7.5,<0> ,97.0,<0> ,9.6,<0> ,2.15,<0> ,2.03,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1145,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 1:15,0,1,"",14.0,<0> ,13.30,<0> ,7.7,<0> ,97.8,<0> ,9.6,<0> ,2.15,<0> ,2.03,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1114,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 1:30,0,1,"",14.0,<0> ,13.40,<0> ,7.8,<0> ,90.9,<0> ,8.9,<0> ,2.13,<0> ,2.01,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1163,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 1:45,0,1,"",14.1,<0> ,13.22,<0> ,7.7,<0> ,94.2,<0> ,9.3,<0> ,2.11,<0> ,1.99,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1131,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 2:00,0,1,"",14.1,<0> ,12.93,<0> ,7.5,<0> ,100.1,<0> ,9.8,<0> ,2.10,<0> ,1.98,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1150,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 2:15,0,1,"",14.1,<0> ,12.84,<0> ,7.4,<0> ,94.7,<0> ,9.3,<0> ,2.09,<0> ,1.97,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1147,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 2:30,0,1,"",14.2,<0> ,12.83,<0> ,7.4,<0> ,90.5,<0> ,8.9,<0> ,2.07,<0> ,1.95,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1165,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 2:45,0,1,"",14.2,<0> ,12.76,<0> ,7.4,<0> ,88.8,<0> ,8.7,<0> ,2.05,<0> ,1.93,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1160,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 3:00,0,1,"",14.2,<0> ,12.79,<0> ,7.4,<0> ,90.1,<0> ,8.8,<0> ,2.02,<0> ,1.90,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1165,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 3:15,0,1,"",14.3,<0> ,12.73,<0> ,7.4,<0> ,86.0,<0> ,8.4,<0> ,2.00,<0> ,1.88,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1166,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 3:30,0,1,"",14.4,<0> ,12.77,<0> ,7.4,<0> ,80.8,<0> ,7.9,<0> ,1.99,<0> ,1.87,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1160,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 3:45,0,1,"",14.5,<0> ,12.86,<0> ,7.4,<0> ,76.6,<0> ,7.5,<0> ,1.96,<0> ,1.84,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1168,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 4:00,0,1,"",14.5,<0> ,12.71,<0> ,7.3,<0> ,77.9,<0> ,7.6,<0> ,1.94,<0> ,1.82,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1158,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 4:15,0,1,"",14.6,<0> ,12.69,<0> ,7.3,<0> ,74.2,<0> ,7.2,<0> ,1.92,<0> ,1.80,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1168,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 4:30,0,1,"",14.7,<0> ,12.70,<0> ,7.3,<0> ,68.5,<0> ,6.6,<0> ,1.89,<0> ,1.78,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1155,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 4:45,0,1,"",14.9,<0> ,12.74,<0> ,7.4,<0> ,63.8,<0> ,6.2,<0> ,1.87,<0> ,1.76,<3> ,"",<-1> ,"","",8.9,<1> [SDG],1171,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 5:00,0,1,"",14.8,<0> ,12.68,<0> ,7.3,<0> ,65.4,<0> ,6.3,<0> ,1.86,<0> ,1.75,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1170,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 5:15,0,1,"",14.9,<0> ,12.83,<0> ,7.4,<0> ,63.7,<0> ,6.2,<0> ,1.85,<0> ,1.73,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1167,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 5:30,0,1,"",15.0,<0> ,12.85,<0> ,7.4,<0> ,61.8,<0> ,6.0,<0> ,1.84,<0> ,1.73,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1172,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 5:45,0,1,"",15.0,<0> ,12.88,<0> ,7.4,<0> ,58.6,<0> ,5.6,<0> ,1.83,<0> ,1.72,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1172,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 6:00,0,1,"",15.1,<0> ,12.85,<0> ,7.4,<0> ,57.0,<0> ,5.5,<0> ,1.81,<0> ,1.70,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1169,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 6:15,0,1,"",15.1,<0> ,12.93,<0> ,7.5,<0> ,53.3,<0> ,5.1,<0> ,1.82,<0> ,1.71,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1172,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 6:30,0,1,"",15.1,<0> ,12.94,<0> ,7.5,<0> ,62.1,<0> ,6.0,<0> ,1.82,<0> ,1.70,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1150,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 6:45,0,1,"",15.0,<0> ,12.89,<0> ,7.5,<0> ,63.9,<0> ,6.2,<0> ,1.81,<0> ,1.69,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1170,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 7:00,0,1,"",14.9,<0> ,12.97,<0> ,7.5,<0> ,67.7,<0> ,6.5,<0> ,1.82,<0> ,1.70,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1156,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 7:15,0,1,"",14.7,<0> ,13.07,<0> ,7.6,<0> ,71.2,<0> ,6.9,<0> ,1.82,<0> ,1.70,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1166,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 7:30,0,1,"",14.7,<0> ,13.20,<0> ,7.6,<0> ,70.7,<0> ,6.9,<0> ,1.82,<0> ,1.70,<3> ,"",<-1> ,"","",8.7,<1> [SDG],1154,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 7:45,0,1,"",14.8,<0> ,13.32,<0> ,7.7,<0> ,66.6,<0> ,6.4,<0> ,1.83,<0> ,1.71,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1169,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 8:00,0,1,"",14.4,<0> ,13.28,<0> ,7.7,<0> ,77.6,<0> ,7.6,<0> ,1.83,<0> ,1.71,<3> ,"",<-1> ,"","",8.7,<1> [SDG],1167,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 8:15,0,1,"",14.4,<0> ,13.40,<0> ,7.8,<0> ,78.8,<0> ,7.7,<0> ,1.84,<0> ,1.72,<3> ,"",<-1> ,"","",8.7,<1> [SDG],1129,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 8:30,0,1,"",14.4,<0> ,13.21,<0> ,7.7,<0> ,73.9,<0> ,7.2,<0> ,1.86,<0> ,1.74,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1143,<-3> [SWM],"",<-1> ,
"wkbfrwq   ","P",01/01/2015 8:45,0,1,"",14.1,<0> ,13.27,<0> ,7.7,<0> ,76.4,<0> ,7.5,<0> ,1.88,<0> ,1.76,<3> ,"",<-1> ,"","",8.8,<1> [SDG],1149,<-3> [SWM],"",<-1> ,
