"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbmpwq   ","P",05/04/2015 13:45,0,1,"",15.8,<0> (CND),46.46,<0> (CND),30.2,<0> (CND),124.6,<0> (CND),10.3,<0> (CND),1.39,<0> (CND),1.33,<1> [GCS],"",<-1> ,"","",8.3,<0> (CND),2,<0> (CND),1.4,<0> (CND),
"wqbmpwq   ","P",05/04/2015 14:00,0,1,"",15.9,<0> ,46.50,<0> ,30.2,<0> ,123.6,<0> ,10.2,<0> ,1.38,<0> ,1.32,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,1.9,<0> ,
"wqbmpwq   ","P",05/04/2015 14:15,0,1,"",15.9,<0> ,46.49,<0> ,30.2,<0> ,124.5,<0> ,10.2,<0> ,1.36,<0> ,1.30,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.4,<0> ,
"wqbmpwq   ","P",05/04/2015 14:30,0,1,"",16.0,<0> ,46.46,<0> ,30.2,<0> ,124.6,<0> ,10.2,<0> ,1.35,<0> ,1.29,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.4,<0> ,
"wqbmpwq   ","P",05/04/2015 14:45,0,1,"",16.0,<0> ,46.42,<0> ,30.2,<0> ,124.4,<0> ,10.2,<0> ,1.33,<0> ,1.27,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.0,<0> ,
"wqbmpwq   ","P",05/04/2015 15:00,0,1,"",16.1,<0> ,46.35,<0> ,30.1,<0> ,124.0,<0> ,10.2,<0> ,1.32,<0> ,1.27,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,1.7,<0> ,
"wqbmpwq   ","P",05/04/2015 15:15,0,1,"",16.2,<0> ,46.31,<0> ,30.1,<0> ,124.3,<0> ,10.2,<0> ,1.30,<0> ,1.25,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.6,<0> ,
"wqbmpwq   ","P",05/04/2015 15:30,0,1,"",16.2,<0> ,46.26,<0> ,30.1,<0> ,124.9,<0> ,10.2,<0> ,1.29,<0> ,1.24,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.2,<0> ,
"wqbmpwq   ","P",05/04/2015 15:45,0,1,"",16.3,<0> ,46.22,<0> ,30.0,<0> ,124.2,<0> ,10.2,<0> ,1.28,<0> ,1.23,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,1.9,<0> ,
"wqbmpwq   ","P",05/04/2015 16:00,0,1,"",16.3,<0> ,46.22,<0> ,30.0,<0> ,123.6,<0> ,10.1,<0> ,1.26,<0> ,1.21,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.8,<0> ,
"wqbmpwq   ","P",05/04/2015 16:15,0,1,"",16.3,<0> ,46.18,<0> ,30.0,<0> ,123.3,<0> ,10.1,<0> ,1.25,<0> ,1.20,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,2.9,<0> ,
"wqbmpwq   ","P",05/04/2015 16:30,0,1,"",16.4,<0> ,46.11,<0> ,30.0,<0> ,125.3,<0> ,10.2,<0> ,1.24,<0> ,1.19,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.1,<0> ,
"wqbmpwq   ","P",05/04/2015 16:45,0,1,"",16.3,<0> ,46.05,<0> ,29.9,<0> ,128.1,<0> ,10.5,<0> ,1.22,<0> ,1.17,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.7,<0> ,
"wqbmpwq   ","P",05/04/2015 17:00,0,1,"",16.4,<0> ,46.05,<0> ,29.9,<0> ,125.1,<0> ,10.2,<0> ,1.21,<0> ,1.16,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.6,<0> ,
"wqbmpwq   ","P",05/04/2015 17:15,0,1,"",16.4,<0> ,46.03,<0> ,29.9,<0> ,126.2,<0> ,10.3,<0> ,1.20,<0> ,1.15,<1> [GCS],"",<-1> ,"","",8.5,<0> ,3,<0> ,4.1,<0> ,
"wqbmpwq   ","P",05/04/2015 17:30,0,1,"",16.4,<0> ,46.02,<0> ,29.9,<0> ,126.6,<0> ,10.4,<0> ,1.18,<0> ,1.13,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.1,<0> ,
"wqbmpwq   ","P",05/04/2015 17:45,0,1,"",16.3,<0> ,46.02,<0> ,29.9,<0> ,126.2,<0> ,10.3,<0> ,1.17,<0> ,1.13,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.6,<0> ,
"wqbmpwq   ","P",05/04/2015 18:00,0,1,"",16.3,<0> ,45.99,<0> ,29.9,<0> ,126.0,<0> ,10.3,<0> ,1.16,<0> ,1.12,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.4,<0> ,
"wqbmpwq   ","P",05/04/2015 18:15,0,1,"",16.3,<0> ,46.00,<0> ,29.9,<0> ,124.6,<0> ,10.2,<0> ,1.16,<0> ,1.11,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.1,<0> ,
"wqbmpwq   ","P",05/04/2015 18:30,0,1,"",16.3,<0> ,46.01,<0> ,29.9,<0> ,123.6,<0> ,10.1,<0> ,1.17,<0> ,1.12,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.3,<0> ,
"wqbmpwq   ","P",05/04/2015 18:45,0,1,"",16.3,<0> ,46.01,<0> ,29.9,<0> ,122.7,<0> ,10.0,<0> ,1.20,<0> ,1.15,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.0,<0> ,
"wqbmpwq   ","P",05/04/2015 19:00,0,1,"",16.3,<0> ,46.02,<0> ,29.9,<0> ,119.0,<0> ,9.7,<0> ,1.22,<0> ,1.17,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.8,<0> ,
"wqbmpwq   ","P",05/04/2015 19:15,0,1,"",16.3,<0> ,46.05,<0> ,29.9,<0> ,117.8,<0> ,9.6,<0> ,1.25,<0> ,1.20,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.6,<0> ,
"wqbmpwq   ","P",05/04/2015 19:30,0,1,"",16.2,<0> ,46.09,<0> ,30.0,<0> ,114.6,<0> ,9.4,<0> ,1.28,<0> ,1.23,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.7,<0> ,
"wqbmpwq   ","P",05/04/2015 19:45,0,1,"",16.2,<0> ,46.05,<0> ,29.9,<0> ,115.9,<0> ,9.5,<0> ,1.31,<0> ,1.26,<1> [GCS],"",<-1> ,"","",8.4,<0> ,3,<0> ,3.8,<0> ,
"wqbmpwq   ","P",05/04/2015 20:00,0,1,"",16.1,<0> ,45.99,<0> ,29.9,<0> ,116.0,<0> ,9.5,<0> ,1.34,<0> ,1.29,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.2,<0> ,
"wqbmpwq   ","P",05/04/2015 20:15,0,1,"",16.1,<0> ,45.81,<0> ,29.7,<0> ,117.9,<0> ,9.7,<0> ,1.37,<0> ,1.32,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.0,<0> ,
"wqbmpwq   ","P",05/04/2015 20:30,0,1,"",16.0,<0> ,45.71,<0> ,29.7,<0> ,116.8,<0> ,9.6,<0> ,1.39,<0> ,1.34,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.7,<0> ,
"wqbmpwq   ","P",05/04/2015 20:45,0,1,"",16.0,<0> ,45.59,<0> ,29.6,<0> ,115.8,<0> ,9.6,<0> ,1.42,<0> ,1.37,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.3,<0> ,
"wqbmpwq   ","P",05/04/2015 21:00,0,1,"",16.0,<0> ,45.50,<0> ,29.5,<0> ,114.9,<0> ,9.5,<0> ,1.44,<0> ,1.39,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.7,<0> ,
"wqbmpwq   ","P",05/04/2015 21:15,0,1,"",16.0,<0> ,45.43,<0> ,29.5,<0> ,113.7,<0> ,9.4,<0> ,1.46,<0> ,1.41,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,3.2,<0> ,
"wqbmpwq   ","P",05/04/2015 21:30,0,1,"",16.0,<0> ,45.40,<0> ,29.4,<0> ,112.3,<0> ,9.3,<0> ,1.48,<0> ,1.43,<1> [GCS],"",<-1> ,"","",8.5,<0> ,2,<0> ,2.7,<0> ,
"wqbmpwq   ","P",05/04/2015 21:45,0,1,"",16.0,<0> ,45.35,<0> ,29.4,<0> ,110.7,<0> ,9.1,<0> ,1.49,<0> ,1.44,<1> [GCS],"",<-1> ,"","",8.4,<0> ,3,<0> ,3.5,<0> ,
"wqbmpwq   ","P",05/04/2015 22:00,0,1,"",16.0,<0> ,45.36,<0> ,29.4,<0> ,109.2,<0> ,9.0,<0> ,1.50,<0> ,1.45,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.2,<0> ,
"wqbmpwq   ","P",05/04/2015 22:15,0,1,"",15.9,<0> ,45.40,<0> ,29.4,<0> ,107.8,<0> ,8.9,<0> ,1.51,<0> ,1.46,<1> [GCS],"",<-1> ,"","",8.4,<0> ,5,<0> ,3.6,<0> ,
"wqbmpwq   ","P",05/04/2015 22:30,0,1,"",15.9,<0> ,45.40,<0> ,29.4,<0> ,107.0,<0> ,8.9,<0> ,1.51,<0> ,1.46,<1> [GCS],"",<-1> ,"","",8.4,<0> ,3,<0> ,2.9,<0> ,
"wqbmpwq   ","P",05/04/2015 22:45,0,1,"",15.9,<0> ,45.40,<0> ,29.4,<0> ,106.3,<0> ,8.8,<0> ,1.51,<0> ,1.46,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.4,<0> ,
"wqbmpwq   ","P",05/04/2015 23:00,0,1,"",15.8,<0> ,45.42,<0> ,29.5,<0> ,105.7,<0> ,8.8,<0> ,1.51,<0> ,1.46,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.5,<0> ,
"wqbmpwq   ","P",05/04/2015 23:15,0,1,"",15.8,<0> ,45.40,<0> ,29.5,<0> ,104.7,<0> ,8.7,<0> ,1.52,<0> ,1.47,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.5,<0> ,
"wqbmpwq   ","P",05/04/2015 23:30,0,1,"",15.8,<0> ,45.39,<0> ,29.4,<0> ,104.8,<0> ,8.7,<0> ,1.53,<0> ,1.48,<1> [GCS],"",<-1> ,"","",8.4,<0> ,2,<0> ,3.8,<0> ,
