"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbnswq   ","P",07/10/1996 13:30,1,0,"",24.9,<4> ,42.87,<4> ,27.6,<4> ,128.5,<4> ,9.1,<4> ,1.18,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 14:00,1,0,"",24.9,<4> ,42.76,<4> ,27.5,<4> ,132.3,<4> ,9.4,<4> ,1.18,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 14:30,1,0,"",25.1,<4> ,42.68,<4> ,27.4,<4> ,128.0,<4> ,9.0,<4> ,1.21,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 15:00,1,0,"",25.1,<4> ,42.39,<4> ,27.2,<4> ,131.1,<4> ,9.3,<4> ,1.26,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 15:30,1,0,"",25.0,<4> ,42.21,<4> ,27.1,<4> ,135.8,<4> ,9.6,<4> ,1.30,<4> ,"","","",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 16:00,1,0,"",25.3,<4> ,41.95,<4> ,26.9,<4> ,136.7,<4> ,9.6,<4> ,1.35,<4> ,"","","",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 16:30,1,0,"",25.2,<4> ,42.37,<4> ,27.2,<4> ,132.5,<4> ,9.3,<4> ,1.40,<4> ,"","","",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 17:00,1,0,"",25.2,<4> ,42.98,<4> ,27.6,<4> ,130.7,<4> ,9.2,<4> ,1.45,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 17:30,1,0,"",25.1,<4> ,43.33,<4> ,27.9,<4> ,130.4,<4> ,9.2,<4> ,1.49,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 18:00,1,0,"",25.2,<4> ,43.15,<4> ,27.8,<4> ,128.9,<4> ,9.1,<4> ,1.52,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 18:30,1,0,"",25.3,<4> ,43.08,<4> ,27.7,<4> ,131.2,<4> ,9.2,<4> ,1.55,<4> ,"","","",<-1> ,"","",8.1,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 19:00,1,0,"",25.3,<4> ,43.10,<4> ,27.7,<4> ,129.7,<4> ,9.1,<4> ,1.57,<4> ,"","","",<-1> ,"","",8.0,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 19:30,1,0,"",25.2,<4> ,42.80,<4> ,27.5,<4> ,131.4,<4> ,9.3,<4> ,1.60,<4> ,"","","",<-1> ,"","",8.1,<4> ,3,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 20:00,1,0,"",25.4,<4> ,43.15,<4> ,27.8,<4> ,129.1,<4> ,9.1,<4> ,1.63,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 20:30,1,0,"",25.3,<4> ,43.24,<4> ,27.8,<4> ,126.0,<4> ,8.8,<4> ,1.64,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
"wqbnswq   ","P",07/10/1996 21:00,1,0,"",25.4,<4> ,43.42,<4> ,28.0,<4> ,126.1,<4> ,8.8,<4> ,1.63,<4> ,"","","",<-1> ,"","",8.0,<4> ,2,<4> ,"",<-1> ,
