"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbslwq   ","P",05/07/2010 13:15,0,0,"",15.1,<0> ,0.00,<0> ,0.0,<0> ,90.2,<0> ,9.1,<0> ,-0.04,<0> ,"","","",<-1> ,"","",6.9,<0> ,83,<0> ,0.1,<0> ,
"wqbslwq   ","P",05/07/2010 13:30,0,0,"",17.9,<0> ,0.39,<0> ,0.2,<0> ,93.5,<0> ,8.9,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.6,<0> ,0,<0> ,-0.3,<-4> ,
"wqbslwq   ","P",05/07/2010 13:45,0,0,"",17.9,<0> ,0.38,<0> ,0.2,<0> ,95.0,<0> ,9.0,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.6,<0> ,0,<0> ,-0.3,<-4> ,
"wqbslwq   ","P",05/07/2010 14:00,0,0,"",17.9,<0> ,0.38,<0> ,0.2,<0> ,96.0,<0> ,9.1,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.4,<-4> ,
"wqbslwq   ","P",05/07/2010 14:15,0,0,"",17.9,<0> ,0.38,<0> ,0.2,<0> ,96.2,<0> ,9.1,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.7,<-4> ,
"wqbslwq   ","P",05/07/2010 14:30,0,0,"",17.9,<0> ,0.38,<0> ,0.2,<0> ,96.3,<0> ,9.1,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.9,<-4> ,
"wqbslwq   ","P",05/07/2010 14:45,0,0,"",17.8,<0> ,0.38,<0> ,0.2,<0> ,96.4,<0> ,9.2,<0> ,-0.04,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.5,<-4> ,
"wqbslwq   ","P",05/07/2010 15:00,0,0,"",17.8,<0> ,0.38,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,0.0,<0> ,
"wqbslwq   ","P",05/07/2010 15:15,0,0,"",17.8,<0> ,0.38,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.6,<-4> ,
"wqbslwq   ","P",05/07/2010 15:30,0,0,"",17.8,<0> ,0.38,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.1,<-4> ,
"wqbslwq   ","P",05/07/2010 15:45,0,0,"",17.8,<0> ,0.38,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.6,<-4> ,
"wqbslwq   ","P",05/07/2010 16:00,0,0,"",17.8,<0> ,0.37,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.8,<-4> ,
"wqbslwq   ","P",05/07/2010 16:15,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.6,<0> ,9.2,<0> ,-0.06,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,0.3,<0> ,
"wqbslwq   ","P",05/07/2010 16:30,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.5,<0> ,9.2,<0> ,-0.06,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.5,<-4> ,
"wqbslwq   ","P",05/07/2010 16:45,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.7,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.4,<-4> ,
"wqbslwq   ","P",05/07/2010 17:00,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.6,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.5,<-4> ,
"wqbslwq   ","P",05/07/2010 17:15,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.7,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.3,<-4> ,
"wqbslwq   ","P",05/07/2010 17:30,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.8,<0> ,9.2,<0> ,-0.06,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.4,<-4> ,
"wqbslwq   ","P",05/07/2010 17:45,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.8,<0> ,9.2,<0> ,-0.06,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.5,<-4> ,
"wqbslwq   ","P",05/07/2010 18:00,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.8,<0> ,9.2,<0> ,-0.06,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.2,<-4> ,
"wqbslwq   ","P",05/07/2010 18:15,0,0,"",17.9,<0> ,0.37,<0> ,0.2,<0> ,96.8,<0> ,9.2,<0> ,-0.05,<0> ,"","","",<-1> ,"","",7.7,<0> ,0,<0> ,-0.2,<-4> ,
